"CELL","HamClone","Specific_UCA_BS"
"1166_1_1_D14",295,FALSE
"1166_1_1_D14",295,FALSE
"1166_1_1_G18",111,TRUE
"1166_1_1_G18",111,TRUE
"1166_1_1_H01",83,FALSE
"1166_1_1_H01",83,FALSE
"1166_1_1_O04",429,TRUE
"1166_1_1_O04",429,TRUE
"1166_1_1_O20",429,TRUE
"1166_1_1_O20",429,TRUE
"1166_1_2_A10",333,TRUE
"1166_1_2_A10",333,TRUE
"1166_1_2_A11",318,TRUE
"1166_1_2_A11",318,TRUE
"1166_1_2_A13",NA,FALSE
"1166_1_2_A13",NA,FALSE
"1166_1_2_B02",NA,FALSE
"1166_1_2_B02",NA,FALSE
"1166_1_2_B03",318,TRUE
"1166_1_2_B03",318,TRUE
"1166_1_2_B04",NA,FALSE
"1166_1_2_B04",NA,FALSE
"1166_1_2_B06",335,FALSE
"1166_1_2_B06",335,FALSE
"1166_1_2_B10",394,FALSE
"1166_1_2_B10",394,FALSE
"1166_1_2_C09",203,TRUE
"1166_1_2_C09",203,TRUE
"1166_1_2_C11",354,FALSE
"1166_1_2_C11",354,FALSE
"1166_1_2_C12",293,FALSE
"1166_1_2_C12",293,FALSE
"1166_1_2_D03",202,FALSE
"1166_1_2_D03",202,FALSE
"1166_1_2_D05",256,TRUE
"1166_1_2_D05",256,TRUE
"1166_1_2_D07",NA,TRUE
"1166_1_2_D07",NA,TRUE
"1166_1_2_D08",203,TRUE
"1166_1_2_D08",203,TRUE
"1166_1_2_D09",212,FALSE
"1166_1_2_D09",212,FALSE
"1166_1_2_D11",310,FALSE
"1166_1_2_D11",310,FALSE
"1166_1_2_D14",NA,FALSE
"1166_1_2_D14",NA,FALSE
"1166_1_2_E05",202,FALSE
"1166_1_2_E05",202,FALSE
"1166_1_2_E06",83,FALSE
"1166_1_2_E06",83,FALSE
"1166_1_2_E15",212,FALSE
"1166_1_2_E15",212,FALSE
"1166_1_2_F04",310,FALSE
"1166_1_2_F04",310,FALSE
"1166_1_2_F07",394,FALSE
"1166_1_2_F07",394,FALSE
"1166_1_2_F12",202,FALSE
"1166_1_2_F12",202,FALSE
"1166_1_2_F13",84,FALSE
"1166_1_2_F13",84,FALSE
"1166_1_2_F14",291,FALSE
"1166_1_2_F14",291,FALSE
"1166_1_2_G08",214,FALSE
"1166_1_2_G08",214,FALSE
"1166_1_2_G10",NA,TRUE
"1166_1_2_G10",NA,TRUE
"1166_1_2_G12",335,FALSE
"1166_1_2_G12",335,FALSE
"1166_1_2_G13",84,FALSE
"1166_1_2_G13",84,FALSE
"1166_1_2_G14",NA,TRUE
"1166_1_2_G14",NA,TRUE
"1166_1_2_H02",256,TRUE
"1166_1_2_H02",256,TRUE
"1166_1_2_H08",354,FALSE
"1166_1_2_H08",354,FALSE
"1166_1_2_H09",214,FALSE
"1166_1_2_H09",214,FALSE
"1166_1_2_H10",NA,FALSE
"1166_1_2_H10",NA,FALSE
"1166_1_2_H10",NA,FALSE
"1166_1_2_H13",295,FALSE
"1166_1_2_H13",295,FALSE
"1166_1_2_H14",5,TRUE
"1166_1_2_H14",5,TRUE
"1166_1_2_H15",111,TRUE
"1166_1_2_H15",111,TRUE
"1166_1_2_I08",158,FALSE
"1166_1_2_I08",158,FALSE
"1166_1_2_I11",202,FALSE
"1166_1_2_I11",202,FALSE
"1166_1_2_I16",214,FALSE
"1166_1_2_I16",214,FALSE
"1166_1_2_J02",5,TRUE
"1166_1_2_J02",5,TRUE
"1166_1_2_J03",202,FALSE
"1166_1_2_J03",202,FALSE
"1166_1_2_J04",83,FALSE
"1166_1_2_J04",83,FALSE
"1166_1_2_J07",291,FALSE
