"CELL","Specific","LRR","EPTP","Specific_UCA","specLight"
"1166_1_2_H14","TRUE","FALSE","TRUE","TRUE","K"
"1166_1_2_J02","TRUE","FALSE","TRUE","TRUE","K"
"1166_1_2_N14","TRUE","FALSE","TRUE","TRUE","K"
"1227_1_2_K02","TRUE","TRUE","FALSE","TRUE","K"
"1227_1_2_P01","TRUE","TRUE","FALSE","TRUE","K"
"1227_1_2_K03","TRUE","TRUE","FALSE","TRUE","K"
"1227_1_3_C01","TRUE","TRUE","FALSE","TRUE","K"
"1284_1_2_O04","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_4_E01","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_5_F06","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_6_L03","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_6_L04","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_6_P03","TRUE","FALSE","FALSE","FALSE","K"
"1166_1_1_H01","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_E06","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_J04","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_F13","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_G13","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_P12","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_P15","TRUE","TRUE","FALSE","FALSE","K"
"1227_1_2_J08","TRUE","FALSE","FALSE","FALSE","L"
"1227_1_2_O05","TRUE","FALSE","FALSE","FALSE","L"
"1227_1_1_G19","TRUE","TRUE","FALSE","TRUE","K"
"1227_1_1_N02","TRUE","TRUE","FALSE","TRUE","K"
"1227_1_2_K05","TRUE","TRUE","FALSE","TRUE","K"
"1284_1_4_C06","TRUE","FALSE","FALSE","FALSE","both"
"1284_1_5_G01","TRUE","FALSE","FALSE","FALSE",NA
"1284_1_5_O03","TRUE","FALSE","FALSE","FALSE","both"
"1284_1_6_L01","TRUE","FALSE","FALSE","FALSE",NA
"1166_1_1_G18","TRUE","TRUE","FALSE","TRUE","K"
"1166_1_2_H15","TRUE","TRUE","FALSE","TRUE","K"
"1166_1_2_G03","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_G09","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_I08","TRUE","TRUE","FALSE","FALSE","L"
"1166_1_2_M08","TRUE","TRUE","FALSE","FALSE","L"
"1166_1_2_N02","TRUE","TRUE","FALSE","FALSE","L"
"1284_1_4_D04","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_4_O01","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_5_N03","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_6_F01","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_6_J05","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_6_O03","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_4_C05","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_6_A02","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_6_N03","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_D03","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_E05","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_F12","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_I11","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_J03","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_L14","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_M12","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_N05","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_C09","TRUE","FALSE","TRUE","TRUE","K"
"1166_1_2_D08","TRUE","FALSE","TRUE","TRUE","K"
"1166_1_2_D09","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_E15","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_J12","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_N10","TRUE","FALSE","TRUE","FALSE","K"
"1284_1_4_E05","TRUE","FALSE","FALSE","FALSE","both"
"1284_1_6_D03","TRUE","FALSE","FALSE","FALSE","both"
"1166_1_2_G08","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_H09","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_I16","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_L16","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_M05","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_K04","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_K07","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_K12","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_M07","TRUE","FALSE","TRUE","FALSE","K"
"1166_1_2_J05","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_L15","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_J08","TRUE","FALSE","FALSE","FALSE","L"
"1166_1_2_M09","TRUE","FALSE","FALSE","FALSE","L"
"1166_1_2_D05","TRUE","FALSE","TRUE","TRUE","K"
"1166_1_2_H02","TRUE","FALSE","TRUE","TRUE","K"
"1284_1_1_N09","TRUE","FALSE","FALSE","FALSE",NA
"1284_1_4_A05","TRUE","FALSE","FALSE","FALSE","L"
"1284_1_5_N04","TRUE","FALSE","FALSE","FALSE","L"
"1284_1_1_B07","TRUE","FALSE","FALSE","FALSE",NA
"1284_1_1_H07","TRUE","FALSE","FALSE","FALSE","L"
"1284_1_3_J02","TRUE","FALSE","FALSE","FALSE",NA
"1284_1_5_C01","TRUE","FALSE","FALSE","FALSE",NA
"1284_1_5_F01","TRUE","FALSE","FALSE","FALSE","L"
"1284_1_5_K01","TRUE","FALSE","FALSE","FALSE",NA
"1284_1_6_G03","TRUE","FALSE","FALSE","FALSE","L"
"1166_1_2_F14","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_J07","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_J16","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_C12","TRUE","FALSE","TRUE","FALSE","L"
"1166_1_2_N13","TRUE","FALSE","TRUE","FALSE","L"
"1166_1_1_D14","TRUE","FALSE","TRUE","FALSE","L"
"1166_1_2_H13","TRUE","FALSE","TRUE","FALSE","L"
"1284_1_4_A03","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_6_C04","TRUE","FALSE","FALSE","FALSE","K"
"1166_1_2_D11","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_F04","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_A11","TRUE","TRUE","FALSE","TRUE","K"
"1166_1_2_B03","TRUE","TRUE","FALSE","TRUE","K"
"1166_1_2_F15","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_I02","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_1_A09","TRUE","FALSE","FALSE","TRUE",NA
"1284_1_5_A04","TRUE","FALSE","FALSE","TRUE","K"
"1284_1_5_A06","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_5_P01","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_6_H01","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_6_H02","TRUE","FALSE","FALSE","FALSE","K"
"1166_1_2_A10","TRUE","TRUE","FALSE","TRUE","K"
"1166_1_2_N03","TRUE","TRUE","FALSE","TRUE","K"
"1166_1_2_B06","TRUE","FALSE","TRUE","FALSE","L"
"1166_1_2_G12","TRUE","FALSE","TRUE","FALSE","L"
"1166_1_2_C11","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_H08","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_N07","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_F02","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_G04","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_6_A04","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_6_E04","TRUE","FALSE","FALSE","FALSE","K"
"1166_1_2_B10","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_F07","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_1_O04","TRUE","FALSE","TRUE","TRUE",NA
"1166_1_1_O20","TRUE","FALSE","TRUE","TRUE","K"
"1284_1_4_L02","TRUE","FALSE","FALSE","TRUE","K"
"1284_1_6_G05","TRUE","FALSE","FALSE","TRUE","K"
"1166_1_2_A13","TRUE","FALSE","FALSE","FALSE","L"
"1166_1_2_A14","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_A15","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_B02","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_B04","TRUE","TRUE","FALSE","FALSE","L"
"1166_1_2_D07","TRUE","FALSE","TRUE","TRUE","L"
"1166_1_2_D14","TRUE","TRUE","FALSE","FALSE","L"
"1166_1_2_E08","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_G10","TRUE","TRUE","FALSE","TRUE","K"
"1166_1_2_G14","TRUE","TRUE","FALSE","TRUE","K"
"1166_1_2_H07","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_H10","TRUE","TRUE","FALSE","FALSE","both"
"1166_1_2_H12","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_I05","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_J09","TRUE","TRUE","FALSE","FALSE","L"
"1166_1_2_K03","TRUE","TRUE","FALSE","FALSE","K"
"1166_1_2_K09","TRUE","FALSE","TRUE","TRUE","K"
"1166_1_2_L03","TRUE","FALSE","TRUE","FALSE","L"
"1166_1_2_L13","TRUE","FALSE","TRUE","TRUE","L"
"1166_1_2_M16","TRUE","TRUE","FALSE","FALSE","L"
"1166_1_2_N11","TRUE","TRUE","FALSE","FALSE","L"
"1166_1_2_N12","TRUE","FALSE","TRUE","FALSE","L"
"1166_1_2_O13","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_P04","FALSE","FALSE","FALSE","FALSE",NA
"1166_1_2_P06","TRUE","TRUE","FALSE","TRUE","K"
"1166_1_2_P14","TRUE","TRUE","FALSE","FALSE","K"
"1227_1_1_K05","FALSE","FALSE","FALSE","FALSE",NA
"1227_1_2_B08","TRUE","TRUE","FALSE","TRUE","K"
"1227_1_2_C04","TRUE","TRUE","FALSE","FALSE","L"
"1227_1_2_J05","TRUE","FALSE","TRUE","FALSE","L"
"1227_1_2_O03","TRUE","TRUE","FALSE","FALSE","L"
"1227_1_2_O06","FALSE","FALSE","FALSE","FALSE",NA
"1227_1_3_J02","TRUE","FALSE","TRUE","TRUE","L"
"1284_1_1_F09","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_4_D05","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_4_J06","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_4_N04","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_4_O03","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_5_K06","TRUE","FALSE","FALSE","FALSE","K"
"1284_1_5_M06","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_6_L02","FALSE","FALSE","FALSE","FALSE",NA
"1284_1_6_P04","TRUE","FALSE","FALSE","TRUE","K"
