"CELL","EPD"
"1166_1_2_H14",0.004882813
"1166_1_2_J02",0.004882813
"1166_1_2_N14",0.004882813
"1227_1_2_K02",0.004882813
"1227_1_3_C01",0.004882813
"1166_1_1_H01",0.009765625
"1166_1_2_J04",0.009765625
"1166_1_2_F13",0.01953125
"1166_1_2_G13",0.01953125
"1166_1_2_P12",0.009765625
"1166_1_2_P15",0.01953125
"1227_1_1_G19",0.004882813
"1284_1_4_C06",0.002441406
"1166_1_1_G18",0.01953125
"1166_1_2_M08",2.5
"1166_1_2_N02",0.625
"1284_1_4_O01",0.001220703
"1166_1_2_D03",0.01953125
"1166_1_2_E05",0.029296875
"1166_1_2_F12",0.009765625
"1166_1_2_I11",0.01953125
"1166_1_2_J03",0.009765625
"1166_1_2_L14",0.01953125
"1166_1_2_M12",0.01953125
"1166_1_2_C09",0.009765625
"1166_1_2_D09",0.004882813
"1166_1_2_E15",0.001220703
"1166_1_2_J12",0.004882813
"1166_1_2_N10",0.001220703
"1284_1_4_E05",0.000610352
"1166_1_2_G08",0.078125
"1166_1_2_H09",0.01953125
"1166_1_2_I16",0.01953125
"1166_1_2_L16",0.078125
"1166_1_2_M05",0.01953125
"1166_1_2_K04",0.0390625
"1166_1_2_K12",1.25
"1166_1_2_D05",0.004882813
"1284_1_1_H07",0.004882813
"1166_1_2_F14",0.15625
"1166_1_2_N13",0.009765625
"1166_1_1_D14",0.004882813
"1166_1_2_D11",0.009765625
"1166_1_2_A11",0.004882813
"1284_1_5_A04",0.001220703
"1166_1_2_A10",0.004882813
"1166_1_2_B06",0.078125
"1284_1_6_A04",0.004882813
"1166_1_2_B10",0.3125
"1166_1_1_O20",0.0390625
"1284_1_4_L02",0.001220703
"1166_1_2_A13",0.009765625
"1166_1_2_B02",0.009765625
"1166_1_2_B04",0.004882813
"1166_1_2_D07",0.004882813
"1166_1_2_D14",0.01953125
"1166_1_2_G10",0.004882813
"1166_1_2_G14",0.01953125
"1166_1_2_H07",0.004882813
"1166_1_2_H10",0.15625
"1166_1_2_J09",0.004882813
"1166_1_2_K03",0.001220703
"1166_1_2_K09",0.004882813
"1166_1_2_L03",5
"1166_1_2_L13",0.01953125
"1166_1_2_M16",0.004882813
"1166_1_2_N11",0.01953125
"1166_1_2_N12",0.009765625
"1166_1_2_P06",0.009765625
"1166_1_2_P14",0.009765625
"1227_1_2_B08",0.000610352
"1227_1_2_C04",0.001220703
"1227_1_2_J05",0.000610352
"1227_1_2_O03",0.01953125
"1227_1_3_J02",0.009765625
"1284_1_6_P04",0.001220703
"1227_1_2_P01",0.004882813
"1227_1_2_K03",0.004882813
"1166_1_2_E06",0.009765625
"1227_1_1_N02",0.004882813
"1227_1_2_K05",0.004882813
"1284_1_4_D04",0.001220703
"1284_1_5_N03",0.001220703
"1166_1_2_N05",0.029296875
"1166_1_2_K07",0.0390625
"1166_1_2_M07",1.25
"1166_1_2_H02",0.004882813
"1284_1_1_B07",0.004882813
"1284_1_3_J02",0.004882813
"1166_1_2_J07",0.15625
"1166_1_2_J16",0.15625
"1166_1_2_C12",0.009765625
"1166_1_2_H13",0.004882813
"1166_1_2_F04",0.009765625
"1166_1_2_B03",0.004882813
"1284_1_1_A09",0.001220703
"1166_1_2_N03",0.004882813
"1166_1_2_G12",0.078125
"1284_1_6_E04",0.004882813
"1166_1_2_F07",0.3125
"1166_1_1_O04",0.0390625
