CELL,LOCUS,HamClone
1166_1_2_K05,H,1
1166_1_2_K05,K,1
1166_1_2_K05,L,1
1166_1_1_H17,H,2
1166_1_1_H17,K,2
1166_1_2_N09,H,3
1166_1_2_N09,K,3
1166_1_2_B08,H,4
1166_1_2_B08,K,4
1166_1_2_N14,H,5
1166_1_2_N14,K,5
1166_1_2_H14,H,5
1166_1_2_H14,K,5
1166_1_2_J02,H,5
1166_1_2_J02,K,5
1284_1_4_P05,H,6
1284_1_4_P05,K,6
1284_1_4_G05,H,7
1284_1_4_G05,K,7
1166_1_2_B12,H,8
1166_1_2_B12,K,8
1166_1_1_G12,H,8
1166_1_1_G12,K,8
1166_1_2_I03,H,9
1166_1_2_I03,K,9
1166_1_2_F11,H,10
1166_1_2_F11,L,10
1166_1_2_I05,H,11
1166_1_2_I05,K,11
1166_1_2_G15,H,12
1166_1_2_G15,K,12
1284_1_5_B03,H,13
1284_1_5_B03,K,13
1284_1_5_B03,L,13
1227_1_2_L03,H,14
1227_1_2_L03,K,14
1227_1_2_L03,L,14
1227_1_2_E04,H,15
1227_1_2_E04,L,15
1166_1_1_C07,H,16
1166_1_1_C07,K,16
1284_1_5_L02,H,17
1284_1_5_L02,L,17
1284_1_6_P04,H,18
1284_1_6_P04,K,18
1227_1_2_P08,H,19
1227_1_2_P08,K,19
1227_1_2_P08,L,19
1227_1_2_K02,H,20
1227_1_2_K02,K,20
1227_1_2_P01,H,20
1227_1_2_P01,K,20
1284_1_3_B12,H,21
1284_1_3_B12,L,21
1284_1_6_K04,H,22
1284_1_6_K04,L,22
1166_1_2_L03,H,23
1166_1_2_L03,L,23
1227_1_2_E01,H,24
1227_1_2_E01,K,24
1166_1_2_D07,H,25
1166_1_2_D07,L,25
1166_1_1_M06,H,26
1166_1_1_M06,K,26
1124_1_2_N02,H,27
1124_1_2_N02,K,27
1284_1_5_B06,H,28
1284_1_5_B06,L,28
1227_1_2_B02,H,29
1227_1_2_B02,K,29
1227_1_2_N03,H,30
1227_1_2_N03,K,30
1166_1_2_K06,H,31
1166_1_2_K06,K,31
1166_1_2_K06,L,31
1166_1_2_C07,H,32
1166_1_2_C07,L,32
1166_1_2_C03,H,33
1166_1_2_C03,L,33
0051_2_2_L01,H,34
0051_2_2_L01,L,34
1284_1_1_A01,H,35
1284_1_1_A01,K,35
1284_1_1_A01,L,35
1166_1_2_C08,H,36
1166_1_2_C08,K,36
1166_1_2_I06,H,37
1166_1_2_I06,L,37
1284_1_4_M06,H,38
1284_1_4_M06,K,38
0051_2_3_M02,H,39
0051_2_3_M02,L,39
1227_2_4_A01,H,40
1227_2_4_A01,L,40
1284_1_6_P02,H,41
1284_1_6_P02,K,41
1166_1_2_K15,H,42
1166_1_2_K15,L,42
1284_1_5_I06,H,43
1284_1_5_I06,L,43
1227_1_2_K03,H,44
1227_1_2_K03,K,44
1227_1_3_C01,H,44
1227_1_3_C01,K,44
1166_1_2_L05,H,45
1166_1_2_L05,L,45
1166_1_2_N12,H,46
