"","x"
"1","1227_1_2_A01"
"2","1227_1_3_E02"
"3","1227_1_3_I02"
"4","1284_1_2_A01"
"5","1284_1_4_I03"
"6","1227_1_1_K04"
"7","1284_1_3_A09"
"8","1284_1_3_J02"
"9","1284_1_6_A01"
"10","1284_1_6_D04"
"11","1284_1_6_G01"
"12","1284_1_5_H03"
"13","1284_1_1_A07"
"14","1284_1_5_G01"
"15","1284_1_1_M07"
"16","1284_1_5_M01"
"17","1284_1_1_H11"
"18","1284_1_5_E03"
"19","1284_1_5_N05"
"20","1284_1_5_G03"
"21","1284_1_1_A02"
"22","1284_1_1_H08"
"23","1284_1_1_A08"
"24","1284_1_5_L01"
"25","1284_1_5_O06"
"26","1284_1_1_A09"
"27","1284_1_1_B11"
"28","1284_1_1_P07"
"29","1284_1_1_P08"
"30","1284_1_5_A01"
"31","1284_1_1_H10"
"32","1284_1_1_G07"
"33","1284_1_1_N09"
"34","1284_1_1_O01"
"35","1284_1_5_B04"
"36","1284_1_1_H09"
"37","1284_1_5_N02"
"38","1284_1_5_D01"
"39","1284_1_1_C07"
"40","1284_1_1_B03"
"41","1284_1_1_A01"
"42","1284_1_1_B10"
"43","1284_1_1_P09"
