"","SampleID","MUX_ID","MUX_name","Patient","Visit","Celltype","Plate","WellPos","SeqTechnique","DENVspecificity","ClusterID","Isotype"
"RHB4840","RHB4840","MUX5158","RNA0159L3","LNA018","V2","PB","P1",19,"smartseq","nd","cluster1_2_4","nd"
"RHB4841","RHB4841","MUX5158","RNA0159L3","LNA018","V2","PB","P1",20,"smartseq","nd","cluster1_2_4","nd"
"RHB4842","RHB4842","MUX5158","RNA0159L3","LNA018","V2","PB","P1",21,"smartseq","nd","cluster1_2_4","nd"
"RHB4843","RHB4843","MUX5158","RNA0159L3","LNA018","V2","PB","P1",22,"smartseq","nd","cluster1_2_4","nd"
"RHB4844","RHB4844","MUX5158","RNA0159L3","LNA018","V2","PB","P1",23,"smartseq","nd","cluster1_2_4","nd"
"RHB4845","RHB4845","MUX5158","RNA0159L3","LNA018","V2","PB","P1",24,"smartseq","nd","cluster1_2_4","nd"
"RHB4846","RHB4846","MUX5158","RNA0159L3","LNA018","V2","PB","P1",25,"smartseq","nd","cluster1_2_4","nd"
"RHB4847","RHB4847","MUX5158","RNA0159L3","LNA018","V2","PB","P1",26,"smartseq","nd","cluster1_2_4","nd"
"RHB4848","RHB4848","MUX5158","RNA0159L3","LNA018","V2","PB","P1",27,"smartseq","nd","cluster1_2_4","nd"
"RHB4849","RHB4849","MUX5158","RNA0159L3","LNA018","V2","PB","P1",28,"smartseq","1","cluster1_2_4","nd"
"RHB4850","RHB4850","MUX5158","RNA0159L3","LNA018","V2","PB","P1",29,"smartseq","1","cluster1_2_4","nd"
"RHB4851","RHB4851","MUX5158","RNA0159L3","LNA018","V2","PB","P1",30,"smartseq","nd","cluster1_2_4","nd"
"RHB4852","RHB4852","MUX5158","RNA0159L3","LNA018","V2","PB","P1",31,"smartseq","nd","cluster1_2_4","nd"
"RHB4853","RHB4853","MUX5158","RNA0159L3","LNA018","V2","PB","P1",32,"smartseq","nd","cluster1_2_4","nd"
