X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30
-8.84262,-8.009697,4.567414,6.197398,6.908836,2.3146796,0.9048667,0.46619192,-2.0042121,2.041687,-0.1885698,12.023281,4.140854,3.665383,-2.7376442,-4.5881867,1.9128984,-1.5442232,0.16470608,8.610486,6.5345244,-10.406479,-3.7098598,-8.38938,-2.640858,-8.156985,6.5507894,-2.388837,0.46197936,-0.16931783
11.51002,-5.5625477,-6.751349,-0.057432137,-5.087972,-0.72809625,-6.026823,0.8074451,6.465723,6.8915377,0.59066767,1.4066904,7.0867014,-2.842764,0.4645949,2.8036258,8.609591,6.9535155,-8.763195,1.4417558,-0.9292026,-1.4752657,-0.9635892,7.646241,-2.0329454,2.211257,5.383891,-4.855325,2.9405997,-2.8926065
11.050767,3.2718158,-5.313909,1.7860476,-7.4763403,-5.7060823,4.3275013,4.1338387,-0.2593177,0.2602947,3.978604,-3.9427,0.62649494,-3.2433352,0.65495473,1.1562464,-0.13058017,-4.1466665,6.7054048,-1.5836616,-1.0286342,-4.618939,2.3880866,5.402777,2.4163585,1.2455513,-1.5742131,-0.571975,-1.0955564,-0.17405033
6.8178024,3.6950905,-5.3825073,5.596944,-1.7586834,1.6129835,-11.039551,0.7340023,9.879081,2.6204753,-2.4774418,-3.4048233,3.213345,-0.8628703,-1.7258627,2.8318152,7.2498198,-0.75958896,-1.6324576,7.6591353,-0.10221468,2.990593,0.14010955,3.7586517,-4.663927,-3.1677253,4.776903,-0.6011783,-11.5745325,-4.4104075
-14.515775,-9.5151415,1.8741766,9.250688,3.3412545,-6.4486074,5.7867823,-0.28024,-1.5320519,-4.352255,-0.36065012,-2.500799,6.184821,7.4567847,-0.2764726,-8.565843,1.2490327,-4.6581306,1.096228,-5.4531155,7.2060647,-4.157248,-0.17021759,-1.758988,-0.42625242,4.6425285,4.7671814,2.7053835,-8.767038,-9.630869
-7.980206,-11.3620615,7.091723,0.9739431,3.802537,-2.99348,-2.242944,2.202478,-3.1453376,-2.305021,5.079691,-7.9122148,4.6771646,-4.9002085,2.2349768,-1.9415878,1.8656508,11.210305,4.5371313,-1.9347497,-1.8605345,-2.979291,1.4369456,-3.176635,-9.532117,-2.081622,-12.653669,5.13252,-8.866627,2.000126
-7.373014,-6.9953675,2.8342788,8.0251045,4.398077,5.121403,-1.941375,-0.5977697,1.5607859,-6.620917,11.328379,-2.3096323,-2.9159286,-7.232148,-2.2141416,9.230591,-8.349807,3.2986283,-6.1171317,3.895459,4.3881083,2.3070319,-3.8979094,1.134651,0.8138467,-0.17632191,-1.7229137,7.439196,6.4335546,3.6002944
4.366039,13.816112,1.2820833,-5.29035,0.7553998,-8.660122,-4.2104483,-0.06914813,1.9159621,-1.7783017,3.2018735,-2.2757232,-0.045475047,7.307739,-6.21172,-0.2367768,8.528387,-1.0622756,6.5800185,-4.0108747,3.3651881,-2.470476,0.94388765,-4.9712005,1.0150901,-4.607848,1.3539917,-1.3214116,1.7288702,-1.8702568
21.560879,-4.8261423,1.5709361,-13.418122,5.0839257,-4.5955634,-2.6321726,-5.7355256,-2.184312,-0.5290532,2.7567337,4.4372735,-11.584141,-12.146863,-0.20602804,0.42672288,3.2163064,-4.2940774,-1.2078595,-0.65298367,0.14808622,-1.8147697,2.119326,0.6393297,-2.9287498,4.0855536,8.17738,3.3631666,2.839395,-4.7221093
-2.2211297,17.235119,9.4712305,1.208863,-6.412869,8.282774,-5.423403,-1.76687,-6.44563,-2.9873464,-3.1802802,0.3845817,3.2643251,-0.29841435,0.6417707,-2.780215,0.58181196,1.7859689,2.5999122,0.43852216,-3.5661702,0.36613458,1.7131141,1.2520274,1.2301832,-1.5954396,0.48739025,0.101488404,1.1035203,-0.6003649
