"","FSC-A","FSC-H","SSC-A","SSC-H","CD20","CD56","CD45","CD38","CD138","CD4_IgD","CD14_7AAD","CD19","CD16","CD8","CD3","CD27","TIME","CD4","IgD","Plate","Index","Cell","Cell_type"
"JR1166_1_CSF_all.fcs.426",263168,202481.125,167936,91136,0.128543796215309,0.707465322170355,5.63225614525051,0.943312007628701,0.0116152926949362,0.0176241544445718,0.515919054352841,-0.741252740042218,-0.946984580398989,4.18955227023419,2.00717564536615,2.03522605193,0.375,0.0176241544445718,0.0714286417812131,1,"A1","1166_1_1_A01","CD8T"
"JR1166_1_CSF_all.fcs.427",265984,209137.125,145408,93696,-0.11337977237469,0.438023197412005,5.58706110759897,0.356786533735363,-0.78221689652851,0.0190735932382766,-0.599771056706042,0.478209677542762,1.0589274911532,5.62372061507705,2.05631271626474,1.48346762750796,0.375,0.0190735932382766,0.0552495285864668,1,"A1","1166_1_1_A01","CD8T"
"JR1166_1_CSF_all.fcs.428",323072,253681.125,145152,79616,-0.12819279785878,0.562661273074341,5.19898581363162,-0.606224666676275,-0.13139437305973,3.73552089315061,-0.594256304328263,0.471848891759604,0.548099373769084,-0.143291981784908,2.22639580648663,2.1060031184239,0.375,3.73552089315061,0.109213851396701,1,"A1","1166_1_1_A01","CD4T"
"JR1166_1_CSF_all.fcs.429",300800,232689.125,167424,86016,0.647903231146202,-0.20877967632732,5.42805055539087,0.580904805797685,-0.0773977445549453,3.65737532958886,-0.673275471966789,-0.349818099186288,0.789906932738052,0.0208430423278092,1.97268284760238,1.66786012391918,0.375,3.65737532958886,0.125143848273129,1,"A1","1166_1_1_A01","CD4T"
"JR1166_1_CSF_all.fcs.430",266752,212977.125,153600,90368,0.488659997670444,-0.603593082343015,4.74579414196341,0.320887935189046,0.337194234549309,3.27647825723448,0.369595209508693,-0.0599791952996267,-0.213279985981786,1.18456297718347,1.34907731800111,1.18629644206511,0.375,3.27647825723448,-0.0907532129000307,1,"A1","1166_1_1_A01","CD4T"
"JR1166_1_CSF_all.fcs.431",320000,236017.125,166656,102912,0.744190978199674,2.31483431440961,5.62187928320852,0.518316264801972,-0.957651430414088,0.0382462177236406,-0.90968583443604,0.296237192422195,1.06640053627197,5.83222291069458,-1.10441249543782,1.30916312826584,0.375,0.0382462177236406,0.199455449357301,1,"A1","1166_1_1_A01","NK"
"JR1166_1_CSF_all.fcs.433",294144,233201.125,147712,92928,-0.0729293427640277,1.21077906408963,4.79471371950328,-0.209826019778684,-1.23429002386163,3.81467740813953,-1.08226909654086,0.188069508252838,-0.191423012814793,1.33692270036173,2.74487943469259,0.190597832958841,0.5,3.81467740813953,0.161079723782136,1,"A1","1166_1_1_A01","CD4T"
"JR1166_1_CSF_all.fcs.436",333056,240881.125,149504,84736,0.280749186491507,0.709052367054251,5.26022173350011,0.140280789503264,-0.525080507664887,3.90337524251957,0.351679114490405,0.211062886799001,0.195837571622554,1.08519207022029,2.75963306156215,0.171976546229425,0.5,3.90337524251957,-0.0141310213869867,1,"A1","1166_1_1_A01","CD4T"
"JR1166_1_CSF_all.fcs.441",439040,298737.125,225024,117504,2.33204113873464,1.30179270171477,4.69620309927255,3.0144418091648,2.1226155483318,0.0181262968950804,0.0740383038550112,2.75766181522225,0.687787668549127,0.734511079143004,1.83667338500253,2.76933245137749,0.5,0.176063890623123,0.0181262968950804,1,"A1","1166_1_1_A01","ASC"
"JR1166_1_CSF_all.fcs.446",289024,205041.125,210688,123136,0.308364729260805,1.23260084326453,5.54295303408127,0.766144562232774,-0.336197321136157,0.0440024574708526,-0.936861451606522,0.392823179263446,-0.073166411830895,5.49712362926078,1.82856380642733,1.00678545907968,0.5,0.0440024574708526,0.00207685035649337,1,"A1","1166_1_1_A01","CD8T"
"JR1166_1_CSF_all.fcs.1178",327168,248817.125,170240,100864,0.425994597322113,0.875066525980797,5.52616053882825,0.372249753782784,-1.05732832914271,3.76323582266508,1.06827172269667,-0.602080710743717,-0.90033683334982,1.14594661077095,3.31626003188036,1.96082045197844,1.5,3.76323582266508,-0.250517635539178,1,"B1","1166_1_1_B01","CD4T"
"JR1166_1_CSF_all.fcs.1205",402432,303089.125,156416,84736,-0.0184381812257613,-0.142518944412546,5.30174982124848,-0.0300212775685936,-0.0588133822006639,3.57606324309815,1.07100392232468,0.264015493387849,0.484011241425442,1.24148063726394,2.32807981695033,2.02567284796297,1.625,3.57606324309815,0.0315897076084395,1,"C1","1166_1_1_C01","CD4T"
"JR1166_1_CSF_all.fcs.1223",361984,277745.125,160256,87296,0.764577805938042,-1.29771853839365,4.87440514909105,0.811616732703284,0.135642739368073,3.36476374240877,0.666304650974531,0.419079455048963,-0.468952910038134,0.663099404364422,2.18898576645013,2.27456281030453,1.875,3.36476374240877,0.0792903951518172,1,"D1","1166_1_1_D01","CD4T"
"JR1166_1_CSF_all.fcs.1259",305920,223473.125,159232,87040,0.464801177243461,0.860195715679288,5.63818574608898,0.750454706273555,-0.238378229650595,0.0184443625766369,1.2512800737026,-0.712064242918079,0.515428819425001,5.4902399677077,2.23940825227275,1.99855282926077,2.125,0.0184443625766369,0.109232407117907,1,"E1","1166_1_1_E01","CD8T"
"JR1166_1_CSF_all.fcs.1281",345344,263921.125,200448,118272,0.313942384112129,1.10224072898269,5.13765840398565,1.37294819348466,0.806620451637363,3.97067064482204,1.37540497783015,0.559235841720597,0.182218566127405,-0.346609267426392,2.5193218777999,0.930805562199303,2.375,3.97067064482204,0.014991924610921,1,"F1","1166_1_1_F01","CD4T"
"JR1166_1_CSF_all.fcs.1294",375808,290545.125,177664,106496,-0.210826819619622,0.67192364505533,5.41523929240647,-0.593515224408132,1.01394283150218,4.13209545948417,1.44892522187178,-0.344791533229177,-1.10369046898321,0.8578029338394,2.91870682051836,1.04394262265464,2.375,4.13209545948417,0.0961543864436201,1,"G1","1166_1_1_G01","CD4T"
"JR1166_1_CSF_all.fcs.1322",654848,440049.125,384000,181248,0.0605200351393214,-0.244852125817728,5.44244139039386,4.69211209137253,5.07331877986996,0.0993984984618937,-0.56406476863376,3.36163170559479,1.0564368259143,-0.171915781546204,-1.22169808547943,2.08610530249453,2.625,0.169770688349609,0.0993984984618937,1,"H1","1166_1_1_H01","ASC"
"JR1166_1_CSF_all.fcs.1338",379136,296945.125,145408,81152,0.295374803226278,0.281808498936407,4.96134190619232,-0.662703479338262,-0.585749851158417,3.81433071321383,-0.682450012209431,-0.240032776050903,-0.102225294434625,1.50245701855004,2.09669846577397,0.36028944289556,2.75,3.81433071321383,0.00724881728932376,1,"I1","1166_1_1_I01","CD4T"
"JR1166_1_CSF_all.fcs.1358",367104,268785.125,166656,86016,0.102698522037965,-0.0406336758794114,4.97021873656581,0.570668805190537,-0.891071991924722,3.63854410817562,-0.773287636807104,0.439723022163411,0.131457258684088,0.711944468117823,2.35832934839766,1.4029707328925,2.875,3.63854410817562,0.0573833675316296,1,"J1","1166_1_1_J01","CD4T"
"JR1166_1_CSF_all.fcs.1381",366080,268529.125,172032,100864,0.165544010125251,-0.101252148800642,5.03726561941482,0.824205996464987,0.156736349960344,3.79796453423888,-1.03948908521353,-0.0170535853403875,0.610298011779829,1.07227404339415,1.92228670784858,1.5045344786706,3.125,3.79796453423888,0.0402847464720087,1,"K1","1166_1_1_K01","CD4T"
"JR1166_1_CSF_all.fcs.1398",409344,304625.125,212992,108800,0.198585680394396,0.524548035552128,5.34074360937436,-0.0599839808509556,-0.462331288157481,3.8909360374766,-0.569376186536754,-0.509454322070187,0.202856030618667,0.970487478579826,1.56997877628508,0.654011548742132,3.25,3.8909360374766,0.104785282976841,1,"L1","1166_1_1_L01","CD4T"
"JR1166_1_CSF_all.fcs.1408",371456,273649.125,162560,81408,0.313525389207314,-0.233442103180455,4.69017567801211,0.310501425886587,0.32337152563298,3.52796098873102,1.0412047726847,-0.0549449145458545,-0.00237798163906496,0.192742250903388,2.1246485581004,1.1505675672706,3.5,3.52796098873102,0.0756996371324128,1,"M1","1166_1_1_M01","CD4T"
