"names","Pearson_correlation"
"ZWINT",-0.90804435121531
"TYMS",-0.891398077781841
"TK1",-0.887668331910139
"MCM2",-0.872306517623016
"STMN1",-0.861897500294674
"RRM2",-0.860383468477965
"DTL",-0.856297694208749
"CENPU",-0.846273654646116
"FEN1",-0.840435671565057
"MYBL2",-0.837294642761342
"BUB1",-0.834206192117868
"PCLAF",-0.833843093561353
"CENPW",-0.833616527695237
"BIRC5",-0.833489797477845
"CENPN",-0.823048233408866
"MAD2L1",-0.820780937590945
"ASF1B",-0.817859142935306
"PTTG1",-0.811048022836955
"MKI67",-0.809838970793143
"UBE2T",-0.807544685243182
"DHFR",-0.807335599106081
"CENPM",-0.806330621706624
"CDKN3",-0.801094385991583
"PHF19",-0.800458821560842
"CDC6",-0.800360237123701
"CCNB2",-0.799032615614927
"CDC20",-0.797954310111381
"HMGB3",-0.792003710780903
"APOBEC3B",-0.79022047854876
"TRIP13",-0.787397656830973
"RRM1",-0.787013942296311
"NCAPG2",-0.786813292932206
"FABP5",-0.785459964248221
"CLSPN",-0.784409331328718
"MCM4",-0.78130155602423
"GINS2",-0.780935604522438
"CCNA2",-0.779643382662626
"RAD51AP1",-0.777551870853428
"TFDP1",-0.775125181596064
"H2AFX",-0.771921450123095
"SPC24",-0.771502731712884
"SKA3",-0.771321354475844
"RFC4",-0.769580027948611
"SPAG5",-0.76872625217032
"AURKB",-0.768317156139062
"NUSAP1",-0.767872078855585
"SMC4",-0.76640143787787
"MCM10",-0.76569625062761
"HNRNPAB",-0.765268981649941
"GMNN",-0.764536062395914
"MCM7",-0.764324350328352
"SCD",-0.762551265039627
"CDCA8",-0.761843262579312
"SMC2",-0.761370531910726
"PCNA",-0.760687206996856
"PKMYT1",-0.758373402050687
"VRK1",-0.755362975610133
"PTMA",-0.753951753627643
"HMGB2",-0.753078988114142
"FADS2",-0.75173209078879
"TUBB4B",-0.751722076383767
"CSE1L",-0.751042297006493
"UBE2C",-0.750756028234015
"SHCBP1",-0.749595934765892
"PAICS",-0.74928033353514
"CDK1",-0.748036330500969
"ACAT2",-0.747782084817577
"CDCA5",-0.746685322380598
"GGH",-0.746532800806338
"DUT",-0.746403534630343
"CKS1B",-0.745608352184902
"FANCI",-0.74499093560051
"NCAPG",-0.743340257387196
"LMNB1",-0.743115924168063
"UHRF1",-0.74153088344216
"NUDT1",-0.741348065923853
"ATAD2",-0.739232573837437
"KIF2C",-0.739176303209109
"HMGB1",-0.737712386084602
"LRR1",-0.737560615009889
"ANP32B",-0.737311679107116
"TPX2",-0.736772796423578
"POLQ",-0.736667952448236
"RAD51",-0.736658246761563
"WDR76",-0.736242979414875
"",-0.735674527471957
"CHAF1A",-0.735071083426564
"NASP",-0.734948989410672
"KIF20B",-0.734142034641639
"DLGAP5",-0.733903050244497
"HAT1",-0.733622680430663
"TUBA1B",-0.730818398227906
"TROAP",-0.730198830721845
"CDC45",-0.729985046949889
"H2AFY",-0.729523671407363
"NCAPD2",-0.727508770386491
"SNRPE",-0.72741936633012
"TMPO",-0.727209358723984
"GTSE1",-0.726302028856776
"TUBB",-0.726169134112219
"RPA3",-0.723669326370865
"HJURP",-0.722588108263227
"DNAJC9",-0.72142260434051
"TPRKB",-0.72121274165549
"RNASEH2A",-0.718141710863943
"DTYMK",-0.715581213775021
"POLE3",-0.714888722844288
"FH",-0.714028566497366
"SNRPF",-0.713008536179983
"NCAPH",-0.712153704464017
"SLC43A3",-0.711916865160853
"GPI",-0.711367939984615
"LDHA",-0.709411981811195
"RANBP1",-0.709292467909357
"KPNA2",-0.70842757822413
"TMEM106C",-0.70826061536493
"KIF22",-0.707949449635206
"CBX5",-0.70719197905662
"SSBP1",-0.70610071757498
"WDR34",-0.704523266637774
"PSMD14",-0.703795870894622
"BOLA3",-0.703075959266162
"CBX3",-0.701487915764988
"C19orf48",-0.700641104294648
"USP1",-0.700615083214424
"FADS1",-0.699913662363384
"NCAPD3",-0.699545178767554
"PLK4",-0.698850871260542
"TOP2A",-0.698844471065219
"PBK",-0.698348434981847
"DNMT1",-0.697983123158195
"FBXO5",-0.697977439250839
"SPDL1",-0.697746244181369
"HMGN2",-0.697116602496744
"MCM6",-0.696137858678384
"HMGA1",-0.696065329913339
"DIAPH3",-0.69577021500851
"LSM5",-0.6956058856471
"OIP5",-0.695544077173588
"H2AFV",-0.694870331602015
"YEATS4",-0.694599723379607
"CDCA3",-0.694120878106559
"EBP",-0.694052112469812
"KIF11",-0.694017605634188
"EIF1AX",-0.693626295956878
"POP7",-0.693322014715487
"HSPD1",-0.693247974535782
"OXCT1",-0.693003557107917
"ASPM",-0.691970445055328
"EIF4A3",-0.69188457401654
"CKS2",-0.691843676573282
"MELK",-0.691743222857861
"LBR",-0.691394185870764
"TIMM10",-0.691286948968657
"HNRNPD",-0.691065982919103
"PA2G4",-0.69006559395562
"RAD18",-0.689786354070044
"CTNNAL1",-0.688681967435244
"JPT1",-0.688262394729852
"KNL1",-0.688143055975851
"ANP32E",-0.687380374833231
"HMMR",-0.687357681694805
"BCL2L12",-0.68665578223796
"MAGOHB",-0.686519919482414
"TOMM40",-0.686121730463076
"HELLS",-0.685242347135178
"COPS3",-0.685145774099484
"SNRPD1",-0.685138772508554
"SNRPG",-0.684667767839754
"KIF15",-0.683608993740296
"DHCR24",-0.682832671139607
"LIG1",-0.682753925484686
"MCM3",-0.682397877732294
"RFC3",-0.681210650147425
"NDC80",-0.680474911839898
"H2AFZ",-0.680404833453061
"MRPL12",-0.680271365521519
"SNRNP25",-0.680140572268477
"EXO1",-0.680044672473165
"DDX39A",-0.679499662150867
"PPIA",-0.679484900720627
"CCT6A",-0.678699360526069
"TUBG1",-0.678424018915806
"ERH",-0.678203460330637
"MIS18A",-0.677444175046033
"ATAD5",-0.677373467206578
"CENPP",-0.677270086474955
"RFC5",-0.677258979172242
"PPA1",-0.677063043900966
"ATP1B3",-0.676567622755355
"PHGDH",-0.676394063976099
"SYNCRIP",-0.675643047701088
"CYCS",-0.675578813744776
"MRPL37",-0.67406651829417
"POC1A",-0.673676569275183
"UCK2",-0.673345564807188
"NUF2",-0.673064957169455
"DHCR7",-0.672937325452258
"RUVBL2",-0.671998638446518
"POLA2",-0.671801309710905
"NME1",-0.671697393816542
"CTPS1",-0.671393792042367
"SLC25A5",-0.670851859081245
"NUDT5",-0.670787123699605
"PSMD3",-0.669404904582047
"PNP",-0.66937083722777
"CDK4",-0.669141134626775
"USP14",-0.669122305685524
"E2F2",-0.66857224452604
"MCM5",-0.668417482574375
"NDC1",-0.668269235840176
"PIM1",-0.667383175011265
"CARHSP1",-0.667100326761031
"SQLE",-0.665689679289539
"",-0.664813113441551
"SUV39H1",-0.663931860519777
"PRC1",-0.663652606853532
"STIL",-0.663397525225537
"VDAC1",-0.662889732312941
"SIVA1",-0.662564143290586
"CENPO",-0.661274618089619
"MRPL15",-0.660788862847928
"CENPK",-0.660739245218312
"POLD2",-0.660157243190122
"PXMP2",-0.659417747436096
"PSMG1",-0.659196461785529
"THOC3",-0.658704938352699
"CIP2A",-0.658676843183487
"NOLC1",-0.657427898659457
"ELOC",-0.656959994145976
"CDCA2",-0.656453870839482
"ESCO2",-0.656019919839666
"CENPF",-0.654922269481081
"BUB1B",-0.654825779273485
"PSMA5",-0.654556817342335
"PSMC5",-0.654123357629214
"EIF2S1",-0.654035719116763
"HADH",-0.653968777480052
"SSRP1",-0.653869326497494
"SRSF2",-0.653820469647575
"TIMELESS",-0.653782737775835
"HNRNPA1",-0.653569825903716
"SLBP",-0.653365029633144
"TCP1",-0.653361369480615
"MPHOSPH6",-0.653216748147535
"ODC1",-0.653079559915694
"CYB5B",-0.652497967686449
"PARPBP",-0.652416895560164
"MRTO4",-0.65201419208725
"G3BP1",-0.650868524286985
"MRPL27",-0.650674499056914
"PSMA6",-0.650541858968777
"SKA2",-0.650192243604237
"ATIC",-0.650179654389526
"MLEC",-0.650143407341785
"PSMA3",-0.649874457169794
"UCHL5",-0.649669457283922
"MPC2",-0.649668156018137
"IL6R",-0.649501973759785
"PDCD5",-0.64949615678971
"CDCA4",-0.649446103355741
"SERBP1",-0.649287742604669
"MRPS16",-0.649148368490014
"TRA2B",-0.648846003980752
"LRRC59",-0.648502544936078
"DEPDC1B",-0.648424610710707
"VBP1",-0.64822932830171
"NME1-NME2",-0.648095947945078
"TOMM6",-0.647909778512434
"ACOT7",-0.646965841574919
"CKAP2",-0.646920338987731
"HNRNPA2B1",-0.646887405063116
"CCNB1",-0.646642649951754
"TXNDC17",-0.646456137324195
"FARSB",-0.646369991940172
"PSMD1",-0.646210995764898
"CACYBP",-0.646183434144866
"SNRPB",-0.646029470970599
"LSM4",-0.645942108486064
"CCT4",-0.645898772715522
"C1QBP",-0.645815747469562
"SRM",-0.645814207815763
"ZWILCH",-0.645788755507066
"CDK6",-0.645573945593534
"CCT2",-0.645291499717096
"RAD51C",-0.645257261987961
"EZH2",-0.644785104912208
"BCCIP",-0.644137731109534
"FASN",-0.643614518527427
"SOD2",-0.643224929391696
"GARS",-0.643034613626735
"TBCA",-0.642175925286669
"PSMC3IP",-0.642134669011762
"SRSF3",-0.642123290142719
"RPL39L",-0.642044482016108
"HSD17B10",-0.641982703327246
"RPP30",-0.641867882116186
"POLR3K",-0.641078819446984
"TOP1",-0.640957270350995
"NPM1",-0.640555299522412
"EXOSC8",-0.640290147683388
"FBL",-0.640289592472256
"RAB5IF",-0.64023138606296
"MRPL22",-0.640067502778946
"ELL2",-0.64002087801087
"SNRPD3",-0.639797054636966
"MRPL11",-0.639480591185558
"UFD1",-0.639444998263803
"PRIM1",-0.639420718066138
"PRPF38A",-0.638585757213892
"MPDU1",-0.638291512264789
"CS",-0.637589433610928
"YARS",-0.637511818006973
"SNRPC",-0.637161044929648
"XRCC5",-0.63691628952232
"NDUFB3",-0.636767608342685
"RPA1",-0.63649502908769
"TPGS2",-0.635967155488667
"HSP90AA1",-0.635399056606985
"THSD8",-0.635265200023992
"STOML2",-0.635227464140674
"HSPA14",-0.634877179122945
"PSMD11",-0.634750770684902
"IMMT",-0.634658906684259
"FDPS",-0.634356744715125
"HNRNPU",-0.634142395256255
"CCT5",-0.63408865985011
"SF3A3",-0.633845399573091
"NUP93",-0.633249759119136
"MRPL3",-0.632987264592185
"ORC1",-0.632928386900048
"PGAM1",-0.632891545400559
"NOP16",-0.6327809087481
"RAC1",-0.632562409612074
"SMC1A",-0.63255041254798
"SAE1",-0.631685742388745
"FUNDC2",-0.631298730972351
"SSB",-0.631224047163415
"ELAVL1",-0.630804853920538
"SUCLG1",-0.630586405314343
"LSM3",-0.630551692647255
"PPP1R7",-0.630378906096228
"RBL1",-0.630366892313803
"PSMD12",-0.629727338459938
"SGO1",-0.629268061326461
"NUTF2",-0.629045989508924
"RAD1",-0.628771860926544
"GSPT1",-0.628629280387908
"PSMB2",-0.628583143336948
"POMP",-0.628451792396674
"PTBP1",-0.628402672542026
"RAN",-0.62824882259205
"RBM14",-0.628189218370118
"ADSL",-0.627732280542413
"LYAR",-0.627640774007447
"PTGES3",-0.627620498146114
"EIF3E",-0.627543733553033
"MSH2",-0.627457669573636
"ILF3",-0.626682177678831
"NDUFA9",-0.626651643347384
"TKT",-0.62614381022984
"DBF4",-0.625781615418152
"NSD2",-0.62552177485365
"HNRNPL",-0.625441601072369
"RTRAF",-0.625395147435966
"PGD",-0.625351891536958
"NDUFB6",-0.625268988123196
"TMEM167A",-0.625138355221264
