#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CEBPA	STAT3	9606.ENSP00000427514	9606.ENSP00000264657	0	0	0	0	0.062	0.066	0.650	0.720	0.903
CEBPA	IL6R	9606.ENSP00000427514	9606.ENSP00000357470	0	0	0	0	0.090	0	0.900	0.188	0.919
CEBPA	FOXO1	9606.ENSP00000427514	9606.ENSP00000368880	0	0	0	0	0.062	0.182	0	0.987	0.989
CEBPA	IL6	9606.ENSP00000427514	9606.ENSP00000385675	0	0	0	0	0	0	0	0.767	0.768
CNTF	STAT3	9606.ENSP00000355370	9606.ENSP00000264657	0	0	0	0	0	0	0	0.731	0.731
CNTF	JAK1	9606.ENSP00000355370	9606.ENSP00000343204	0	0	0	0	0	0	0.600	0.458	0.773
CNTF	TYK2	9606.ENSP00000355370	9606.ENSP00000431885	0	0	0	0	0	0	0.600	0.391	0.745
CNTF	JAK2	9606.ENSP00000355370	9606.ENSP00000371067	0	0	0	0	0	0	0.600	0.519	0.799
CNTF	IL6	9606.ENSP00000355370	9606.ENSP00000385675	0	0	0	0	0	0	0	0.855	0.856
CNTF	IL6R	9606.ENSP00000355370	9606.ENSP00000357470	0	0	0	0	0	0.486	0.600	0.680	0.928
CNTF	IL6ST	9606.ENSP00000355370	9606.ENSP00000370698	0	0	0	0	0	0.756	0.800	0.716	0.985
ERBB2	STAT3	9606.ENSP00000269571	9606.ENSP00000264657	0	0	0	0	0	0.743	0	0.976	0.993
ERBB2	STAT1	9606.ENSP00000269571	9606.ENSP00000354394	0	0	0	0	0.062	0.624	0	0.479	0.800
ERBB2	JAK3	9606.ENSP00000269571	9606.ENSP00000391676	0	0	0	0.581	0	0.107	0.800	0.520	0.852
ERBB2	JAK1	9606.ENSP00000269571	9606.ENSP00000343204	0	0	0	0.567	0	0.302	0.800	0.482	0.883
ERBB2	IL6R	9606.ENSP00000269571	9606.ENSP00000357470	0	0	0	0	0	0	0.900	0.508	0.948
ERBB2	JAK2	9606.ENSP00000269571	9606.ENSP00000371067	0	0	0	0.570	0	0.320	0.900	0.798	0.953
ERBB2	IL6	9606.ENSP00000269571	9606.ENSP00000385675	0	0	0	0	0	0	0.900	0.673	0.965
ERBB2	MUC1	9606.ENSP00000269571	9606.ENSP00000484824	0	0	0	0	0.070	0.486	0	0.942	0.970
ERBB2	PTPN11	9606.ENSP00000269571	9606.ENSP00000340944	0	0	0	0	0	0.939	0.900	0.795	0.998
FOXO1	MAPK3	9606.ENSP00000368880	9606.ENSP00000263025	0	0	0	0	0	0.057	0.800	0.561	0.910
FOXO1	STAT3	9606.ENSP00000368880	9606.ENSP00000264657	0	0	0	0	0	0.082	0.900	0.938	0.993
FOXO1	JAK1	9606.ENSP00000368880	9606.ENSP00000343204	0	0	0	0	0.062	0.118	0.900	0.260	0.930
FOXO1	IL6R	9606.ENSP00000368880	9606.ENSP00000357470	0	0	0	0	0	0	0.900	0.205	0.917
