#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BAG4	TNFRSF1A	9606.ENSP00000287322	9606.ENSP00000162749	0	0	0	0	0.062	0.499	0.900	0.944	0.997
BAG4	TRAF2	9606.ENSP00000287322	9606.ENSP00000247668	0	0	0	0	0	0	0.900	0.174	0.913
BAG4	RIPK1	9606.ENSP00000287322	9606.ENSP00000259808	0	0	0	0	0	0.056	0.900	0.158	0.913
BAG4	BIRC3	9606.ENSP00000287322	9606.ENSP00000263464	0	0	0	0	0	0	0.900	0.115	0.907
BAG4	TRAF1	9606.ENSP00000287322	9606.ENSP00000362994	0	0	0	0	0	0	0.900	0.100	0.906
BAG4	TNF	9606.ENSP00000287322	9606.ENSP00000398698	0	0	0	0	0	0.066	0.900	0.284	0.927
BAG4	FADD	9606.ENSP00000287322	9606.ENSP00000301838	0	0	0	0	0	0	0.900	0.327	0.929
BAG4	TRADD	9606.ENSP00000287322	9606.ENSP00000341268	0	0	0	0	0	0	0.900	0.563	0.954
BIRC2	TNFRSF1A	9606.ENSP00000477613	9606.ENSP00000162749	0	0	0	0	0.049	0.873	0.900	0.987	0.999
BIRC2	TRAF2	9606.ENSP00000477613	9606.ENSP00000247668	0	0	0	0	0.062	0.918	0.900	0.988	0.999
BIRC2	RIPK1	9606.ENSP00000477613	9606.ENSP00000259808	0	0	0	0	0	0.889	0.900	0.985	0.999
BIRC2	BIRC3	9606.ENSP00000477613	9606.ENSP00000263464	0	0	0	0.976	0.143	0.270	0.900	0.909	0.933
BIRC2	FADD	9606.ENSP00000477613	9606.ENSP00000301838	0	0	0	0	0	0.161	0.900	0.808	0.982
BIRC2	TRADD	9606.ENSP00000477613	9606.ENSP00000341268	0	0	0	0	0	0.476	0.900	0.989	0.999
BIRC2	CASP8	9606.ENSP00000477613	9606.ENSP00000351273	0	0	0	0	0.062	0.861	0.900	0.797	0.997
BIRC2	MAP3K7	9606.ENSP00000477613	9606.ENSP00000358335	0	0	0	0	0.063	0.161	0.600	0.591	0.854
BIRC2	CHUK	9606.ENSP00000477613	9606.ENSP00000359424	0	0	0	0	0.097	0.179	0.600	0.832	0.943
BIRC2	TRAF1	9606.ENSP00000477613	9606.ENSP00000362994	0	0	0	0	0.065	0.883	0.900	0.988	0.999
BIRC2	TNFRSF1B	9606.ENSP00000477613	9606.ENSP00000365435	0	0	0	0	0.049	0	0.900	0.807	0.980
BIRC2	CYLD	9606.ENSP00000477613	9606.ENSP00000392025	0	0	0	0	0.062	0	0.600	0.703	0.878
BIRC2	TNF	9606.ENSP00000477613	9606.ENSP00000398698	0	0	0	0	0.063	0.874	0.900	0.795	0.997
BIRC2	LTA	9606.ENSP00000477613	9606.ENSP00000403495	0	0	0	0	0.062	0.281	0.600	0.179	0.749
BIRC2	IKBKB	9606.ENSP00000477613	9606.ENSP00000430684	0	0	0	0	0.052	0.179	0.600	0.702	0.895
BIRC2	TNFAIP3	9606.ENSP00000477613	9606.ENSP00000481570	0	0	0	0	0.062	0.457	0.600	0.574	0.901
BIRC2	IKBKG	9606.ENSP00000477613	9606.ENSP00000483825	0	0	0	0	0	0.875	0.900	0.803	0.997
BIRC3	TNFRSF1A	9606.ENSP00000263464	9606.ENSP00000162749	0	0	0	0	0.062	0.770	0.900	0.822	0.995
BIRC3	TRAF2	9606.ENSP00000263464	9606.ENSP00000247668	0	0	0	0	0.062	0.984	0.900	0.910	0.999
BIRC3	RIPK1	9606.ENSP00000263464	9606.ENSP00000259808	0	0	0	0	0.062	0.774	0.900	0.940	0.998
BIRC3	LTA	9606.ENSP00000263464	9606.ENSP00000403495	0	0	0	0	0.117	0.056	0.600	0.211	0.702
BIRC3	MAP3K7	9606.ENSP00000263464	9606.ENSP00000358335	0	0	0	0	0.063	0.182	0.600	0.478	0.818
BIRC3	CYLD	9606.ENSP00000263464	9606.ENSP00000392025	0	0	0	0	0.089	0	0.600	0.550	0.822
BIRC3	CHUK	9606.ENSP00000263464	9606.ENSP00000359424	0	0	0	0	0.062	0.179	0.600	0.689	0.891
BIRC3	NSMAF	9606.ENSP00000263464	9606.ENSP00000411012	0	0	0	0	0.062	0	0.900	0.094	0.907
BIRC3	TNFAIP3	9606.ENSP00000263464	9606.ENSP00000481570	0	0	0	0	0.296	0.270	0.600	0.605	0.908
BIRC3	IKBKB	9606.ENSP00000263464	9606.ENSP00000430684	0	0	0	0	0.052	0.541	0.600	0.591	0.919
