"cell_name","clonal_group","group_size","Sample","Cell","newClone","Clonal","Subset"
"JR1166_1_1_A02",NA,NA,"1166_1","1166_1_1_A02","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A03",NA,NA,"1166_1","1166_1_1_A03","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A04",NA,NA,"1166_1","1166_1_1_A04","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A05",NA,NA,"1166_1","1166_1_1_A05","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A06",NA,NA,"1166_1","1166_1_1_A06","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A07",NA,NA,"1166_1","1166_1_1_A07","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A08",NA,NA,"1166_1","1166_1_1_A08","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A09",NA,NA,"1166_1","1166_1_1_A09","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A10",NA,NA,"1166_1","1166_1_1_A10","1166_1NA",FALSE,"CD8T"
"JR1166_1_1_A11",NA,NA,"1166_1","1166_1_1_A11","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A12",NA,NA,"1166_1","1166_1_1_A12","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A13",NA,NA,"1166_1","1166_1_1_A13","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A14",NA,NA,"1166_1","1166_1_1_A14","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A15",3,2,"1166_1","1166_1_1_A15","1166_13",TRUE,"CD4T"
"JR1166_1_1_A17",NA,NA,"1166_1","1166_1_1_A17","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A18",NA,NA,"1166_1","1166_1_1_A18","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A19",NA,NA,"1166_1","1166_1_1_A19","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A20",NA,NA,"1166_1","1166_1_1_A20","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A22",NA,NA,"1166_1","1166_1_1_A22","1166_1NA",FALSE,"CD8T"
"JR1166_1_1_A23",NA,NA,"1166_1","1166_1_1_A23","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_A24",NA,NA,"1166_1","1166_1_1_A24","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B01",NA,NA,"1166_1","1166_1_1_B01","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B03",NA,NA,"1166_1","1166_1_1_B03","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B04",NA,NA,"1166_1","1166_1_1_B04","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B05",NA,NA,"1166_1","1166_1_1_B05","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B06",NA,NA,"1166_1","1166_1_1_B06","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B07",NA,NA,"1166_1","1166_1_1_B07","1166_1NA",FALSE,"CD8T"
"JR1166_1_1_B09",NA,NA,"1166_1","1166_1_1_B09","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B10",NA,NA,"1166_1","1166_1_1_B10","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B11",NA,NA,"1166_1","1166_1_1_B11","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B13",NA,NA,"1166_1","1166_1_1_B13","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B14",NA,NA,"1166_1","1166_1_1_B14","1166_1NA",FALSE,"CD8T"
"JR1166_1_1_B15",NA,NA,"1166_1","1166_1_1_B15","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B16",NA,NA,"1166_1","1166_1_1_B16","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B18",0,5,"1166_1","1166_1_1_B18","1166_10",TRUE,"CD8T"
"JR1166_1_1_B19",NA,NA,"1166_1","1166_1_1_B19","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B22",NA,NA,"1166_1","1166_1_1_B22","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B23",NA,NA,"1166_1","1166_1_1_B23","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_B24",3,2,"1166_1","1166_1_1_B24","1166_13",TRUE,"CD4T"
"JR1166_1_1_C01",NA,NA,"1166_1","1166_1_1_C01","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_C02",NA,NA,"1166_1","1166_1_1_C02","1166_1NA",FALSE,"CD8T"
"JR1166_1_1_C03",NA,NA,"1166_1","1166_1_1_C03","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_C04",NA,NA,"1166_1","1166_1_1_C04","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_C05",NA,NA,"1166_1","1166_1_1_C05","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_C06",NA,NA,"1166_1","1166_1_1_C06","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_C08",NA,NA,"1166_1","1166_1_1_C08","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_C09",NA,NA,"1166_1","1166_1_1_C09","1166_1NA",FALSE,"CD4T"
"JR1166_1_1_C11",NA,NA,"1166_1","1166_1_1_C11","1166_1NA",FALSE,"CD4T"
