cell_name,clonal_group,group_size
JR1166_1_1_A01,,
JR1166_1_1_A02,,
JR1166_1_1_A03,,
JR1166_1_1_A04,,
JR1166_1_1_A05,,
JR1166_1_1_A06,,
JR1166_1_1_A07,,
JR1166_1_1_A08,,
JR1166_1_1_A09,,
JR1166_1_1_A10,,
JR1166_1_1_A11,,
JR1166_1_1_A12,,
JR1166_1_1_A13,,
JR1166_1_1_A14,,
JR1166_1_1_A15,3,2
JR1166_1_1_A17,,
JR1166_1_1_A18,,
JR1166_1_1_A19,,
JR1166_1_1_A20,,
JR1166_1_1_A22,,
JR1166_1_1_A23,,
JR1166_1_1_A24,,
JR1166_1_1_B01,,
JR1166_1_1_B03,,
JR1166_1_1_B04,,
JR1166_1_1_B05,,
JR1166_1_1_B06,,
JR1166_1_1_B07,,
JR1166_1_1_B09,,
JR1166_1_1_B10,,
JR1166_1_1_B11,,
JR1166_1_1_B13,,
JR1166_1_1_B14,,
JR1166_1_1_B15,,
JR1166_1_1_B16,,
JR1166_1_1_B18,0,5
JR1166_1_1_B19,,
JR1166_1_1_B22,,
JR1166_1_1_B23,,
JR1166_1_1_B24,3,2
JR1166_1_1_C01,,
JR1166_1_1_C02,,
JR1166_1_1_C03,,
JR1166_1_1_C04,,
JR1166_1_1_C05,,
JR1166_1_1_C06,,
JR1166_1_1_C08,,
JR1166_1_1_C09,,
JR1166_1_1_C11,,
JR1166_1_1_C12,,
JR1166_1_1_C14,,
JR1166_1_1_C15,,
JR1166_1_1_C17,,
JR1166_1_1_C18,,
JR1166_1_1_C19,,
JR1166_1_1_C22,,
JR1166_1_1_C23,0,5
JR1166_1_1_C24,,
JR1166_1_1_D01,,
JR1166_1_1_D02,,
JR1166_1_1_D03,,
JR1166_1_1_D04,,
JR1166_1_1_D05,,
JR1166_1_1_D06,,
JR1166_1_1_D07,,
JR1166_1_1_D08,0,5
JR1166_1_1_D09,,
JR1166_1_1_D10,,
JR1166_1_1_D11,,
JR1166_1_1_D12,,
JR1166_1_1_D13,,
JR1166_1_1_D15,,
JR1166_1_1_D16,,
JR1166_1_1_D17,,
JR1166_1_1_D18,,
JR1166_1_1_D19,,
JR1166_1_1_D20,,
JR1166_1_1_D22,,
JR1166_1_1_D23,,
JR1166_1_1_D24,1,2
JR1166_1_1_E01,,
JR1166_1_1_E02,,
JR1166_1_1_E03,,
JR1166_1_1_E04,,
JR1166_1_1_E05,,
JR1166_1_1_E06,,
JR1166_1_1_E07,,
JR1166_1_1_E08,,
JR1166_1_1_E09,,
JR1166_1_1_E10,,
JR1166_1_1_E11,,
JR1166_1_1_E13,,
JR1166_1_1_E15,,
JR1166_1_1_E16,,
JR1166_1_1_E17,,
JR1166_1_1_E18,,
JR1166_1_1_E19,,
JR1166_1_1_E20,,
JR1166_1_1_E22,,
JR1166_1_1_E23,,
JR1166_1_1_E24,,
JR1166_1_1_F01,,
JR1166_1_1_F02,,
JR1166_1_1_F03,,
JR1166_1_1_F04,,
JR1166_1_1_F05,,
JR1166_1_1_F06,,
JR1166_1_1_F07,,
JR1166_1_1_F08,,
JR1166_1_1_F09,,
JR1166_1_1_F10,,
JR1166_1_1_F11,,
JR1166_1_1_F13,,
JR1166_1_1_F14,,
JR1166_1_1_F16,,
JR1166_1_1_F17,,
JR1166_1_1_F18,,
JR1166_1_1_F19,,
JR1166_1_1_F20,,
JR1166_1_1_F22,,
JR1166_1_1_F23,,
JR1166_1_1_F24,,
JR1166_1_1_G01,,
JR1166_1_1_G02,,
JR1166_1_1_G04,,
JR1166_1_1_G05,,
JR1166_1_1_G06,,
JR1166_1_1_G07,,
JR1166_1_1_G08,,
JR1166_1_1_G10,,
JR1166_1_1_G11,,
JR1166_1_1_G13,,
JR1166_1_1_G14,,
