CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_B17.out.bam,914092,45989,914092.0,962413.06,0.012759268,353.96,0.024149203673005104,0.9677452,0.9021319586170898,0.14772711498993096,0.09532538801431656
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_C07.out.bam,898869,27148,898869.0,1001477.0,0.028118968,414.06,0.7114641666412354,0.9403668,0.18785836869382988,0.2651872889175194,0.134603351354599
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_D14.out.bam,652925,45155,652925.0,907822.8,0.6118804,117.18,0.27833014726638794,0.35750294,0.5629269892943072,0.1331673984947529,0.07976745814085007
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_G03.out.bam,964275,75268,964275.0,1005838.25,0.6817976,452.67,0.4295341372489929,0.20333856,0.017724483865399758,0.3615644481496875,0.45907288789749146
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_G09.out.bam,1213292,104263,1213292.0,994657.5,0.7997836,408.64,0.3654836118221283,0.14412813,0.01063336377755986,0.3534588106574108,0.4220452904701233
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_G12.out.bam,581945,32190,581945.0,1004497.06,0.023308754,492.92,0.6911154389381409,0.9576883,0.39165421653218657,0.09942069115709512,0.08904686570167542
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_G18.out.bam,1130144,59337,1130144.0,994050.8,0.4552638,225.66,0.7804043889045715,0.5220583,0.1430029217521737,0.9355994622677823,0.5331711173057556
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_H01.out.bam,522894,30033,522894.0,1001323.9,0.0,1266.25,0.977445125579834,0.9902633,0.6194566917293115,0.1288862530973537,0.10067467391490936
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_H17.out.bam,1199269,33913,1199269.0,987202.75,0.36267185,228.78,0.9239874482154846,0.5953467,0.0,1.0,1.0
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_J18.out.bam,1117330,59495,1117330.0,959533.0,0.05038166,254.46,0.5019708275794983,0.92530984,0.4439205683025172,0.4919420882797761,0.48138228058815
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_L15.out.bam,1069874,128870,1069874.0,983729.6,0.42141938,537.81,0.38813894987106323,0.56656355,0.04586091833519154,0.38363151926591804,0.4249078631401062
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_N16.out.bam,1291617,162463,1291617.0,981101.5,0.3221463,463.68,0.32298290729522705,0.64798504,0.012354265323774906,0.281847293180883,0.44799479842185974
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_1_O20.out.bam,981478,41895,981478.0,994199.8,0.016045809,693.84,0.779999315738678,0.96591175,0.3428037143333594,0.10422354544905581,0.07801003754138947
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_A02.out.bam,1566449,106843,1566449.0,945797.1,0.00254184,874.48,0.8253551125526428,0.9816037,0.6661274392921966,0.32310348241758513,0.1074584499001503
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_A06.out.bam,1392466,85379,1392466.0,977986.2,0.06238079,297.36,0.0,0.92260194,0.564158762165306,0.280735644527762,0.527271032333374
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_A07.out.bam,1700139,73353,1700139.0,985802.56,0.045445204,378.37,0.5969951748847961,0.9300663,0.37681640154361146,0.24244183950240739,0.16795231401920319
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_A09.out.bam,837929,66647,837929.0,976000.56,0.67647994,413.59,0.32648202776908875,0.17953625,0.017186375602226255,0.39805913648935937,0.47246772050857544
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_A10.out.bam,710882,16088,710882.0,1003905.8,0.26775622,204.55,0.8113614320755005,0.7177179,0.09770985838572259,0.9994838719584649,0.9841136336326599
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_A11.out.bam,494876,18495,494876.0,982294.1,0.31958717,203.79,0.7712451219558716,0.6750541,0.09666757898897446,0.8652794693466387,0.6433007121086121
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_A12.out.bam,694815,35701,694815.0,958659.56,0.13646084,198.49,0.36844226717948914,0.8468015,0.6027440410551856,0.13728374353361525,0.0661003440618515
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_A13.out.bam,592701,19456,592701.0,919164.7,0.0152439475,393.73,0.17692488431930542,0.9657626,1.0,0.23664624388203473,0.5438292622566223
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_A14.out.bam,1022500,231090,1022500.0,962598.06,0.6090426,434.82,0.2967560589313507,0.3012543,0.02400221935428089,0.2727517280317749,0.41245996952056885
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_A15.out.bam,1245422,70652,1245422.0,938184.9,0.012855589,347.14,0.587783694267273,0.97096866,0.45035163695293046,0.1263868191969519,0.05632313713431358
onefilepercell_JR1166_1_1_B17_and_others_SMZ73:JR1166_1_2_B02.out.bam,850333,79596,850333.0,981971.6,0.09525943,230.31,0.5536582469940186,0.8671484,0.510741471706836,0.07697541815747516,0.0725896954536438
