X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_umap1,X_umap2,velocity_umap1,velocity_umap2
5.7775064,-0.54820186,-10.772994,2.2539,-1.7746859,-2.173965,-5.7306924,-3.5950022,-6.032151,7.8067193,-6.636517,-5.1055126,2.8482075,-6.4707847,0.6125624,-2.6577795,3.4817708,-0.3213848,-0.03813308,6.203002,2.079568,-1.242157,-6.859956,1.3281237,4.468748,0.8014705,-0.9113863,-0.35263216,2.4713228,-1.2962003,6.8044033,8.205484,0.1653275944939965,-0.04744494060929525
8.213605,-3.7219086,-5.7026014,0.6969514,5.129224,-3.792849,8.36012,-0.2944243,-7.3596425,4.9513426,-1.0560553,-2.0887008,-4.3448277,1.1289842,-3.124421,-4.585384,-4.8071694,7.214493,4.4809484,1.9475213,-4.123712,1.600155,4.3939576,-2.237773,-3.5119164,-5.790012,6.7723694,0.18465579,-5.8626966,-4.7742686,5.3197365,6.1681886,-0.1252776420007998,0.06245725265186781
2.0391023,-9.151283,-5.496323,7.1998544,-2.4404187,-3.526965,-10.727046,-1.0377136,-0.36050794,9.768086,-2.6492577,-4.2769823,7.060366,-5.3253593,-2.1581235,-5.349768,2.3417065,3.2320566,2.6780663,8.91889,-1.0383276,2.7851532,-10.454039,4.867571,1.3526347,3.3455677,2.2018876,-0.1426493,-4.3933153,3.3744957,7.350119,7.474964,-0.1170727177338294,0.032492382263430215
-19.1414,15.586922,6.2778916,-3.1645179,-1.5851992,-3.4830847,-3.2297776,3.8723683,-11.578353,-0.20262618,13.952418,-16.301863,-1.6471139,3.8614476,-12.252195,-0.397919,1.4960047,-5.919107,5.7241106,-12.878155,-2.2947252,-3.9432569,-1.2838569,11.190884,-0.6553784,3.295398,-5.428035,-14.774641,-4.1232977,-1.8953829,10.727909,7.0998454,0.07947177978734753,0.032038274385394264
-20.69087,16.541431,2.2907324,5.8066463,4.9315486,3.0370467,-2.4103901,-6.252706,6.301825,-13.932833,3.4501867,-1.4542406,1.8161908,-3.3335583,-8.363797,4.089261,-0.79700226,10.423647,0.5233377,-9.718267,6.6298237,-12.478316,-9.286517,10.067974,5.165308,-7.803684,-3.1713953,-3.1543012,-9.318243,0.97980404,12.346839,6.811284,-0.0009805090105321208,-0.002027064082762057
3.8249078,-15.442346,2.5303085,-1.710929,-6.3805933,-7.7529006,-2.2229247,-6.108436,-3.2756143,2.577514,-2.2030804,0.036459297,12.117016,-3.2570765,0.29903796,6.236035,-5.528807,-4.316063,0.61899054,-0.981488,-4.621032,-4.5606766,9.603498,-3.4931402,2.9492064,-0.9964967,3.6642184,-0.22412293,-5.830043,2.397043,6.297142,4.898414,-0.07206636983808247,0.07287998547224492
18.78217,7.165927,3.6942916,-10.858408,-11.098085,1.1871799,-3.8937895,10.412139,1.4216552,-0.28539035,-2.5640624,4.4005446,-2.0079913,2.3016098,3.591922,0.13365471,-6.124075,14.525582,3.0392978,-0.5389799,-5.5717964,5.5081544,1.1296065,-3.3467436,7.8049674,-0.5772099,3.7152505,-3.4491909,-1.7843035,5.361706,3.4185705,9.097974,-0.051593825893912496,-0.015783062707246612
-6.8556666,-17.614573,10.006519,-2.3010156,8.651354,2.3731077,-9.06499,5.3004556,-1.6910869,1.6313983,-4.9716024,3.627357,-3.3737676,4.1006875,-0.3160131,2.0892987,-7.5350785,-5.145675,-1.2075645,-1.6404973,0.20173137,0.46464658,2.227261,-0.88308793,-0.36875317,1.3718915,-4.560018,-1.4025699,4.456386,1.2447475,5.598549,3.2731283,-0.058849423254968,0.028471952895807673
20.767288,19.940468,9.155758,-8.342627,-5.511811,2.198704,6.5104833,4.0374713,-4.711084,-0.8725763,1.9046264,-14.225604,-7.746975,6.792221,-2.3900418,-6.0982957,-5.925713,6.635126,1.6808814,-1.7270334,-2.6329622,-0.8121796,0.50416446,2.6306813,-3.1767087,-3.4608343,-0.86011404,-9.398642,8.33019,0.19491233,2.5348163,8.306498,-0.022784775721250997,-0.0032188200693897824
12.640879,8.751572,-6.2249894,-9.056316,2.8997154,2.3977287,-3.0109463,10.223759,-4.544086,-0.09793355,-0.7371842,0.39566448,-1.691543,1.1548799,-4.4067082,-4.2984896,4.004357,-0.07372524,-10.040679,-1.9659702,6.430795,10.666955,0.5443306,-0.9729725,-1.2660036,2.3924677,-0.8229058,2.6401358,-2.42659,-5.3153296,4.7500067,8.066961,-0.1982687751612913,0.037744048618697845
-19.577778,12.71205,3.2125752,0.5459088,-4.0273,-2.5541775,-4.7876124,-2.8355656,-5.7198,2.059984,14.106924,-14.815262,-9.398237,-9.308721,-3.5273392,5.7942724,-5.0098677,2.1153312,9.133266,5.259289,2.934302,3.733728,13.554937,-6.5440016,-6.403759,-2.674612,10.008328,15.518728,3.9289854,1.5120829,10.62754,7.328677,0.20084297806188628,0.12719319717543698
-20.540068,18.520792,4.258592,3.5005913,-6.3425627,-8.594765,-3.5500207,2.8531764,10.590558,-2.6535094,-5.9920664,-0.05049745,-14.064457,-1.8080918,-5.456403,12.7954235,-0.14402206,-1.5876464,4.444325,0.012836408,10.587554,-1.673244,-7.717622,-7.066976,-0.47829807,-1.2651554,-2.8273895,22.28592,-4.5589633,3.6288183,11.328538,7.66691,0.15737794954301706,0.08124082278941903
1.9900355,-9.391696,4.593186,-5.462138,-6.6175733,-3.3705096,-3.290893,-2.6090717,-8.910146,5.7814417,-0.10778726,0.011822922,1.474253,-3.4299967,0.73891276,-2.8905413,6.375722,-3.9911625,3.0970712,0.78223974,-0.9420115,-6.541823,0.5005168,-3.084261,-0.80777526,-1.1828985,3.7812023,-2.2519577,-0.9889358,1.3974172,6.5114098,5.312419,-0.11861577576764662,0.05337150658409339
1.0308738,-11.795383,4.978692,0.46166825,10.357392,9.8840275,-9.301842,12.009414,-2.1155682,-2.6654499,6.2612514,1.1681111,-2.9147682,-1.6860293,-2.6192553,0.36009777,-2.3489225,6.0956163,-3.6311898,-1.588769,5.2117515,-7.566,-4.532138,2.8131776,1.2050912,8.533286,-2.831398,5.9584312,-2.7622526,2.3108203,5.376676,3.1031256,-0.05216308946877941,0.020759644725542238
12.299571,6.0934243,-8.25698,0.031636532,-1.7448349,1.7816948,2.5947793,2.855123,2.1643476,-2.8240323,-8.040681,-2.07796,-3.158189,5.778163,-0.6015482,0.094268955,8.950253,-6.2362,-7.1319046,2.9477386,-1.7083504,1.9132999,1.1239309,-0.02127734,2.8433154,-2.998026,-5.4740863,-6.57207,-4.260649,3.4020774,5.1716747,7.7684436,0.2096176359476055,-0.036025141103578344
12.624043,-6.458204,-0.022655299,-0.28968626,-0.16547614,-12.732189,5.4335217,6.355045,1.2891217,-2.996289,2.1100416,0.45654136,-6.707074,-1.0838869,-4.606634,-4.249793,4.4272575,5.1339564,7.164831,0.47688144,-5.2993917,1.4714788,6.6086607,0.23788872,1.4897681,0.9328841,7.1528387,-3.798086,-0.517039,-3.5747533,5.878609,6.0442247,-0.13319042135957926,0.07143302361398278
-20.045359,17.20756,2.9394898,-0.7562639,5.9487486,-3.8116963,0.3040537,0.10245933,-0.3866531,-0.7411711,-2.3943777,-0.04831914,-4.445309,-5.2867513,-1.5619923,11.271838,10.705711,1.0051239,2.6756017,-2.7988858,21.962534,1.5728699,2.3842793,4.4131064,7.0928216,11.673308,-1.0630509,-3.4060361,-12.940623,-3.509749,10.871827,7.6462455,0.07369375273346604,0.031735404389919446
30.15886,19.853638,-2.9854014,-0.7704502,-1.468008,-4.3699512,4.05362,0.993571,9.779704,-4.193686,-1.7087305,-2.5188813,-4.533173,-4.160502,-3.7794693,-0.5846867,-1.76325,-4.573147,-2.0595083,-5.224196,4.561564,-2.631149,0.4025245,3.2260184,-0.43316695,4.9074206,2.4037058,-2.6999018,-3.047991,-5.069099,2.569179,8.17361,-0.022222987360376933,0.017869825048072857
23.191555,8.95648,10.529656,-0.44133124,-2.08942,0.27205396,0.8639662,-7.8712273,7.1068597,0.16266988,-2.5983462,-5.9039435,-8.915329,7.827476,0.65980214,0.32197735,-0.6868946,4.727032,5.2034755,-1.7337303,-3.1089377,-2.3530495,1.0876201,7.83368,1.4934046,-1.7453742,-3.392553,-3.1669145,-7.416638,-0.16658914,3.4778504,7.77481,-0.07109186273195636,0.030443195634862127
7.7210073,-3.273052,-1.2990501,7.8195457,-2.452414,-6.1658864,-4.463032,-5.9539104,-5.8534164,-2.8279936,3.6488345,-5.0218396,-3.2614627,0.05471367,-6.1821012,-4.7935514,-2.8570037,2.6866653,0.044812184,2.7994585,-3.2657592,3.6995153,-1.5801182,0.95210814,6.3900924,3.0062957,6.6977935,6.799468,2.6204216,-2.6453445,5.772562,5.559781,-0.13332314557827574,0.05060763845003287
18.2327,3.8567853,-8.637098,2.6190696,-0.9460159,-4.214812,-10.565209,-1.18126,-0.84300613,3.7309341,-3.5902658,-2.01656,1.6163874,-2.653727,-0.5764171,-3.4854856,-4.760979,2.1676025,4.615326,3.5724308,-0.1689093,0.78139293,5.630445,8.473608,1.9571832,-2.2434866,-5.6372457,3.3833213,0.24289939,-1.8819296,5.5213866,8.497313,0.1599408612819758,-0.021684175553127936
-20.631382,18.575872,4.222572,2.0816793,0.59203935,-5.0596337,7.443001,4.049808,1.6613905,10.174755,-0.06329325,10.451644,6.1861167,16.328907,-2.2368054,-2.8080928,-2.7995486,-0.6662902,1.9884855,-2.3668015,1.6925027,-10.167321,-11.566492,0.36240765,-9.048104,20.412766,7.288592,2.4788198,2.747698,3.8303444,11.359039,8.808725,-0.037524998061260445,0.011458557909032755
8.499346,-1.3628454,-7.599092,2.0247931,-4.378368,7.6019506,-2.3373857,-7.0009575,-10.075487,7.0213537,7.8143463,-2.2627516,-2.9563935,2.0217254,7.415171,-0.35626155,1.4051013,-1.0861217,2.534504,-2.7489362,-2.6588578,-2.0758808,-1.1169144,-9.941867,-5.785722,-0.12831113,-5.966248,-2.7315216,-8.290588,4.0874414,6.2425427,6.910828,-0.16818018467432505,0.03460289192876314
4.825503,-10.456952,13.114923,9.836007,-2.156254,-6.1846166,-1.8130286,-6.8656435,7.147229,-5.2708664,-5.4237905,1.2746807,3.7825966,1.5297475,7.47761,-6.0327473,2.5320342,10.845078,4.8120213,-13.795584,-2.8145554,-1.4477566,-3.5896964,2.5870519,0.74803543,-2.1936293,-7.812863,-1.715154,3.6379,-0.45278403,5.9200773,5.0379353,-0.11707762034206,0.07269038594383814
24.875734,3.2445254,3.6624243,-5.286413,1.249982,1.7766179,1.709069,-9.108388,3.3513875,4.906055,5.154777,-4.9378977,-7.227138,-0.3430006,0.9923819,3.269943,-4.086016,1.2406398,3.1689796,3.2914295,2.7257907,1.1741753,-6.380066,3.9925816,2.3282077,-3.6244533,1.3295172,1.9151821,0.14272065,5.904763,3.636652,7.0307875,-0.1021901782365444,0.062095753527037334
9.691762,-5.04473,6.4267545,18.00067,5.094072,16.334206,2.997716,10.289023,4.7119775,-1.2354306,-1.8494165,8.098718,-4.253107,-1.3962178,-11.130875,2.567612,1.2195455,-0.08457411,2.7631502,3.316209,0.76423776,-6.1366305,-10.765055,-2.065593,1.3111533,1.1096478,10.077562,-6.64571,-0.55331546,-11.070953,4.8470154,4.5832906,-0.1211958314727066,0.07354213578325822
19.861233,-5.3945417,9.715685,0.7532304,-0.45372635,0.8075447,-4.0952644,-8.692517,-0.22476014,3.101087,5.258452,1.7234161,6.4140396,0.75747806,-0.9235399,5.8312836,-0.06350473,-3.3278542,1.2448815,-1.5658522,4.896356,2.1586,1.216162,-3.5567303,2.988762,-0.25123066,-2.3507097,1.5674858,-2.719504,10.528641,4.1551533,5.911573,-0.13542698112590917,0.1312605323736617
7.043667,-4.6366405,-9.488052,7.145901,-0.34535134,12.663846,-4.0527763,-7.0292892,-4.3313565,6.067734,9.532668,7.085409,4.8481765,5.615387,3.0581357,5.391975,0.6746867,6.7740483,7.1273646,-5.2565875,-0.2660323,-5.9007053,-3.9448128,-2.9216743,4.021536,-5.842271,4.246634,4.196569,0.94613415,-8.267245,7.254872,6.929888,0.16186186492225482,-0.04480469907041053
7.005954,-9.85904,15.711652,-1.2397206,-2.6222305,-9.802647,-9.29062,-10.740139,-5.865384,-5.700777,0.5708952,-0.51527125,-0.24322481,7.062768,2.0924895,5.4262886,1.9077768,-1.6732907,1.4575745,0.16177382,-1.1562172,-4.0802727,6.7373357,10.115718,-0.71712846,-7.426786,1.0039186,7.3592143,2.5868323,-6.9529176,6.301721,4.481661,-0.04529219522676746,0.05411110294244433
