CellID,initial_size_spliced,initial_size_unspliced,initial_size,n_counts,velocity_self_transition,louvain,S_score,G2M_score,phase,clusters_gradients,velocity_length,velocity_confidence,velocity_confidence_transition,root_cells,end_points,velocity_pseudotime
onefilepercell_Aligned_and_others_9S2R5:Aligned.sortedByCoord.out.bam,925741,101232,925741.0,950994.2,0.80378634,0,-3.3353002071380615,0.0,G2M,S_score,443.15,0.35862886905670166,0.14521013,0.00023648644679338804,0.7697603491868699,0.9870620369911194
onefilepercell_Aligned_and_others_9S2R5:Aligned.sortedByCoord.out.bam,914092,45989,914092.0,949090.06,0.0024335384,1,0.0,0.0,S,S_score,651.46,0.751863956451416,0.9821083,0.804488311794184,0.09973202009603808,0.01789715513586998
onefilepercell_Aligned_and_others_9S2R5:Aligned.sortedByCoord.out.bam,898869,27148,898869.0,986612.44,0.12624222,2,-0.5693087577819824,1.5128965377807617,G2M,G2M_score,132.35,0.045196328312158585,0.81874603,0.7334738701050794,0.40027794067811406,0.018547991290688515
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_D14.out.bam,652925,45155,652925.0,893301.0,0.0,1,0.0,0.0,S,S_score,685.64,0.569673478603363,0.9907416,1.0,0.11067299382629626,0.013731731101870537
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_E14.out.bam,1218142,114751,1218142.0,994160.7,0.66777134,0,-3.6753270626068115,0.0,G2M,S_score,435.3,0.4837881624698639,0.27015105,8.025024594014454e-05,0.8305703125636202,0.9999695420265198
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_G03.out.bam,964275,75268,964275.0,992484.56,0.6923417,0,0.0,0.0,S,S_score,473.56,0.355627179145813,0.2833228,3.867553656919328e-05,0.4788566523257185,0.9959179162979126
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_G09.out.bam,1213292,104263,1213292.0,980698.0,0.6262251,0,0.0,0.0,S,S_score,540.25,0.4695141911506653,0.3424884,0.00015126638608811054,0.5147580749065185,0.9962961077690125
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_G12.out.bam,581945,32190,581945.0,989242.0,0.25954062,1,0.0,0.0,S,S_score,537.48,0.8231015205383301,0.7357826,0.4431559525684713,0.10092662285180669,0.04700014740228653
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_G18.out.bam,1130144,59337,1130144.0,979566.94,0.42773092,2,3.097064971923828,2.5668673515319824,S,S_score,211.46,0.3832148313522339,0.48631757,0.21497525979286985,0.5742000776609326,0.037665367126464844
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_H01.out.bam,522894,30033,522894.0,986538.25,0.006764531,1,0.0,0.0,S,S_score,853.06,0.9884499907493591,0.9826909,0.5369648042825756,0.02057136966706871,0.1160532608628273
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_H17.out.bam,1199269,33913,1199269.0,973500.3,0.8633988,2,2.184392213821411,5.910756587982178,G2M,G2M_score,140.48,0.5476110577583313,-0.17923567,0.1423460771546441,0.7650661355642144,0.05002934858202934
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_I06.out.bam,851556,143250,851556.0,962727.7,0.7857388,0,-7.277307510375977,0.0,G2M,S_score,312.49,0.21527263522148132,0.14716554,0.00014674589262515605,0.9373982167779322,0.9957563877105713
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_J18.out.bam,1117330,59495,1117330.0,946619.7,0.792535,2,5.733103275299072,0.0,S,S_score,78.66,0.3147980272769928,0.06187854,0.43592070027994556,0.39612608737266053,0.03063667193055153
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_J22.out.bam,834639,31104,834639.0,855492.56,0.01880151,2,0.0,0.0,S,S_score,275.89,0.3847127854824066,0.9719103,0.7101132701508746,0.12897893420753312,0.019421998411417007
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_L15.out.bam,1069874,128870,1069874.0,973486.6,0.55530035,0,0.0,0.0,S,S_score,585.09,0.19436195492744446,0.3750319,6.881232000882096e-05,0.8534518798912448,0.9982784390449524
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_M06.out.bam,693249,209525,693249.0,966271.56,0.5057527,0,0.0,0.0,S,S_score,552.55,0.3419817090034485,0.46948016,0.0436139123247222,0.7638479694610583,0.9883436560630798
onefilepercell_Aligned_and_others_9S2R5:JR1166_1_1_N16.out.bam,1291617,162463,1291617.0,969575.25,0.7051296,0,-3.356093168258667,-4.1737542152404785,G1,S_score,524.46,0.14400938153266907,0.25767738,8.523879809839881e-05,0.721757582452912,0.9973576664924622
