X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_umap1,X_umap2,velocity_umap1,velocity_umap2
-11.285819,-9.972576,5.7731647,-10.964735,4.8182063,-3.7868543,0.3180823,5.3753867,-3.2789106,1.6953579,-12.299532,1.0648564,-6.3287563,-5.843348,-0.1627974,-4.356913,-2.3645513,2.4056358,-0.60613,2.9506123,-0.40556455,-2.794441,5.0255437,-1.5973039,1.0543666,1.506499,16.003204,4.128761,3.9418411,-2.2169023,5.419719,2.9011333,0.002381463621388717,-0.002354772526633549
11.814491,-2.6823304,-10.151601,-0.9577941,-5.506775,-5.06472,-3.0765991,-0.15283579,0.9801844,-10.134782,-5.125469,5.637639,2.100745,3.771689,-1.3601646,-0.2678775,-0.20861755,5.321589,4.866686,3.710447,-2.3392904,-2.4326358,-3.157038,0.27945662,1.4965919,-3.391247,1.4254333,-3.3314915,-6.119985,1.7056223,5.152686,8.576746,0.05129227404621838,-0.13924433972819686
11.598767,2.7725933,-5.286653,2.2404308,-6.8631024,1.7573864,7.6534753,-1.0836198,10.22533,-0.80347025,3.7750947,2.2885082,4.560012,4.7325654,5.328971,-2.5614417,3.4563823,-3.6266637,0.8187013,-3.178476,6.306686,-1.6561347,0.800562,-0.07123305,0.62649316,-0.94235355,4.3962665,-3.6397986,2.271714,7.8385553,3.5517848,8.412797,-0.04040468515603207,0.28917042499264034
6.483372,4.253573,-5.876535,-4.593499,-4.7038293,-5.4668427,-7.485626,-1.7216488,-1.4058669,-8.879351,-2.4771464,-0.47608295,-3.3880475,0.8413047,2.3117957,2.7344964,5.747361,2.1835432,6.0776906,8.598952,2.5648105,-3.0795043,-2.2003126,-0.109468065,6.536712,-2.1322572,0.7358651,0.83513033,2.1973963,2.4798794,4.977594,8.137554,0.056819052034211864,-0.1255660269006089
-14.840592,-6.772907,-0.33985534,-10.070296,0.13139975,-2.8256342,8.163328,1.2375953,-3.866601,1.5105957,1.7067652,-4.160561,-6.686674,-2.0444243,1.8595152,1.763989,0.43366787,9.296824,5.412212,-3.528763,-4.9299645,3.1675866,1.9353682,3.1206913,5.7723975,-11.744992,3.6948473,-1.9905372,-0.4621415,-1.0735921,4.673806,2.3182187,0.0247948138316175,0.018635193006244888
-11.479376,-13.327987,7.213492,-1.3953975,1.7159215,-3.033193,0.80075973,-2.2943676,6.215054,0.6277219,10.587472,5.300699,6.063173,11.154863,-2.570227,-0.9731834,-5.7846,-0.4721357,6.350164,5.2438493,-2.5024776,-0.96366435,3.2563045,13.351494,8.086751,-7.0926366,-0.54763544,4.5064383,2.7127702,0.95905435,4.016646,1.338795,0.04319944628326183,0.02014755348902015
-9.110398,-10.348465,4.0953555,-10.581009,1.1531341,5.4633427,-4.427214,-3.649589,2.4450083,-1.6527992,-4.6312156,4.2072015,-8.057304,4.8904605,8.777674,1.6073864,5.9528236,-14.896918,-6.9804206,7.124357,-4.747,9.05502,-7.716186,2.497078,-2.8405557,-7.7887864,-9.017457,-2.156628,4.654777,-0.748366,4.355448,3.230689,-0.009297193323682302,0.010520973156238789
4.955695,13.953239,1.9140368,4.399647,1.0106776,-9.442829,4.3366413,-1.0516646,0.17184147,-0.7642513,-0.6747979,0.3448299,-1.9325509,-3.6100445,5.4036784,3.6196191,1.8770337,8.203743,1.0191201,-0.34261298,-7.790011,0.121624045,4.8887515,4.5985284,-4.7368083,11.224498,0.7323345,4.797497,0.11171859,4.66308,1.8867233,7.2789054,0.0059005458531050155,0.06173381462994178
21.639292,-5.5884957,1.4349788,11.445627,9.531574,-4.8580956,0.45901507,-0.35532388,-8.706378,2.108137,-1.8949897,-4.64075,11.189288,4.9259925,1.8427054,10.554652,-4.37757,1.7682148,-11.079743,-2.418446,4.234527,3.5340853,4.231536,-1.6253314,1.848329,-8.63761,4.0392847,3.0174515,-0.26894456,1.7032062,3.3292072,10.786861,-0.04654918141982255,0.09949377343130703
-3.2197232,18.910513,10.253465,0.37483576,-6.486831,1.6510667,-9.501691,3.7549195,-4.209304,5.702956,-0.24553019,-3.2741601,-0.64976215,2.871498,-0.1293555,0.5507612,-1.1529981,2.777388,-2.107437,-0.13590364,1.0393052,0.7039632,0.16131626,-3.5134752,-2.3563085,-3.0367715,1.0106494,0.6479782,-4.5417747,-1.9939475,0.3075204,7.098928,-0.003581448501776515,0.09553774147051432
