"","CellID","initial_size_spliced","initial_size_unspliced","initial_size","n_counts","velocity_self_transition","louvain","root_cells","end_points","velocity_pseudotime","latent_time","S_score","G2M_score","phase","velocity_length","velocity_confidence","velocity_confidence_transition","Cell","singler","excluded"
"1","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_B02.out.bam",925741,101232,925741,961200.9,0.27047336,0,0,0.271598690355272,0.988183915615082,0.942332337294289,-0.0462539369844673,-0.212632443883398,"G1",1537.99,0.723184849161638,0.132047165614885,"1166_1_1_B02","Undefined",TRUE
"2","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_B17.out.bam",914092,45989,914092,957404.4,0.18397352,1,0,0.00101617295672038,0.25704151391983,0.224777063433436,0.507586199782764,-0.443532872844387,"S",4424.96,0.908077760428948,0.229096300562447,"1166_1_1_B17","PB",FALSE
"3","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_C07.out.bam",898869,27148,898869,995715.4,0.12059322,1,0,0.000913874453224826,0.21388041973114,0.152607334490225,-0.245974105656346,-0.154050672376478,"G1",4787.03,0.890761561324149,0.269687562936953,"1166_1_1_C07","PC",FALSE
"4","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_D14.out.bam",652925,45155,652925,901553.3,0.18159223,1,0,0.00148203273532195,0.370360195636749,0.349037491466857,-1.23675723271226,-0.968026266012106,"G1",4468.48,0.870578361911389,0.204437258986357,"1166_1_1_D14","PC",FALSE
"5","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_E14.out.bam",1218142,114751,1218142,1003205.2,0.24843514,0,0,0.549079594743908,0.991466581821442,0.925017955950002,-0.317658267571376,0.0501228285265399,"G2M",1349.21,0.841172272026508,0.190729743240831,"1166_1_1_E14","Undefined",TRUE
"6","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_G03.out.bam",964275,75268,964275,1001745.94,0.26333827,0,0,0.302465909441299,0.981139838695526,0.917168175833912,0.214759660484799,-0.680295629866488,"S",1359.7,0.838609378136305,0.153818780378595,"1166_1_1_G03","MBC",FALSE
"7","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_G09.out.bam",1213292,104263,1213292,989411.4,0.3288477,0,0,0.156323956465607,0.976816236972809,0.946991870664598,0.0124956386145142,-0.706923175072885,"S",1304.04,0.814204864759947,0.0602981806816781,"1166_1_1_G09","MBC",FALSE
"8","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_G12.out.bam",581945,32190,581945,998402.6,0.41549698,2,0,0.00118853209645302,0.405150890350342,0.372581905530735,-0.656043848784074,-0.695341343278284,"G1",4410.33,0.749047167744842,-0.108056623566695,"1166_1_1_G12","PC",FALSE
"9","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_G18.out.bam",1130144,59337,1130144,988486.5,0.38749984,3,0,7.53632012087172e-05,0.139151692390442,0.00230317677391034,2.96488300055564,0.54430462261578,"S",8962.79,0.959219353269817,0.0267460188611516,"1166_1_1_G18","PB",FALSE
"10","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_H01.out.bam",522894,30033,522894,994991.8,0.34033018,2,0,0.000748319728120879,0.402898013591766,0.404332345115981,-0.675870468783937,-0.801963982066593,"G1",11386.76,0.737783858763881,0.115821725727565,"1166_1_1_H01","PC",FALSE
