X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30,X_umap1,X_umap2,velocity_umap1,velocity_umap2
58.484894,-6.880273,-12.469311,10.23569,-14.344608,-21.413113,-8.924962,4.0667167,18.483675,-4.71316,2.4361608,8.477929,3.0407991,-8.084783,-3.3035123,-4.1745133,-5.7780385,1.8907695,10.6194,-5.2210727,-0.64016914,2.4184625,8.767036,17.11274,8.84655,-9.018564,6.8368797,10.290716,-2.593125,-4.0528064,-1.3300754,6.439141,0.14552321483227343,-0.5379924487526623
73.89327,-3.3432302,-9.300035,3.598297,-20.264698,-11.643578,1.8883009,16.071947,10.595942,-12.15546,15.76879,-5.4347343,3.9020846,-10.325996,1.7915581,-6.2125363,8.622227,6.8241773,15.278606,-1.0876257,-1.0544095,4.0801363,0.2976892,0.08681893,1.5465504,-4.3476567,-4.205199,-5.363843,8.732549,7.3965583,-1.4105567,7.2390723,0.2185259770927586,-0.5593327598057941
35.895077,-46.305046,4.436963,-12.653553,-15.130384,10.308597,2.247193,7.281843,3.8071504,8.488113,-3.576714,-2.2565382,-4.261854,-1.1835661,2.2699108,-0.6257251,-1.6339055,5.681297,12.261022,3.398574,5.3690042,9.740294,1.0954286,1.494134,4.698857,-12.366614,13.177489,-7.0672965,-8.438485,-6.5563426,0.3989405,3.754335,0.11474387056779048,0.00877463690610691
-68.50491,19.408487,15.021927,-2.1214862,-4.142664,-7.098329,-16.831179,-20.971903,10.02768,-6.7196946,-2.446973,13.265701,-1.450845,13.639366,-0.92185766,0.72450644,-1.3217282,-0.21410978,12.015212,6.674765,11.091036,12.179064,-9.662469,-7.299512,-11.663422,-14.647226,-8.223555,15.764496,12.801375,22.143082,27.109722,3.5658774,-0.0022314487368221684,0.002164969961207478
-54.549007,21.993662,23.636946,5.352114,-12.028596,-7.02508,-11.719022,8.157199,17.35604,-15.435889,-4.9300404,5.1934876,10.738409,-13.000516,-17.9266,-24.72601,7.6967545,21.147676,-13.245959,-36.098106,30.786167,9.961797,21.375927,19.138975,-27.682579,6.4525156,-0.74856496,3.2987392,3.099713,14.379672,27.06672,4.6138763,-0.008269955205211343,0.008599041520859167
28.25632,-50.26139,0.644259,-11.014777,-4.795692,15.160486,-7.3385773,5.46304,-2.2637303,-1.5256138,-10.688526,-4.6088386,-14.930924,-2.5444746,1.8725638,-7.6032777,10.020427,10.266278,-1.00219,-1.5871831,0.047783926,1.4582075,14.720758,-8.466654,-11.999915,-6.104134,-9.55584,1.7424767,6.6056433,-11.538129,0.53507465,3.4046693,-0.030476400806261857,0.5611877256943497
106.80339,35.94672,-9.760454,-0.25896594,10.503332,-7.842169,-14.741558,12.553904,3.9727798,-2.1795795,-7.321361,-11.244056,-9.641207,3.6888225,2.948334,6.9614143,18.175673,-9.295235,-0.3861897,-2.6540577,-0.4104896,5.1432996,6.0188293,3.0762062,-8.1367855,6.2931404,-6.308099,3.5105596,2.5382557,-14.575079,-1.2015955,10.538369,-0.027575957863609026,-0.0676588221542056
10.705688,-40.74898,-10.884069,-11.260465,16.070597,-6.8477297,-12.446846,4.645107,-5.744925,-2.161677,3.0420487,-23.006786,0.61781776,16.518803,7.011139,8.662211,-7.9636893,0.99757993,-1.4767936,-1.3830179,-12.068197,-2.2882276,-5.972071,-5.3963633,0.67701966,14.434174,9.686489,6.0623994,-9.649956,-6.905572,1.1429158,2.6971166,-0.09480305053061046,0.7137869599343629
106.07401,43.4315,-14.602346,7.371664,21.740889,-21.62902,-19.470835,3.5078776,2.272236,9.7302685,-8.258065,-8.736588,-0.41371903,-1.9373254,-0.7992908,0.45316055,4.9791427,3.3023582,0.32269132,-3.5093977,-5.530808,2.7155309,-7.830598,3.7429209,-2.4073403,5.83165,-5.8007755,-11.449868,-0.020195246,3.3011758,-1.5438677,10.33976,0.0008204281243426559,-0.0022006114340997833
-70.404655,22.164648,28.368246,-1.4033827,35.358555,-2.5623012,-12.659533,6.1317406,11.836252,-4.6642127,-15.201913,-1.5065564,-15.896654,12.363326,0.19324785,-34.150684,-9.66885,9.994834,-6.602599,18.375051,-11.880846,-28.295078,-0.799976,28.009977,-16.899096,-1.2619948,10.937139,0.6678222,-4.4104347,-28.604897,28.663374,2.8061025,-0.003552829810984577,-0.002291550948573463
