X_pca1,X_pca2,X_pca3,X_pca4,X_pca5,X_pca6,X_pca7,X_pca8,X_pca9,X_pca10,X_pca11,X_pca12,X_pca13,X_pca14,X_pca15,X_pca16,X_pca17,X_pca18,X_pca19,X_pca20,X_pca21,X_pca22,X_pca23,X_pca24,X_pca25,X_pca26,X_pca27,X_pca28,X_pca29,X_pca30
-35269.16,17707.023,1747.4475,-5633.1865,4930.291,3463.4756,819.65533,5701.503,5337.4634,-967.25854,-5316.1016,-2301.7148,5806.496,476.1728,517.7178,-763.97534,155.56946,1984.3063,-2011.0034,-2234.0505,-7152.0107,1568.1044,10220.25,12832.406,632.1681,-6520.3267,-1050.471,1550.9843,6785.4634,-5716.671
2674.129,-35240.043,43227.1,5111.9805,8564.465,-12551.804,23896.225,22389.287,-27157.404,1220.6847,24602.625,6588.663,17455.645,29272.555,-3861.6743,15109.367,-1674.1808,5046.8657,1405.5581,4115.172,1702.7092,-6530.862,-1653.9895,14917.36,1796.5372,3170.3086,6409.849,-3668.8818,-8017.073,-3404.5317
14484.263,-10641.195,-8953.307,10172.576,-21980.68,19477.525,-237.44917,-11499.946,-19211.16,-26382.326,27623.416,-30663.67,7958.562,-21139.902,-1149.2572,22627.627,-14323.201,-13736.62,-7757.8813,3265.9072,3503.055,3015.0479,-324.04132,-2362.3735,-7206.111,7405.305,997.90906,3073.7268,8188.075,-1644.192
20136.195,-40148.285,95225.625,4665.3916,18145.377,-11589.207,23551.156,24421.684,-30977.498,4192.74,12227.087,5370.9854,4597.8677,28852.768,-9619.158,18262.62,-5490.316,-2313.1619,1602.346,3271.8481,-3772.273,-8008.6455,-4980.705,17447.094,2776.0996,6385.238,4552.587,-4404.567,-3353.3872,6607.143
-34234.83,6891.3413,-12036.3,-7026.8354,5429.3447,-17.736965,4891.6353,2969.1025,3831.6123,-1508.92,1492.7418,-4055.1355,8436.248,398.54846,-8838.655,-5969.878,-3510.3308,8697.684,-7124.055,8761.398,-4025.0168,-2170.8777,7797.736,9337.409,1611.3557,3040.2988,-5431.9985,-5084.0835,3348.6787,6440.0713
-43716.74,29705.51,2912.3901,-1837.1343,1183.8344,701.40015,1274.8328,2199.7095,1475.6265,1083.7665,-1690.5568,-117.65417,2160.4922,6.6023483,-1332.4084,-1023.48816,-483.16635,806.19226,-737.99567,-1836.4315,-7178.08,-485.37695,5899.4214,11423.539,1039.2092,-330.0642,-3571.4558,-3073.7847,-892.81165,4879.2583
-30947.125,7282.2935,-3080.8948,-3617.121,3611.847,-1266.3438,5424.857,3240.5864,6326.6567,361.83936,-1814.7703,-411.00778,1775.8533,-309.40747,-4800.808,-2537.5144,-898.78595,1159.7109,-2640.282,-635.2582,-5377.3413,-247.50488,5069.5635,10479.9375,1278.6106,-2345.3523,-1630.6729,-3271.1392,4173.9404,-2024.0674
12278.134,-14892.122,11075.847,24809.213,-25901.256,-2284.5154,-10554.347,-4519.7456,-483.02335,-18134.354,-11469.816,15015.874,8889.605,6871.6953,12907.824,6960.2563,-12410.555,16219.113,8184.482,-10012.165,-6300.5293,-10581.267,2878.474,-4240.873,-9153.317,-15334.507,-8299.942,-1978.4004,5945.906,20467.594
3635.988,-15267.305,-10495.66,1976.2034,-17107.076,-10054.338,-18487.145,24714.678,2532.2114,10908.445,4658.2104,-1962.8177,7569.548,-3431.54,-706.91626,-1091.9443,-7829.7095,3103.155,-2195.2004,6541.748,1762.9507,2463.3857,100.89792,-1807.0753,-1113.1305,-2107.759,2858.462,-2426.9214,569.32935,-2920.955
86789.05,32080.537,-17736.812,93363.56,52042.19,40156.86,2770.9617,4766.181,-3401.2463,35281.816,-2015.2922,3906.9717,3749.7,800.35187,-4019.316,-11846.65,-2604.3887,5984.0493,-4928.831,1494.3624,2119.3125,-7850.3184,2088.0286,4254.122,270.4498,-297.828,-10691.993,-2356.3213,-4459.278,6041.9854
