"","CellID","Cell","singler","excluded"
"1","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_B02.out.bam","1166_1_1_B02","Undefined",TRUE
"2","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_B17.out.bam","1166_1_1_B17","PB",FALSE
"3","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_C07.out.bam","1166_1_1_C07","PC",FALSE
"4","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_D14.out.bam","1166_1_1_D14","PC",FALSE
"5","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_E14.out.bam","1166_1_1_E14","Undefined",TRUE
"6","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_G03.out.bam","1166_1_1_G03","MBC",FALSE
"7","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_G09.out.bam","1166_1_1_G09","MBC",FALSE
"8","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_G12.out.bam","1166_1_1_G12","PC",FALSE
"9","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_G18.out.bam","1166_1_1_G18","PB",FALSE
"10","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_H01.out.bam","1166_1_1_H01","PC",FALSE
"11","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_H17.out.bam","1166_1_1_H17","Undefined",TRUE
"12","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_I06.out.bam","1166_1_1_I06","Undefined",TRUE
"13","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_J18.out.bam","1166_1_1_J18","PB",FALSE
"14","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_J22.out.bam","1166_1_1_J22","Undefined",TRUE
"15","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_L15.out.bam","1166_1_1_L15","Undefined",TRUE
"16","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_M06.out.bam","1166_1_1_M06","MBC",FALSE
"17","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_N16.out.bam","1166_1_1_N16","MBC",FALSE
"18","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_1_O20.out.bam","1166_1_1_O20","PB",FALSE
"19","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A02.out.bam","1166_1_2_A02","PC",FALSE
"20","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A06.out.bam","1166_1_2_A06","PB",FALSE
"21","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A07.out.bam","1166_1_2_A07","PB",FALSE
"22","onefilepercell_JR1166_1_1_B02_and_others_N8PVQ:JR1166_1_2_A09.out.bam","1166_1_2_A09","MBC",FALSE
