"","logFC","logCPM","F","PValue"
"CHPF",16.8492348962237,7.06928192769416,174.679445082831,8.13087619435959e-06
"PYCR1",15.8448616120063,7.57426997580026,316.624617495754,6.26475356658874e-08
"SDC1",15.4998599838349,8.36025429358601,223.103816446789,2.82013655949794e-07
"CAV1",15.0378682587289,6.75325398762138,116.5185370563,3.6768036415318e-06
"VDR",10.9720590136284,5.87444758500112,121.820618006001,2.79479957527217e-06
"TRIM22",-10.3089224489785,7.85601194796801,69.6219687419054,2.63026861299542e-05
"IRF8",-9.7986434097992,9.37454402701214,24.6246786462963,0.000998007235409855
"KCNN3",9.67759895040604,7.17557765664043,168.095127304046,8.32402892708631e-07
"CCR7",-9.60248713586777,9.4858362711417,20.453382454594,0.00178283706345106
"ACOXL",9.29248892695232,5.45240504198812,74.1156094759347,1.97837755021757e-05
"LTB",-9.19747019956103,8.31897507193635,20.0782893021755,0.00188633801925461
"BCL11A",-8.60739411935666,8.2153529537987,148.748242003399,1.41278280653051e-06
"TRAM2",7.50528466173049,7.05863906336094,31.4859589011544,0.000445906028678864
"SCIMP",-7.49959357447797,7.41649331297984,73.3667530713534,2.16111589925877e-05
"IGLL5",7.24522532918344,13.6094255574021,37.4684065668678,0.000246393228045534
"LGALS3",7.20937327950269,5.76643558827235,27.1223974777458,0.000730635887726983
"PARP15",-6.95861827637769,6.9877612951237,30.3906327522611,0.00050200297397072
"MZB1",6.79282363087903,12.7445209914626,40.1450623067892,0.000193806320742211
"GLCCI1",6.76434917785524,5.19766574043758,28.7077852190801,0.000606424436728515
"RRBP1",6.75463366912792,7.57072916288933,16.9991558926162,0.00309534750548021
"SIL1",6.70587310926523,8.21533670923879,22.4453103326973,0.0013376211018575
"XBP1",6.58147686953789,11.0759247477861,35.7312462539603,0.000290197264730642
"SEC24D",6.4157397185883,6.32838481265914,15.9758737842329,0.00370154248082611
"DUSP1",-6.40833801072846,9.62963408821308,13.9551103665971,0.00540243683466625
"HVCN1",-6.30402694284967,7.4944376414706,63.2163235578762,3.7675710123145e-05
"KCNK6",6.25750306189155,7.16849281016102,73.2378050968338,2.17545259741159e-05
"FNDC3B",6.21612082330252,5.58903863204025,31.6080424839925,0.000440147247801248
"MAN1A1",6.1671221263014,4.32133298574482,15.2807533004059,0.00419915384158111
"CD83",-6.15229237553729,7.73729563717779,19.3807303460026,0.00209949508906899
"SLAMF7",6.04070259554531,9.11063463898041,14.0225918659108,0.00533153307840997
"MS4A1",-6.00785592556914,9.67078780727255,35.5903994813974,0.000294157985325224
"FKBP11",5.93692830250853,10.7872787435425,72.3351764279546,2.27918744594106e-05
"PRDX4",5.92380256484409,9.22826955257655,61.6180946382207,4.14199761572203e-05
"ABCB9",5.8637258277151,5.44781836778525,54.6013370732647,6.0240610598825e-05
"SLC38A5",5.84449752685593,8.45571985321033,14.4368312538651,0.00492079435210467
"NUGGC",5.68799036928407,4.64892692167144,25.4657896845646,0.000863054583412988
"TXNDC5",5.63763020289247,9.97322316280834,30.9491987893538,0.000472364873774514
"DENND6B",5.62693839962888,7.31334087880513,20.8078797886748,0.00169143674999669
"LDLR",5.57979753044804,6.68940495516248,50.9013011498469,8.32848879137591e-05
"TNFRSF17",5.56386600740543,8.50301465034965,23.4228246885498,0.00116991809410744
"NUCB2",5.48627276644166,6.23443964208857,34.7922447270991,0.00031791702047276
"SLC1A4",5.38874893892299,5.84351151496929,25.33141273354,0.000911505218719181
"PDIA4",5.29126353095508,11.0321176150557,82.1716613802401,1.40839811853805e-05
"PDIA5",5.18505494183238,6.7647458488579,14.7482384309433,0.00463774514184908
"CD38",5.17091609950068,7.86954693286423,62.9872316900685,3.81858186312242e-05
"TSHR",5.12911613562255,4.14349776328671,22.9075157870933,0.00120918958098906
"CIITA",-5.1086300524416,8.03275152173393,13.9471662305741,0.00541086099139986
"NME1",5.10414701954175,8.80283196450931,83.4316598865301,1.32929949969172e-05
"FOXP1",-4.97585687059687,6.70438520884803,32.19735616509,0.000413613649914385
"FADS2",4.95027319830964,5.67642108021599,11.4682923089425,0.00908394779621029
"SNX22",-4.93790996690793,7.02551218615301,42.3420767029423,0.000160732116286804
"CREB3L2",4.89309193500604,7.24102588199911,72.772478708738,2.11858342553686e-05
"SSR4",4.87012140567444,12.0240556849061,57.1795231195982,5.4537671400603e-05
"PPIB",4.84444716193473,11.9697554465778,141.463915053338,1.53703392851122e-06
"NME1-NME2",4.83172000622296,5.77207470806835,24.4699488720361,0.00101828975526103
"CRELD2",4.7920424697064,9.32625072995729,19.1973629459126,0.00216043752764253
"BLK",-4.72605956830196,8.94445494247379,28.3733365847203,0.000630297984544737
"FKBP2",4.68039184108131,8.83095293641332,44.4034659961448,0.000135851635862143
"DERL3",4.67719164674706,11.0163936689755,31.0559514704292,0.000466950355448214
"ERN1",4.66711699499545,4.66559269375611,19.3818090164052,0.00203594135287847
"ALG14",4.66134348807777,5.74848166030791,32.7060862924628,0.000381171811118577
"HSP90B1",4.56100637334533,10.7980569066929,120.15875607674,2.93562650384337e-06
"ZFP36L1",-4.51435288739951,9.38585702110907,62.3509226812138,3.96483488492813e-05
"TXNDC15",4.51320500191166,7.00052731910874,30.9352121583975,0.000473080047318723
"SPCS3",4.50533869724872,7.72363595380796,64.8629008717269,3.38800118739095e-05
"GPR183",-4.50388577574669,8.77486300226872,13.6806598875982,0.00570321014332812
"WIPI1",4.47844289662721,7.04508707083684,28.0198067042651,0.000656817351302317
"SEC11C",4.42704057217667,9.68252650107076,94.1727492192741,7.84834488980236e-06
"PRDM15",4.42005723128081,6.27587876724437,18.9037811913663,0.00226266677019061
"HSPA5",4.40871232143423,11.2363172066356,50.7549703306469,8.41559354812358e-05
"FABP5",4.38727731229735,5.71347784602588,23.6333071666759,0.00113729469844541
"SPN",4.373705965555,5.10583978391591,15.7752969152108,0.00383721138815429
"SERPINB9",-4.3420803973571,6.52892583298741,46.692864236709,0.000107453276990089
"MANF",4.29940454852838,7.0910046491881,68.6231422815635,2.56504549286422e-05
"UCK2",4.26954818244789,5.81711915946913,13.5712989300702,0.00582886068869259
"ELL2",4.2568734544014,5.84393750252084,35.9652211457347,0.000269247355440655
"IL6R",4.22481944594966,5.8245132820424,11.5837970765276,0.00885365440649385
"PHGDH",4.21960758636134,8.45518176655255,13.4478805660437,0.00597483696868438
"TFDP1",4.19493996020557,4.59059876943493,13.6971108181036,0.0056216017021944
"BANK1",-4.15539258901165,7.69860686031084,27.6965774662472,0.000682287814351894
"SEC61G",4.14738791173639,6.71826486986152,58.5785689154864,4.64318429262462e-05
"CD82",-4.14066318746464,8.9530878879708,20.256036111517,0.00183638517014413
"LMAN1",4.13731558924735,8.05493844415948,96.4635799316933,6.94284801237926e-06
"AQP3",4.05788531514809,7.25386918635969,48.964492327953,9.49200500445938e-05
"SSR3",4.03053582053029,8.51176768451444,80.3047451269459,1.4096891241406e-05
"SEC61A1",4.00869814319085,10.0688053104449,75.8074724529536,1.86676490954358e-05
"HDLBP",3.99642699659121,8.97275140895148,26.0110571739515,0.000836943144630682
"ECI1",3.99415570498786,5.61064161708596,15.3569084706938,0.00414072955434056
"TPST2",3.98158574340386,9.02109693450229,23.9750895220497,0.00108669383906262
"REL",-3.95408121256814,5.96354767737079,36.8052590322562,0.000248453161516577
"TXNIP",-3.88977248651795,11.8364895412325,42.9921408804564,0.00015231658773188
"ERGIC3",3.86418339929051,9.17542856928472,42.8604112807994,0.000153976858614319
"HCST",3.85075171621553,8.25977142216604,33.5086608982418,0.000361353549907028
"KDELR2",3.8277307679943,8.6736024404366,34.5220284474894,0.000326497383532806
"GMPPB",3.73723026575035,8.74466520796745,92.3844542543296,8.21141340094133e-06
"STT3A",3.73187699885858,9.40063531393379,41.1330673375977,0.000177977907269548
"SELPLG",3.68359079206479,8.70849497476687,24.7441505067358,0.000982689226899641
"BTG1",-3.66637887242352,8.42115650313139,35.3080647014771,0.000302301783542816
"PTTG1",3.66558343637222,6.63964574359136,19.1070706032998,0.00219125504898977
