"","Gene","Direction"
"1","BOLA2B","Up"
"2","STT3A","Up"
"3","EIF3C","Up"
"4","SEC23B","Up"
"5","UBE2V1","Up"
"6","SRPRB","Up"
"7","BOLA2","Up"
"8","NME1-NME2","Up"
"9","CYP51A1","Up"
"10","COPG1","Up"
"11","CBWD2","Up"
"12","CBWD3","Up"
"13","CHP1","Up"
"14","PSMA2","Up"
"15","SEC13","Up"
"16","UQCRC1","Up"
"17","MAN2B1","Up"
"18","ARCN1","Up"
"19","NDUFA7","Up"
"20","HSP90B1","Down"
"21","B2M","Down"
"22","SUB1","Down"
"23","RPLP1","Down"
"24","MZB1","Down"
"25","HLA-A","Down"
"26","SERF2","Down"
"27","SSR4","Down"
"28","RPL8","Down"
"29","SEC61B","Down"
"30","CD74","Down"
"31","XBP1","Down"
"32","RPL3","Down"
"33","RPLP0","Down"
"34","SEC11C","Down"
"35","UBE2J1","Down"
"36","RPL15","Down"
"37","RPL18A","Down"
"38","RPL10","Down"
"39","FTH1","Down"
"40","CD79A","Down"
"41","FTL","Down"
"42","CYBA","Down"
"43","EIF1","Down"
"44","HLA-B","Down"
"45","HLA-C","Down"
"46","OAZ1","Down"
"47","SPCS1","Down"
