"","Gene","Direction"
"1","SEC61A1","Up"
"2","P4HB","Up"
"3","PSMB6","Up"
"4","ENO1","Up"
"5","EWSR1","Up"
"6","RPN1","Up"
"7","TPI1","Up"
"8","STT3A","Up"
"9","MYL6","Up"
"10","EEF1G","Up"
"11","PPIB","Up"
"12","SRPRB","Up"
"13","EIF3C","Up"
"14","MIF","Up"
"15","EIF4A1","Up"
"16","PRMT1","Up"
"17","SEC13","Up"
"18","COPG1","Up"
"19","TPT1","Down"
"20","RPL22","Down"
"21","RPL26","Down"
"22","RPL14","Down"
"23","RPS25","Down"
"24","RPL10","Down"
"25","RPL21","Down"
"26","RPS3A","Down"
"27","RPL18A","Down"
