"","Gene","Direction"
"1","SEC61A1","Up"
"2","PSMB6","Up"
"3","MIF","Up"
"4","PPIB","Up"
"5","P4HB","Up"
"6","PDIA6","Up"
"7","SEC13","Up"
"8","VCP","Up"
"9","RPN1","Up"
"10","STT3A","Up"
"11","COPG1","Up"
"12","TPI1","Up"
"13","FDPS","Up"
"14","TXNDC5","Up"
"15","SNRPD2","Up"
"16","NDUFA13","Up"
"17","EIF3C","Up"
"18","PSMA2","Up"
"19","EIF4A1","Up"
"20","HLA-B","Down"
"21","RPL22L1","Down"
"22","SEC61G","Down"
"23","SEC61B","Down"
"24","SUB1","Down"
"25","UBE2J1","Down"
"26","EIF2S2","Down"
"27","SPCS1","Down"
"28","RPS9","Down"
"29","HLA-DRB1","Down"
"30","HLA-DRA","Down"
"31","PSMB9","Down"
"32","UBE2D2","Down"
"33","EEF1D","Down"
"34","C4orf3","Down"
"35","CXCR3","Down"
