"","Gene","Direction"
"1","CD74","Up"
"2","LMAN2","Up"
"3","PIM2","Up"
"4","NDUFB8","Up"
"5","UBC","Up"
"6","TMBIM6","Up"
"7","IDH2","Up"
"8","PDIA4","Up"
"9","FTL","Up"
"10","COPE","Up"
"11","IFI30","Up"
"12","UBB","Up"
"13","RPN2","Up"
"14","ECH1","Up"
"15","ARPC2","Up"
"16","VCP","Up"
"17","ALDOA","Up"
"18","HSPA5","Up"
"19","GSTP1","Up"
"20","HLA-C","Down"
"21","RPL28","Down"
"22","HLA-B","Down"
"23","RPL11","Down"
"24","RPS12","Down"
"25","EEF1D","Down"
"26","RPS9","Down"
"27","RPS13","Down"
"28","RPS26","Down"
"29","RPS15A","Down"
"30","RPS8","Down"
"31","RPL39","Down"
"32","RPS7","Down"
"33","RPL12","Down"
"34","RPS23","Down"
"35","RPS24","Down"
"36","RPL30","Down"
"37","RPL9","Down"
"38","RPS28","Down"
"39","RPL32","Down"
"40","RPL24","Down"
"41","RPS21","Down"
"42","RPL35A","Down"
"43","HLA-A","Down"
"44","RPS4X","Down"
"45","RPL34","Down"
"46","RPS27A","Down"
"47","RPLP2","Down"
"48","RPL37","Down"
"49","RPLP1","Down"
