"","MS","Healthy","Dengue","average"
"SERF2",1,1,0.999037041792386,0.999679013930795
"FTL",1,1,0.990269536587826,0.996756512195942
"OST4",1,0.996138996138996,0.993649061345023,0.99659601916134
"NDUFA13",0.99707666850524,0.996596220280431,0.994391914819468,0.996021601201713
"CD74",1,1,0.983858986234283,0.994619662078094
"COX6A1",0.996304467733039,0.995986588091851,0.989058960555398,0.993783338793429
"ISG20",1,0.999796789270473,0.97627912948578,0.992025306252085
"RPL36AL",0.996157381871668,0.98658809185125,0.992869523748384,0.991871665823767
"ROMO1",1,0.99563096931518,0.975146507213016,0.990259158842732
"UBC",0.996396396396396,0.996138996138996,0.975279487155972,0.989271626563788
"ATP5F1E",0.996175767604339,0.978510465352571,0.992484340465338,0.989056857807416
"UQCRQ",1,0.997053444421865,0.969556764093581,0.988870069505149
"COX5B",1,0.988010566957935,0.977618099945891,0.988542888967942
"FTH1",1,1,0.964847439906822,0.988282479968941
"ELOB",0.992903107188821,0.983133509449299,0.988751731032016,0.988262782556712
"COPE",1,0.999288762446657,0.965489412045232,0.988259391497296
"TMEM258",0.99619415333701,0.988366185734607,0.979539430845844,0.988033256639154
"UQCR10",0.993307593307593,0.992379597642756,0.976040682691514,0.987242624547288
"LMAN2",0.996322853465711,0.996291404186141,0.966358367189721,0.986324208280524
"RABAC1",0.996322853465711,0.994970534444219,0.960569154155853,0.983954180688594
"PDIA4",0.996451553594411,0.992786019101809,0.962423995084328,0.983887189260182
"P4HB",0.996286082000368,0.9925320056899,0.960938288135438,0.983252125275235
"SEC61B",1,0.99126193863036,0.956859472298902,0.982707136976421
"SERP1",0.996230924802353,0.991922373501321,0.952363374572401,0.980172224292025
"UQCR11",0.992903107188821,0.987299329404593,0.95956492631077,0.979922454301394
"PPIB",1,0.99563096931518,0.942144553783509,0.979258507699563
"PFN1",0.996286082000368,0.996342206868523,0.944455653481782,0.979027980783557
"SSR4",1,0.999796789270473,0.937040875283156,0.978945888184543
"DAD1",0.996322853465711,0.996138996138996,0.942284411999376,0.978248753868028
"MYL6",1,1,0.932359064188043,0.977453021396014
"HSPA5",0.996378010663725,0.991211135947978,0.944742248186429,0.977443798266044
