"Gene","Direction","Data"
"LMAN2","Up","Common"
"PIM2","Up","Common"
"NDUFB8","Up","Common"
"IDH2","Up","Common"
"IFI30","Up","Common"
"SEC61A1","Up","Common"
"RPN2","Up","Common"
"ECH1","Up","Common"
"VCP","Up","Common"
"ALDOA","Up","Common"
"GSTP1","Up","Common"
"SRPRB","Up","Common"
"LIME1","Up","Common"
"HLA-C","Down","Common"
"HLA-B","Down","Common"
"PHGDH","Up","NonMS"
"VIM","Down","NonMS"
"ITGB1","Down","NonMS"
"COPG1","Up","MS"
"NDUFA13","Up","MS"
"CCNI","Down","MS"
"PCBP2","Down","MS"
"HLA-DRB1","Down","MS"
"PPDPF","Down","MS"
"UBE2D2","Down","MS"
"SMDT1","Down","MS"
"HLA-DRA","Down","MS"
"C4orf3","Down","MS"
"CIRBP","Down","MS"
"PSMB9","Down","MS"
"HMGN1","Down","MS"
"KRT10","Down","MS"
"VPS28","Down","MS"
"HLA-DPB1","Down","MS"
"SUMO2","Down","MS"
"TAPBP","Down","MS"
"HNRNPA0","Down","MS"
"ARPC3","Down","MS"
