"CELL","HamClone","SubClone","Germline_mu_count_cdr3_r","Germline_mu_count_cdr3_s","Cell_1_mu_count_cdr3_r","Cell_1_mu_count_cdr3_s","Cell_2_mu_count_cdr3_r","Cell_2_mu_count_cdr3_s","Cell_3_mu_count_cdr3_r","Cell_3_mu_count_cdr3_s","Cell_4_mu_count_cdr3_r","Cell_4_mu_count_cdr3_s","Cell_5_mu_count_cdr3_r","Cell_5_mu_count_cdr3_s","Cell_6_mu_count_cdr3_r","Cell_6_mu_count_cdr3_s","Cell_7_mu_count_cdr3_r","Cell_7_mu_count_cdr3_s"
"1166_1_2_N14",5,1,1,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_J03",202,4,1,2,1,1,2,1,1,1,0,0,1,1,1,1,1,1
"1166_1_2_M09",252,2,3,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_N10",212,2,1,0,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_D08",203,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_J04",83,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_L16",214,4,1,0,0,1,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA
"1166_1_2_H14",5,1,1,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_L15",235,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_C11",354,1,2,2,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_B12",8,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_1_G12",8,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_N02",158,2,2,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_E05",202,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
"1166_1_2_F13",84,1,2,0,3,5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_P12",84,2,2,1,3,5,3,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_J05",235,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_F14",291,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_A07",147,1,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_K07",227,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_1_H01",83,1,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_J08",252,1,3,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_I02",319,2,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166_1_2_M08",158,3,3,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
