CELL,HamClone,SubClone,Germline_all_mut,Germline_replacement_mut,Cell_1_all_mut,Cell_1_replacement_mut,Cell_2_all_mut,Cell_2_replacement_mut,Cell_3_all_mut,Cell_3_replacement_mut,Cell_4_all_mut,Cell_4_replacement_mut,Cell_5_all_mut,Cell_5_replacement_mut,Cell_6_all_mut,Cell_6_replacement_mut,Cell_7_all_mut,Cell_7_replacement_mut
1166_1_2_N14,5,1,24,15,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_H14,5,1,26,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_J02,5,1,26,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_B12,8,1,18,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_1_G12,8,1,18,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_2_K02,20,1,16,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_2_P01,20,1,16,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_2_K03,44,1,25,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_3_C01,44,1,27,16,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_4_E01,75,1,51,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_P03,75,2,61,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_L03,75,3,51,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_2_O04,75,4,55,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_5_F06,75,5,50,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_L04,75,6,53,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_J04,83,1,17,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_1_H01,83,1,17,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_E06,83,1,17,14,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_F13,84,1,23,15,25,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_P15,84,1,23,15,0,0,25,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_G13,84,1,23,15,0,0,25,17,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_P12,84,2,18,14,25,17,25,17,25,17,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_2_J08,91,1,22,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_2_O05,91,1,22,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_2_K05,96,1,41,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_1_G19,96,1,41,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1227_1_1_N02,96,1,41,29,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_L01,98,1,22,17,17,13,7,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_5_O03,98,1,22,17,17,13,0,0,7,5,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_5_G01,98,2,19,14,13,11,7,5,7,5,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_4_C06,98,3,27,20,17,12,13,11,17,12,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_1_G18,111,1,27,18,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_H15,111,2,25,17,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_A07,147,1,21,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_N01,147,1,15,9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_G03,151,1,16,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_G09,151,1,16,12,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_I08,158,1,22,13,2,1,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_N02,158,2,22,14,10,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_M08,158,3,17,13,10,4,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_J05,175,1,18,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_O03,175,2,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_F01,175,3,18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_4_D04,175,4,21,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_4_O01,175,4,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_5_N03,175,4,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_4_C05,182,1,19,15,18,12,28,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_N03,182,2,28,19,28,18,29,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_6_A02,182,3,15,10,18,13,29,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_E05,202,1,15,11,11,9,15,10,10,6,8,6,0,0,0,0,10,6
1166_1_2_N05,202,1,15,11,11,9,0,0,15,10,10,6,8,6,0,0,10,6
1166_1_2_L14,202,1,15,11,11,9,0,0,15,10,10,6,8,6,0,0,10,6
1166_1_2_I11,202,2,20,11,16,9,10,6,14,8,13,6,10,6,10,6,0,0
1166_1_2_M12,202,2,20,11,16,9,10,6,14,8,0,0,13,6,10,6,10,6
1166_1_2_D03,202,3,22,13,20,13,15,10,14,8,17,10,15,10,15,10,14,8
1166_1_2_J03,202,4,20,14,11,8,20,12,16,8,3,3,11,8,11,8,16,8
1166_1_2_F12,202,5,17,11,3,3,8,6,17,10,13,6,8,6,8,6,13,6
1166_1_2_D08,203,1,15,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_C09,203,2,15,9,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_D09,212,1,22,14,7,5,7,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_J12,212,1,26,17,10,6,0,0,11,6,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_N10,212,2,29,16,8,5,0,0,10,6,NA,NA,NA,NA,NA,NA,NA,NA
1166_1_2_E15,212,2,30,17,0,0,8,5,11,6,NA,NA,NA,NA,NA,NA,NA,NA
1284_1_4_E05,213,1,26,19,22,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
