CELL,HamClone,SubClone,Germline_all_mut,Germline_replacement_mut,Cell_1_all_mut,Cell_1_replacement_mut,Cell_2_all_mut,Cell_2_replacement_mut,Cell_3_all_mut,Cell_3_replacement_mut,Cell_4_all_mut,Cell_4_replacement_mut,Cell_5_all_mut,Cell_5_replacement_mut,Cell_6_all_mut,Cell_6_replacement_mut,Cell_7_all_mut,Cell_7_replacement_mut,maxAllMutDist,maxRepMutDist
1166_1_2_N14,5,1,29,17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_H14,5,1,31,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_J02,5,1,31,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_B12,8,1,22,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_1_G12,8,1,22,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_K02,20,1,21,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_P01,20,1,21,14,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_K03,44,1,30,20,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_3_C01,44,1,32,21,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_4_E01,75,1,58,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_6_P03,75,2,68,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_6_L03,75,3,58,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_2_O04,75,4,64,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_5_F06,75,5,57,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1284_1_6_L04,75,6,60,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,#NAME?
1166_1_2_J04,83,1,19,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_1_H01,83,1,19,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_E06,83,1,19,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1166_1_2_F13,84,1,26,18,35,22,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1166_1_2_P15,84,1,26,18,0,0,35,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1166_1_2_G13,84,1,26,18,0,0,35,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1166_1_2_P12,84,2,22,17,35,22,35,22,35,22,NA,NA,NA,NA,NA,NA,NA,NA,35,35
1227_1_2_J08,91,1,26,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_O05,91,1,26,18,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_2_K05,96,1,44,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_1_G19,96,1,44,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1227_1_1_N02,96,1,44,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1284_1_6_L01,98,1,27,22,23,17,10,8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,23,23
