"","x"
"1_TSPAN6",0.573328631147185
"2_TNMD",NA
"3_DPM1",0.372752111624706
"4_SCYL3",0.355024662786943
"5_C1orf112",0.199067002571528
"6_FGR",0.679568375074682
"7_CFH",NA
"8_FUCA2",0.161543724733557
"9_GCLC",0.0971984102333509
"10_NFYA",0.0617804735549859
"11_STPG1",0.0762578505565383
"12_NIPAL3",0.781517989489491
"13_LAS1L",0.68907415430029
"14_ENPP4",0.0364832295041644
"15_SEMA3F",0.147858808397429
"16_CFTR",NA
"17_ANKIB1",0.296603592230298
"18_CYP51A1",0.10251301193057
"19_KRIT1",0.762861779239333
"20_RAD52",0.0163883130796389
"21_BAD",0.4747140232949
"22_LAP3",0.596423590972991
"23_CD99",0.0327483061153044
"24_HS3ST1",0.560179292016863
"25_AOC1",0.23842184384179
"26_WNT16",0.34070814069189
"27_HECW1",0.860252914886178
"28_MAD1L1",0.316396857738448
"29_LASP1",0.49087249551982
"30_SNX11",0.521899639973404
"31_TMEM176A",NA
"32_M6PR",0.0998653899286773
"33_KLHL13",NA
"34_CYP26B1",NA
"35_ICA1",0.34070814069189
"36_DBNDD1",0.980198696732775
"37_ALS2",0.904015875246841
"38_CASP10",0.0986814367796718
"39_CFLAR",0.0611626075083889
"40_TFPI",0.643947254397853
"41_NDUFAF7",0.516312438143828
"42_RBM5",0.484281895053668
"43_MTMR7",0.940644842344145
"44_SLC7A2",NA
"45_ARF5",0.667517197504551
"46_SARM1",0.89151219335086
"47_POLDIP2",0.303888304822405
"48_PLXND1",0.23842184384179
"49_AK2",0.0112352313796603
"50_CD38",0.337110193597224
"51_FKBP4",0.658305184936755
"52_KDM1A",0.723559240530678
"53_RBM6",0.69614770623656
"54_CAMKK1",0.298654982560561
"55_RECQL",0.666881439654099
"56_VPS50",0.628265210378367
"57_HSPB6",0.596586953904718
"58_ARHGAP33",0.23842184384179
"59_NDUFAB1",0.0626286164918334
"60_PDK4",NA
"61_SLC22A16",NA
"62_ZMYND10",0.509431083384538
"63_ABCB5",0.859315867585139
"64_ARX",0.34070814069189
"65_SLC25A13",0.419072682962685
"66_ST7",0.849004513939223
"67_CDC27",0.533195527601678
"68_SLC4A1",0.894245712661225
"69_CALCR",NA
"70_HCCS",0.205997681463826
"71_DVL2",0.0714475927819953
"72_PRSS22",NA
"73_UPF1",0.274256481586414
"74_SKAP2",0.334020907169019
"75_SLC25A5",0.739753487658579
"76_MCUB",0.541626260893793
"77_HOXA11",NA
"78_POLR2J",0.290572059252176
"79_DHX33",0.0156094742443912
"80_MEOX1",NA
"81_THSD7A",NA
"82_LIG3",0.598000176729391
"83_RPAP3",0.206533290511723
"84_ACSM3",0.00133666719135613
"85_REXO5",0.59739060074524
"86_CIAPIN1",0.182300199277636
"87_SPPL2B",0.814124420739724
"88_FAM214B",0.167968346898525
"89_COPZ2",0.40739862391088
"90_PRKAR2B",NA
"91_MSL3",0.0380830518796357
"92_CREBBP",0.121241531070979
"93_TSPOAP1",0.509431083384538
"94_MPO",0.509431083384538
"95_PON1",0.122630895848154
"96_GCFC2",0.328484831074438
