"","x"
"1_TSPAN6",0.71929284574892
"2_TNMD",NA
"3_DPM1",0.456291975777966
"4_SCYL3",0.199959519415789
"5_C1orf112",0.729582447817941
"6_FGR",0.822767770052702
"7_CFH",NA
"8_FUCA2",0.149893363563392
"9_GCLC",0.555560415930753
"10_NFYA",0.927172483672151
"11_STPG1",0.52963279354208
"12_NIPAL3",0.860337197828661
"13_LAS1L",0.0323996177006234
"14_ENPP4",0.159652835852315
"15_SEMA3F",0.591860508040308
"16_CFTR",0.0739149364780842
"17_ANKIB1",0.282663466031482
"18_CYP51A1",0.970003091187187
"19_KRIT1",0.375853253549248
"20_RAD52",0.135026057533975
"21_BAD",0.7427116320457
"22_LAP3",0.20792304524329
"23_CD99",0.39932975158603
"24_HS3ST1",0.771596005496899
"25_AOC1",0.33881136432274
"26_WNT16",0.439053397621579
"27_HECW1",0.900847181109218
"28_MAD1L1",0.422227330353656
"29_LASP1",0.0509542240347289
"30_SNX11",0.267789736351873
"31_TMEM176A",NA
"32_M6PR",0.303207417910374
"33_KLHL13",NA
"34_CYP26B1",NA
"35_ICA1",0.708189273481787
"36_DBNDD1",0.33881136432274
"37_ALS2",0.233124658219313
"38_CASP10",0.401086344073722
"39_CFLAR",0.227112080607826
"40_TFPI",0.184632751877096
"41_NDUFAF7",0.0413965909321886
"42_RBM5",0.76154311654769
"43_MTMR7",0.942356994284462
"44_SLC7A2",NA
"45_ARF5",0.108109921324616
"46_SARM1",0.618446695241196
"47_POLDIP2",0.154551265653483
"48_PLXND1",0.33881136432274
"49_AK2",0.48527667932007
"50_CD38",0.0872976039717543
"51_FKBP4",0.209312201094397
"52_KDM1A",0.366898375988149
"53_RBM6",0.0169020450692864
"54_CAMKK1",0.215750320153006
"55_RECQL",0.722838768432293
"56_VPS50",0.484844110111437
"57_HSPB6",0.439053397621579
"58_ARHGAP33",0.95675126975725
"59_NDUFAB1",0.710919678519768
"60_PDK4",NA
"61_SLC22A16",NA
"62_ZMYND10",0.591860508040308
"63_ABCB5",0.72006009583219
"64_ARX",0.439053397621579
"65_SLC25A13",0.825503599235024
"66_ST7",0.609891682647748
"67_CDC27",0.318112149735477
"68_SLC4A1",0.31430397955734
"69_CALCR",NA
"70_HCCS",0.128320872198181
"71_DVL2",0.843842690873387
"72_PRSS22",NA
"73_UPF1",0.113239546883724
"74_SKAP2",0.892870703720908
"75_SLC25A5",0.948629688719463
"76_MCUB",0.787459517049471
