"","logFCCohen","FDRcorrMannW","topVals","topNames"
"TSPAN6",-0.151543223597672,0.968658944276057,"FALSE",NA
"TNMD",0,NA,"FALSE",NA
"DPM1",0.150550841495447,0.974699735235089,"FALSE",NA
"SCYL3",-0.306518341389852,0.968658944276057,"FALSE",NA
"C1orf112",-0.0971864486442834,0.968658944276057,"FALSE",NA
"FGR",-0.0993184118519125,0.968658944276057,"FALSE",NA
"CFH",0,NA,"FALSE",NA
"FUCA2",-0.168387358727659,0.968658944276057,"FALSE",NA
"GCLC",0.0495083804389181,0.968658944276057,"FALSE",NA
"NFYA",-0.100591841145786,0.973209825528406,"FALSE",NA
"STPG1",0.0613523977797491,0.996462848829211,"FALSE",NA
"NIPAL3",0.0302412621305967,0.976018706196534,"FALSE",NA
"LAS1L",0.551731973270572,0.870713000150445,"FALSE",NA
"ENPP4",-0.344644185309929,0.968658944276057,"FALSE",NA
"SEMA3F",0.133630620956212,0.968658944276057,"FALSE",NA
"CFTR",-0.282842712474619,0.870713000150445,"FALSE",NA
"ANKIB1",-0.393482690853957,0.968658944276057,"FALSE",NA
"CYP51A1",-0.0545571972924016,0.982565158162787,"FALSE",NA
"KRIT1",-0.0351804483451474,0.993970630612585,"FALSE",NA
"RAD52",-0.335921222544162,0.968658944276057,"FALSE",NA
"BAD",-0.200930169317649,0.968658944276057,"FALSE",NA
"LAP3",-0.353777715658131,0.968658944276057,"FALSE",NA
"CD99",-0.201595391319864,0.968658944276057,"FALSE",NA
"HS3ST1",0.214471441021649,0.968658944276057,"FALSE",NA
"AOC1",0.227324334946581,0.968658944276057,"FALSE",NA
"WNT16",0.165416780684123,0.968658944276057,"FALSE",NA
"HECW1",0.039961478913525,0.974699735235089,"FALSE",NA
"MAD1L1",-0.240101675830648,0.968658944276057,"FALSE",NA
"LASP1",0.140748269363822,0.968658944276057,"FALSE",NA
"SNX11",0.0429484724067932,0.996092565248829,"FALSE",NA
"TMEM176A",0,NA,"FALSE",NA
"M6PR",0.120755062133654,0.968658944276057,"FALSE",NA
"KLHL13",0,NA,"FALSE",NA
"CYP26B1",0,NA,"FALSE",NA
"ICA1",0.0232828555295344,0.968658944276057,"FALSE",NA
"DBNDD1",0.228139939181291,0.968658944276057,"FALSE",NA
"ALS2",0.0652922580020707,0.968658944276057,"FALSE",NA
"CASP10",-0.261776345899517,0.968658944276057,"FALSE",NA
"CFLAR",-0.108582622721632,0.968658944276057,"FALSE",NA
"TFPI",-0.347700909854297,0.968658944276057,"FALSE",NA
"NDUFAF7",0.490724223087341,0.968658944276057,"FALSE",NA
"RBM5",-0.0676151157737437,0.974699735235089,"FALSE",NA
"MTMR7",-0.0641372726371656,0.974699735235089,"FALSE",NA
"SLC7A2",0,NA,"FALSE",NA
"ARF5",0.122855228352819,0.976018706196534,"FALSE",NA
"SARM1",-0.113575131216144,0.968658944276057,"FALSE",NA
"POLDIP2",-0.0683807554472962,0.968658944276057,"FALSE",NA
"PLXND1",0.220015693349674,0.968658944276057,"FALSE",NA
"AK2",0.188269762021753,0.974699735235089,"FALSE",NA
"CD38",-0.121052461654283,0.965442420234936,"FALSE",NA
"FKBP4",0.3533402707057,0.968658944276057,"FALSE",NA
"KDM1A",0.0512302864534289,0.995240495982067,"FALSE",NA
"RBM6",-0.335872369410675,0.968658944276057,"FALSE",NA
"CAMKK1",0.46241166654252,0.968658944276057,"FALSE",NA
"RECQL",-0.0106946416266227,0.996092565248829,"FALSE",NA
"HSPB6",0.187882677113773,0.968658944276057,"FALSE",NA
"ARHGAP33",-0.0341116349944705,0.974699735235089,"FALSE",NA
"NDUFAB1",0.14267749850465,0.974699735235089,"FALSE",NA
"PDK4",0,NA,"FALSE",NA
"SLC22A16",0,NA,"FALSE",NA
"ZMYND10",0.133630620956212,0.968658944276057,"FALSE",NA
"ABCB5",0.00957150874251391,0.995137446572239,"FALSE",NA
"ARX",0.189781261082648,0.968658944276057,"FALSE",NA
"SLC25A13",-0.0436016098693477,0.974699735235089,"FALSE",NA
"ST7",-0.0753097428655226,0.989028572776099,"FALSE",NA
"CDC27",0.21483014461894,0.968658944276057,"FALSE",NA
"SLC4A1",0.100054023805693,0.968658944276057,"FALSE",NA
"CALCR",0,NA,"FALSE",NA
"HCCS",-0.294861233937064,0.968658944276057,"FALSE",NA
"DVL2",-0.0918225343959483,0.974699735235089,"FALSE",NA
"PRSS22",0,NA,"FALSE",NA
"UPF1",-0.377900522485969,0.870713000150445,"FALSE",NA
"SKAP2",-0.0282417838310099,0.974690682918524,"FALSE",NA
"SLC25A5",-0.0414870843728999,0.976561571512767,"FALSE",NA
"HOXA11",0,NA,"FALSE",NA
"POLR2J",-0.120318831075074,0.968658944276057,"FALSE",NA
"DHX33",0.274502405446821,0.968658944276057,"FALSE",NA
"MEOX1",0,NA,"FALSE",NA
"THSD7A",0,NA,"FALSE",NA
"LIG3",-0.257474509628563,0.968658944276057,"FALSE",NA
"RPAP3",-0.334228683967282,0.968658944276057,"FALSE",NA
"ACSM3",0.0669817831276608,0.974699735235089,"FALSE",NA
"CIAPIN1",0.213192281174877,0.968658944276057,"FALSE",NA
"FAM214B",0.1000197448849,0.995137446572239,"FALSE",NA
"COPZ2",0.092440385933343,0.976018706196534,"FALSE",NA
"PRKAR2B",-0.148713845706245,0.968658944276057,"FALSE",NA
"MSL3",0.00839691098394331,0.995137446572239,"FALSE",NA
