"","logFC","logCPM","F","PValue"
"ACSM3",12.1051737486581,5.38781762272526,22.383055179557,0.000687068103353978
"TLDC2",-7.58825991211081,3.55455377641437,6.27864822650467,0.0299626464146366
"TRAF5",-6.13033931976428,1.67066396604865,5.85920883320719,0.034085884155178
"NUP188",2.31484533416194,7.37185726270807,6.0422764999857,0.0325674857790834
"SLC25A43",5.73702065567615,5.70517012404729,5.17395075831115,0.0448325244722208
"L3MBTL2",2.14216465730283,7.49168531014314,6.41054638234778,0.0286187513792729
"TRO",-12.5696284926229,4.51828547040012,13.7168016505305,0.00531229659419113
"PPIL2",2.39942924753579,6.78476982769433,5.32827943138327,0.0422876838796629
"FBXO42",4.13283148827055,7.54588461349547,7.98445053020466,0.0170771104151823
"RABGGTA",2.81049348684398,7.25895947859042,6.84622166161327,0.0246687980597275
"MOXD1",-10.918834519652,2.88004222901396,10.6202249044844,0.00994592024893038
"STOML1",6.33937130337583,6.5594659117985,7.44717292991139,0.0202448137916759
"ADA2",-2.54427170377555,8.0698678317404,5.82215392021751,0.0352438860433031
"RNF24",5.71236730262273,6.3897561591725,8.68631015814135,0.0137902666296847
"MUL1",-2.89975001154749,7.1625983041373,5.5456464373582,0.0389945842412794
