#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CD4	STAT4	9606.ENSP00000011653	9606.ENSP00000376134	0	0	0	0	0.076	0	0	0.704	0.715
CD4	IL21R	9606.ENSP00000011653	9606.ENSP00000338010	0	0	0	0	0.230	0	0	0.697	0.757
CD4	STAT5B	9606.ENSP00000011653	9606.ENSP00000293328	0	0	0	0	0.062	0	0	0.755	0.760
CD4	IL2RG	9606.ENSP00000011653	9606.ENSP00000363318	0	0	0	0	0.183	0	0	0.722	0.764
CD4	STAT1	9606.ENSP00000011653	9606.ENSP00000354394	0	0	0	0	0.062	0	0	0.761	0.766
CD4	STAT5A	9606.ENSP00000011653	9606.ENSP00000341208	0	0	0	0	0.095	0	0	0.752	0.766
CD4	STAT3	9606.ENSP00000011653	9606.ENSP00000264657	0	0	0	0	0	0	0	0.793	0.793
CD4	IL21	9606.ENSP00000011653	9606.ENSP00000264497	0	0	0	0	0	0	0	0.799	0.799
CD4	IL2RB	9606.ENSP00000011653	9606.ENSP00000216223	0	0	0	0	0.549	0	0	0.751	0.883
CD4	IL2RA	9606.ENSP00000011653	9606.ENSP00000369293	0	0	0	0	0.083	0.213	0	0.853	0.884
CD4	IL2	9606.ENSP00000011653	9606.ENSP00000226730	0	0	0	0	0	0	0	0.918	0.918
CD4	IL4	9606.ENSP00000011653	9606.ENSP00000231449	0	0	0	0	0	0	0	0.923	0.923
CD4	TNF	9606.ENSP00000011653	9606.ENSP00000398698	0	0	0	0	0.098	0	0	0.931	0.935
CD4	IFNG	9606.ENSP00000011653	9606.ENSP00000229135	0	0	0	0	0.075	0	0	0.939	0.941
CD4	IL6	9606.ENSP00000011653	9606.ENSP00000385675	0	0	0	0	0	0	0	0.942	0.942
CD4	IL17A	9606.ENSP00000011653	9606.ENSP00000344192	0	0	0	0	0	0	0	0.946	0.946
CD4	IL10	9606.ENSP00000011653	9606.ENSP00000412237	0	0	0	0	0	0	0	0.948	0.948
IFNG	IL2RB	9606.ENSP00000229135	9606.ENSP00000216223	0	0	0	0	0.154	0	0.600	0.602	0.853
IFNG	IL2	9606.ENSP00000229135	9606.ENSP00000226730	0	0	0	0	0.087	0	0	0.902	0.907
IFNG	IL21R	9606.ENSP00000229135	9606.ENSP00000338010	0	0	0	0	0.087	0	0.600	0.373	0.751
IFNG	IL21	9606.ENSP00000229135	9606.ENSP00000264497	0	0	0	0	0.096	0	0	0.747	0.762
IFNG	IL2RG	9606.ENSP00000229135	9606.ENSP00000363318	0	0	0	0	0.098	0	0.600	0.459	0.787
IFNG	STAT3	9606.ENSP00000229135	9606.ENSP00000264657	0	0	0	0	0.062	0	0	0.806	0.810
IFNG	IL23R	9606.ENSP00000229135	9606.ENSP00000321345	0	0	0	0	0	0	0.600	0.558	0.815
IFNG	IL17A	9606.ENSP00000229135	9606.ENSP00000344192	0	0	0	0	0.099	0	0	0.895	0.902
IFNG	IL4	9606.ENSP00000229135	9606.ENSP00000231449	0	0	0	0	0	0	0	0.910	0.910
IFNG	IL2RA	9606.ENSP00000229135	9606.ENSP00000369293	0	0	0	0	0.182	0	0.600	0.751	0.911
IFNG	TNF	9606.ENSP00000229135	9606.ENSP00000398698	0	0	0	0	0.152	0.213	0	0.915	0.938
IFNG	IL6	9606.ENSP00000229135	9606.ENSP00000385675	0	0	0	0	0.066	0	0	0.942	0.943
IFNG	IL10	9606.ENSP00000229135	9606.ENSP00000412237	0	0	0	0	0.066	0	0	0.950	0.951
IFNG	STAT5A	9606.ENSP00000229135	9606.ENSP00000341208	0	0	0	0	0.062	0	0.900	0.627	0.962
IFNG	STAT4	9606.ENSP00000229135	9606.ENSP00000376134	0	0	0	0	0.096	0	0.900	0.670	0.967
IFNG	JAK1	9606.ENSP00000229135	9606.ENSP00000343204	0	0	0	0	0	0	0.900	0.807	0.979
IFNG	STAT1	9606.ENSP00000229135	9606.ENSP00000354394	0	0	0	0	0.064	0	0.900	0.832	0.983
IL10	IL2RB	9606.ENSP00000412237	9606.ENSP00000216223	0	0	0	0	0.062	0	0.600	0.565	0.822
IL10	IL2	9606.ENSP00000412237	9606.ENSP00000226730	0	0	0	0	0	0	0	0.918	0.918
IL10	IL4	9606.ENSP00000412237	9606.ENSP00000231449	0	0	0	0	0	0	0	0.937	0.937
IL10	IL21	9606.ENSP00000412237	9606.ENSP00000264497	0	0	0	0	0.063	0	0	0.798	0.803
IL10	STAT3	9606.ENSP00000412237	9606.ENSP00000264657	0	0	0	0	0	0.345	0.600	0.946	0.984
IL10	IL23R	9606.ENSP00000412237	9606.ENSP00000321345	0	0	0	0	0	0	0.600	0.657	0.857
IL10	IL21R	9606.ENSP00000412237	9606.ENSP00000338010	0	0	0	0	0.083	0	0.600	0.473	0.790
IL10	JAK1	9606.ENSP00000412237	9606.ENSP00000343204	0	0	0	0	0	0.060	0.900	0.836	0.983
IL10	IL17A	9606.ENSP00000412237	9606.ENSP00000344192	0	0	0	0	0.065	0	0.900	0.949	0.994
IL10	STAT1	9606.ENSP00000412237	9606.ENSP00000354394	0	0	0	0	0	0.068	0	0.794	0.800
IL10	IL2RG	9606.ENSP00000412237	9606.ENSP00000363318	0	0	0	0	0.082	0	0.600	0.481	0.793
