#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BIRC2	TNFRSF1A	9606.ENSP00000477613	9606.ENSP00000162749	0	0	0	0	0.049	0.873	0.900	0.987	0.999
BIRC2	NFKBIA	9606.ENSP00000477613	9606.ENSP00000216797	0	0	0	0	0.065	0.146	0	0.737	0.772
BIRC2	TRAF2	9606.ENSP00000477613	9606.ENSP00000247668	0	0	0	0	0.062	0.918	0.900	0.988	0.999
BIRC2	RIPK1	9606.ENSP00000477613	9606.ENSP00000259808	0	0	0	0	0	0.889	0.900	0.985	0.999
BIRC2	FADD	9606.ENSP00000477613	9606.ENSP00000301838	0	0	0	0	0	0.161	0.900	0.808	0.982
BIRC2	TRADD	9606.ENSP00000477613	9606.ENSP00000341268	0	0	0	0	0	0.476	0.900	0.989	0.999
BIRC2	CHUK	9606.ENSP00000477613	9606.ENSP00000359424	0	0	0	0	0.097	0.179	0.600	0.832	0.943
BIRC2	TNFRSF1B	9606.ENSP00000477613	9606.ENSP00000365435	0	0	0	0	0.049	0	0.900	0.807	0.980
BIRC2	TANK	9606.ENSP00000477613	9606.ENSP00000376505	0	0	0	0	0.088	0.695	0	0.604	0.880
BIRC2	TNF	9606.ENSP00000477613	9606.ENSP00000398698	0	0	0	0	0.063	0.874	0.900	0.795	0.997
BIRC2	IKBKB	9606.ENSP00000477613	9606.ENSP00000430684	0	0	0	0	0.052	0.179	0.600	0.702	0.895
BIRC2	TNFAIP3	9606.ENSP00000477613	9606.ENSP00000481570	0	0	0	0	0.062	0.457	0.600	0.574	0.901
BIRC2	IKBKG	9606.ENSP00000477613	9606.ENSP00000483825	0	0	0	0	0	0.875	0.900	0.803	0.997
CCL2	NFKBIA	9606.ENSP00000225831	9606.ENSP00000216797	0	0	0	0	0.063	0	0	0.702	0.709
CCL2	CCL4	9606.ENSP00000225831	9606.ENSP00000482259	0	0	0	0.871	0.141	0	0.900	0.902	0.920
CCL2	CCL3	9606.ENSP00000225831	9606.ENSP00000477908	0	0	0	0.847	0.117	0	0.900	0.933	0.921
CCL2	IL4	9606.ENSP00000225831	9606.ENSP00000231449	0	0	0	0	0	0	0.900	0.860	0.985
CCL2	IL10	9606.ENSP00000225831	9606.ENSP00000412237	0	0	0	0	0	0	0.900	0.901	0.989
CCL2	TNF	9606.ENSP00000225831	9606.ENSP00000398698	0	0	0	0	0.062	0	0.900	0.930	0.992
CCL2	IL6	9606.ENSP00000225831	9606.ENSP00000385675	0	0	0	0	0.267	0	0.900	0.930	0.994
CCL2	CXCL8	9606.ENSP00000225831	9606.ENSP00000306512	0	0	0	0	0.271	0.280	0.900	0.923	0.995
CCL3	IL4	9606.ENSP00000477908	9606.ENSP00000231449	0	0	0	0	0	0	0	0.830	0.830
CCL3	CXCL8	9606.ENSP00000477908	9606.ENSP00000306512	0	0	0	0	0.187	0	0.900	0.876	0.989
CCL3	IL6	9606.ENSP00000477908	9606.ENSP00000385675	0	0	0	0	0.139	0	0.900	0.885	0.989
CCL3	TNF	9606.ENSP00000477908	9606.ENSP00000398698	0	0	0	0	0.407	0	0.900	0.903	0.993
CCL3	IL10	9606.ENSP00000477908	9606.ENSP00000412237	0	0	0	0	0.099	0	0.900	0.879	0.988
CCL3	CCL4	9606.ENSP00000477908	9606.ENSP00000482259	0	0	0	0.954	0.974	0.270	0.900	0.943	0.998
CCL4	IL4	9606.ENSP00000482259	9606.ENSP00000231449	0	0	0	0	0.062	0	0	0.823	0.827
CCL4	CXCL8	9606.ENSP00000482259	9606.ENSP00000306512	0	0	0	0	0.211	0.213	0.600	0.874	0.964
CCL4	IL6	9606.ENSP00000482259	9606.ENSP00000385675	0	0	0	0	0.153	0	0.900	0.877	0.988
CCL4	TNF	9606.ENSP00000482259	9606.ENSP00000398698	0	0	0	0	0.463	0	0.900	0.877	0.992
CCL4	IL10	9606.ENSP00000482259	9606.ENSP00000412237	0	0	0	0	0.107	0	0.900	0.876	0.988
CHUK	TNFRSF1A	9606.ENSP00000359424	9606.ENSP00000162749	0	0	0	0	0.062	0.884	0.900	0.761	0.997
CHUK	NFKBIA	9606.ENSP00000359424	9606.ENSP00000216797	0	0	0	0	0.049	0.994	0.900	0.935	0.999
CHUK	TRAF2	9606.ENSP00000359424	9606.ENSP00000247668	0	0	0	0	0.062	0.879	0.900	0.775	0.997
CHUK	RIPK1	9606.ENSP00000359424	9606.ENSP00000259808	0	0	0	0.554	0.090	0.487	0.900	0.723	0.965
CHUK	FADD	9606.ENSP00000359424	9606.ENSP00000301838	0	0	0	0	0	0.215	0.900	0.720	0.976
CHUK	TRADD	9606.ENSP00000359424	9606.ENSP00000341268	0	0	0	0	0.062	0.281	0.900	0.659	0.973
CHUK	TANK	9606.ENSP00000359424	9606.ENSP00000376505	0	0	0	0	0.101	0.466	0	0.615	0.799
