#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADAM28	ITGB1	9606.ENSP00000265769	9606.ENSP00000379350	0	0	0	0	0.063	0	0.900	0.398	0.938
ADAM28	ITGA4	9606.ENSP00000265769	9606.ENSP00000380227	0	0	0	0	0.062	0.213	0.900	0.512	0.959
CD28	ITGB8	9606.ENSP00000324890	9606.ENSP00000222573	0	0	0	0	0	0	0.900	0.079	0.904
CD28	CD80	9606.ENSP00000324890	9606.ENSP00000264246	0	0	0	0	0.063	0.624	0.900	0.990	0.999
CD28	ITGB7	9606.ENSP00000324890	9606.ENSP00000267082	0	0	0	0	0.197	0	0.900	0.310	0.939
CD28	ITGB6	9606.ENSP00000324890	9606.ENSP00000283249	0	0	0	0	0.062	0	0.900	0	0.902
CD28	ITGB5	9606.ENSP00000324890	9606.ENSP00000296181	0	0	0	0	0	0	0.900	0	0.900
CD28	JAM3	9606.ENSP00000324890	9606.ENSP00000299106	0	0	0	0	0	0	0.900	0.042	0.900
CD28	CTLA4	9606.ENSP00000324890	9606.ENSP00000303939	0	0	0	0.689	0.127	0	0.900	0.983	0.936
CD28	CD44	9606.ENSP00000324890	9606.ENSP00000398632	0	0	0	0	0.062	0	0	0.744	0.750
CD28	ITGB3	9606.ENSP00000324890	9606.ENSP00000452786	0	0	0	0	0.063	0	0.900	0.156	0.914
CD28	ITGB1	9606.ENSP00000324890	9606.ENSP00000379350	0	0	0	0	0.063	0	0.900	0.407	0.939
CD28	ITGB2	9606.ENSP00000324890	9606.ENSP00000380948	0	0	0	0	0.118	0	0.900	0.391	0.941
CD28	ITGA4	9606.ENSP00000324890	9606.ENSP00000380227	0	0	0	0	0.120	0	0.900	0.804	0.981
CD44	CD80	9606.ENSP00000398632	9606.ENSP00000264246	0	0	0	0	0.062	0	0	0.695	0.702
CD44	PXN	9606.ENSP00000398632	9606.ENSP00000267257	0	0	0	0	0.069	0	0	0.778	0.784
CD44	VCAM1	9606.ENSP00000398632	9606.ENSP00000294728	0	0	0	0	0.063	0	0	0.950	0.952
CD44	CTLA4	9606.ENSP00000398632	9606.ENSP00000303939	0	0	0	0	0	0	0	0.743	0.743
CD44	FN1	9606.ENSP00000398632	9606.ENSP00000346839	0	0	0	0	0.062	0.270	0.800	0.989	0.998
CD44	ITGB1	9606.ENSP00000398632	9606.ENSP00000379350	0	0	0	0	0.096	0.273	0	0.889	0.920
CD44	ITGA4	9606.ENSP00000398632	9606.ENSP00000380227	0	0	0	0	0.076	0.270	0	0.945	0.960
CD44	ITGB3	9606.ENSP00000398632	9606.ENSP00000452786	0	0	0	0	0.117	0	0	0.702	0.726
CD80	ITGB8	9606.ENSP00000264246	9606.ENSP00000222573	0	0	0	0	0.065	0	0.900	0.089	0.907
CD80	JAM3	9606.ENSP00000264246	9606.ENSP00000299106	0	0	0	0	0	0	0.900	0.044	0.900
