#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BIRC2	LTBR	9606.ENSP00000477613	9606.ENSP00000228918	0	0	0	0	0	0.467	0.600	0.505	0.885
BIRC2	TRAF2	9606.ENSP00000477613	9606.ENSP00000247668	0	0	0	0	0.062	0.918	0.900	0.988	0.999
BIRC2	TNFRSF13C	9606.ENSP00000477613	9606.ENSP00000291232	0	0	0	0	0.062	0	0.600	0.618	0.844
BIRC2	TNFSF12	9606.ENSP00000477613	9606.ENSP00000293825	0	0	0	0	0	0.270	0.600	0.503	0.842
BIRC2	TNFRSF12A	9606.ENSP00000477613	9606.ENSP00000326737	0	0	0	0	0	0.270	0.600	0.735	0.915
BIRC2	CD40LG	9606.ENSP00000477613	9606.ENSP00000359663	0	0	0	0	0	0.270	0.900	0.391	0.951
BIRC2	CD40	9606.ENSP00000477613	9606.ENSP00000361359	0	0	0	0	0.064	0.719	0.900	0.725	0.991
BIRC2	TRAF1	9606.ENSP00000477613	9606.ENSP00000362994	0	0	0	0	0.065	0.883	0.900	0.988	0.999
BIRC2	TNFSF13B	9606.ENSP00000477613	9606.ENSP00000365048	0	0	0	0	0.052	0	0.600	0.427	0.764
BIRC2	TNF	9606.ENSP00000477613	9606.ENSP00000398698	0	0	0	0	0.063	0.874	0.900	0.795	0.997
BIRC2	TRAF6	9606.ENSP00000477613	9606.ENSP00000433623	0	0	0	0	0.049	0.505	0.540	0.916	0.979
BIRC2	TRAF3	9606.ENSP00000477613	9606.ENSP00000454207	0	0	0	0	0	0.713	0.900	0.988	0.999
BIRC2	MAP3K14	9606.ENSP00000477613	9606.ENSP00000482657	0	0	0	0	0.052	0.695	0.900	0.555	0.985
CAMLG	TNFRSF13B	9606.ENSP00000297156	9606.ENSP00000261652	0	0	0	0	0	0.684	0	0.988	0.996
CAMLG	TNFRSF13C	9606.ENSP00000297156	9606.ENSP00000291232	0	0	0	0	0	0	0	0.787	0.787
CAMLG	TNFSF13B	9606.ENSP00000297156	9606.ENSP00000365048	0	0	0	0	0	0	0	0.794	0.794
CD19	TNFRSF13B	9606.ENSP00000437940	9606.ENSP00000261652	0	0	0	0	0.180	0	0	0.681	0.727
CD19	TNFRSF13C	9606.ENSP00000437940	9606.ENSP00000291232	0	0	0	0	0.150	0	0	0.693	0.728
CD19	CXCR5	9606.ENSP00000437940	9606.ENSP00000292174	0	0	0	0	0.198	0	0	0.760	0.800
CD19	CD40LG	9606.ENSP00000437940	9606.ENSP00000359663	0	0	0	0	0.076	0	0	0.760	0.768
CD19	CD40	9606.ENSP00000437940	9606.ENSP00000361359	0	0	0	0	0.084	0	0	0.831	0.839
CD19	TNFSF13B	9606.ENSP00000437940	9606.ENSP00000365048	0	0	0	0	0.070	0	0	0.731	0.739
CD19	TNF	9606.ENSP00000437940	9606.ENSP00000398698	0	0	0	0	0.094	0	0	0.765	0.778
CD40	TRAF2	9606.ENSP00000361359	9606.ENSP00000247668	0	0	0	0	0.084	0.978	0.900	0.985	0.999
CD40	TNFRSF13B	9606.ENSP00000361359	9606.ENSP00000261652	0	0	0	0	0	0	0	0.729	0.729
CD40	TNFRSF13C	9606.ENSP00000361359	9606.ENSP00000291232	0	0	0	0	0.062	0	0.600	0.744	0.895
CD40	TNFSF12	9606.ENSP00000361359	9606.ENSP00000293825	0	0	0	0	0.066	0	0.600	0.325	0.725
CD40	TNFRSF12A	9606.ENSP00000361359	9606.ENSP00000326737	0	0	0	0	0	0	0.600	0.391	0.745
CD40	CD40LG	9606.ENSP00000361359	9606.ENSP00000359663	0	0	0	0	0.062	0.932	0.900	0.995	0.999
CD40	MAP3K14	9606.ENSP00000361359	9606.ENSP00000482657	0	0	0	0	0.062	0.230	0.600	0.324	0.778
CD40	TNFSF13B	9606.ENSP00000361359	9606.ENSP00000365048	0	0	0	0	0.062	0	0.600	0.839	0.934
CD40	TNF	9606.ENSP00000361359	9606.ENSP00000398698	0	0	0	0	0.161	0	0.600	0.864	0.950
CD40	TRAF1	9606.ENSP00000361359	9606.ENSP00000362994	0	0	0	0	0.175	0.747	0.900	0.958	0.999
CD40	TRAF6	9606.ENSP00000361359	9606.ENSP00000433623	0	0	0	0	0.062	0.918	0.900	0.989	0.999
CD40	TRAF3	9606.ENSP00000361359	9606.ENSP00000454207	0	0	0	0	0.062	0.983	0.900	0.990	0.999
CD40LG	LTBR	9606.ENSP00000359663	9606.ENSP00000228918	0	0	0	0	0	0	0.600	0.518	0.798
CD40LG	TRAF2	9606.ENSP00000359663	9606.ENSP00000247668	0	0	0	0	0	0.281	0.900	0.654	0.972
CD40LG	TNFRSF13C	9606.ENSP00000359663	9606.ENSP00000291232	0	0	0	0	0.082	0	0.600	0.676	0.870
CD40LG	CXCR5	9606.ENSP00000359663	9606.ENSP00000292174	0	0	0	0	0.065	0	0	0.729	0.736
CD40LG	TNFSF12	9606.ENSP00000359663	9606.ENSP00000293825	0	0	0	0	0	0	0.600	0.406	0.752
CD40LG	TNFSF13B	9606.ENSP00000359663	9606.ENSP00000365048	0	0	0	0	0.096	0	0.600	0.799	0.921
CD40LG	TNF	9606.ENSP00000359663	9606.ENSP00000398698	0	0	0	0	0.076	0	0.600	0.822	0.928
CD40LG	TRAF6	9606.ENSP00000359663	9606.ENSP00000433623	0	0	0	0	0.062	0.056	0.900	0.556	0.955
CD40LG	TRAF3	9606.ENSP00000359663	9606.ENSP00000454207	0	0	0	0	0	0.056	0.900	0.574	0.956
CD40LG	TRAF1	9606.ENSP00000359663	9606.ENSP00000362994	0	0	0	0	0.065	0.281	0.900	0.556	0.966
CXCL11	TNFRSF13C	9606.ENSP00000306884	9606.ENSP00000291232	0	0	0	0	0	0	0	0.794	0.794
CXCL11	CXCR5	9606.ENSP00000306884	9606.ENSP00000292174	0	0	0	0	0.062	0	0.600	0.460	0.779
CXCR5	TNFRSF13C	9606.ENSP00000292174	9606.ENSP00000291232	0	0	0	0	0.506	0	0	0.503	0.743
LTBR	TNFSF12	9606.ENSP00000228918	9606.ENSP00000293825	0	0	0	0	0	0	0.600	0.414	0.755
LTBR	TRAF1	9606.ENSP00000228918	9606.ENSP00000362994	0	0	0	0	0	0.527	0	0.584	0.795
LTBR	TNFRSF12A	9606.ENSP00000228918	9606.ENSP00000326737	0	0	0	0	0.083	0	0.600	0.510	0.804
LTBR	TNFSF13B	9606.ENSP00000228918	9606.ENSP00000365048	0	0	0	0	0	0	0.600	0.618	0.840
LTBR	TNFRSF13C	9606.ENSP00000228918	9606.ENSP00000291232	0	0	0	0	0	0	0.600	0.687	0.869
LTBR	MAP3K14	9606.ENSP00000228918	9606.ENSP00000482657	0	0	0	0	0	0	0.800	0.503	0.896
LTBR	TNF	9606.ENSP00000228918	9606.ENSP00000398698	0	0	0	0	0	0.270	0.600	0.812	0.940
LTBR	TRAF2	9606.ENSP00000228918	9606.ENSP00000247668	0	0	0	0	0	0.886	0.800	0.396	0.985
LTBR	TRAF3	9606.ENSP00000228918	9606.ENSP00000454207	0	0	0	0	0	0.882	0.800	0.984	0.999
MAP3K14	TRAF2	9606.ENSP00000482657	9606.ENSP00000247668	0	0	0	0	0.062	0.882	0.900	0.392	0.992
MAP3K14	TNFRSF13C	9606.ENSP00000482657	9606.ENSP00000291232	0	0	0	0	0	0	0.600	0.484	0.785
MAP3K14	TNFSF12	9606.ENSP00000482657	9606.ENSP00000293825	0	0	0	0	0	0	0.900	0.289	0.925
MAP3K14	TNFRSF12A	9606.ENSP00000482657	9606.ENSP00000326737	0	0	0	0	0	0	0.600	0.289	0.703
MAP3K14	TRAF1	9606.ENSP00000482657	9606.ENSP00000362994	0	0	0	0	0.062	0.757	0.900	0.348	0.983
MAP3K14	TNFSF13B	9606.ENSP00000482657	9606.ENSP00000365048	0	0	0	0	0	0	0.600	0.411	0.754
MAP3K14	TNF	9606.ENSP00000482657	9606.ENSP00000398698	0	0	0	0	0	0	0.900	0.276	0.924
MAP3K14	TRAF6	9606.ENSP00000482657	9606.ENSP00000433623	0	0	0	0	0	0.755	0.800	0.388	0.967
MAP3K14	TRAF3	9606.ENSP00000482657	9606.ENSP00000454207	0	0	0	0	0.062	0.872	0.900	0.668	0.995
TNF	TRAF2	9606.ENSP00000398698	9606.ENSP00000247668	0	0	0	0	0.066	0.897	0.900	0.854	0.998
TNF	TNFRSF13C	9606.ENSP00000398698	9606.ENSP00000291232	0	0	0	0	0.064	0	0.600	0.624	0.847
