#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CAMLG	TNFRSF13B	9606.ENSP00000297156	9606.ENSP00000261652	0	0	0	0	0	0.684	0	0.988	0.996
CAMLG	TNFRSF13C	9606.ENSP00000297156	9606.ENSP00000291232	0	0	0	0	0	0	0	0.787	0.787
CAMLG	TNFSF13B	9606.ENSP00000297156	9606.ENSP00000365048	0	0	0	0	0	0	0	0.794	0.794
CD19	TNFRSF13B	9606.ENSP00000437940	9606.ENSP00000261652	0	0	0	0	0.180	0	0	0.681	0.727
CD19	TNFRSF13C	9606.ENSP00000437940	9606.ENSP00000291232	0	0	0	0	0.150	0	0	0.693	0.728
CD19	CD40	9606.ENSP00000437940	9606.ENSP00000361359	0	0	0	0	0.084	0	0	0.831	0.839
CD19	TNFSF13B	9606.ENSP00000437940	9606.ENSP00000365048	0	0	0	0	0.070	0	0	0.731	0.739
CD19	SDC1	9606.ENSP00000437940	9606.ENSP00000370542	0	0	0	0	0	0	0	0.849	0.849
CD40	TRAF2	9606.ENSP00000361359	9606.ENSP00000247668	0	0	0	0	0.084	0.978	0.900	0.985	0.999
CD40	TRAF5	9606.ENSP00000361359	9606.ENSP00000261464	0	0	0	0	0.062	0.876	0.540	0.980	0.998
CD40	TNFRSF13B	9606.ENSP00000361359	9606.ENSP00000261652	0	0	0	0	0	0	0	0.729	0.729
CD40	TNFRSF13C	9606.ENSP00000361359	9606.ENSP00000291232	0	0	0	0	0.062	0	0.600	0.744	0.895
CD40	MYD88	9606.ENSP00000361359	9606.ENSP00000401399	0	0	0	0	0.062	0	0	0.798	0.803
CD40	TNFSF13B	9606.ENSP00000361359	9606.ENSP00000365048	0	0	0	0	0.062	0	0.600	0.839	0.934
CD40	TRAF6	9606.ENSP00000361359	9606.ENSP00000433623	0	0	0	0	0.062	0.918	0.900	0.989	0.999
CD40	TRAF3	9606.ENSP00000361359	9606.ENSP00000454207	0	0	0	0	0.062	0.983	0.900	0.990	0.999
MYD88	TNFRSF13B	9606.ENSP00000401399	9606.ENSP00000261652	0	0	0	0	0.062	0.345	0	0.888	0.925
MYD88	TRAF3	9606.ENSP00000401399	9606.ENSP00000454207	0	0	0	0	0	0.738	0	0.989	0.997
MYD88	TRAF6	9606.ENSP00000401399	9606.ENSP00000433623	0	0	0	0	0.062	0.887	0.900	0.995	0.999
SDC1	TNFRSF13B	9606.ENSP00000370542	9606.ENSP00000261652	0	0	0	0	0	0	0	0.772	0.772
SDC1	SDC2	9606.ENSP00000370542	9606.ENSP00000307046	0	0	0	0.727	0.071	0.385	0.900	0.901	0.953
SDC1	SDC4	9606.ENSP00000370542	9606.ENSP00000361818	0	0	0	0.693	0.111	0.174	0.900	0.844	0.940
SDC2	TNFRSF13B	9606.ENSP00000307046	9606.ENSP00000261652	0	0	0	0	0	0	0.900	0.096	0.905
SDC2	SDC4	9606.ENSP00000307046	9606.ENSP00000361818	0	0	0	0.824	0.065	0.397	0.900	0.911	0.948
SDC4	TNFRSF13B	9606.ENSP00000361818	9606.ENSP00000261652	0	0	0	0	0	0	0.900	0.075	0.903
TNFRSF13B	TNFRSF17	9606.ENSP00000261652	9606.ENSP00000053243	0	0	0	0	0.140	0	0	0.987	0.989
TNFRSF13B	TRAF2	9606.ENSP00000261652	9606.ENSP00000247668	0	0	0	0	0	0.684	0.900	0.750	0.991
TNFRSF13B	TRAF5	9606.ENSP00000261652	9606.ENSP00000261464	0	0	0	0	0	0.501	0.900	0.543	0.975
TNFRSF13B	TRAF3	9606.ENSP00000261652	9606.ENSP00000454207	0	0	0	0	0	0.281	0	0.795	0.846
