#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CSF2	STAT3	9606.ENSP00000296871	9606.ENSP00000264657	0	0	0	0	0	0	0.900	0.688	0.967
CSF2	STAT5B	9606.ENSP00000296871	9606.ENSP00000293328	0	0	0	0	0	0	0.900	0.743	0.973
CSF2	IL3	9606.ENSP00000296871	9606.ENSP00000296870	0	0	0	0	0.062	0	0.500	0.988	0.994
CSF2	PRKACB	9606.ENSP00000296871	9606.ENSP00000359719	0	0	0	0	0	0	0.900	0	0.900
CSF2	PRKACG	9606.ENSP00000296871	9606.ENSP00000366488	0	0	0	0	0	0	0.900	0	0.900
CSF2	PRKACA	9606.ENSP00000296871	9606.ENSP00000309591	0	0	0	0	0	0	0.900	0	0.900
CSF2	PIK3R1	9606.ENSP00000296871	9606.ENSP00000428056	0	0	0	0	0	0	0.900	0.156	0.911
CSF2	INPP5D	9606.ENSP00000296871	9606.ENSP00000405338	0	0	0	0	0	0	0.900	0.195	0.916
CSF2	GRB2	9606.ENSP00000296871	9606.ENSP00000376345	0	0	0	0	0	0	0.900	0.294	0.926
CSF2	ITGB1	9606.ENSP00000296871	9606.ENSP00000379350	0	0	0	0	0	0	0.900	0.377	0.935
CSF2	IKBKB	9606.ENSP00000296871	9606.ENSP00000430684	0	0	0	0	0	0	0.900	0.414	0.938
CSF2	SHC1	9606.ENSP00000296871	9606.ENSP00000401303	0	0	0	0	0	0	0.900	0.419	0.939
CSF2	PTPN11	9606.ENSP00000296871	9606.ENSP00000340944	0	0	0	0	0	0	0.900	0.466	0.944
CSF2	SYK	9606.ENSP00000296871	9606.ENSP00000364907	0	0	0	0	0	0	0.900	0.521	0.950
CSF2	LYN	9606.ENSP00000296871	9606.ENSP00000428924	0	0	0	0	0	0	0.900	0.533	0.951
CSF2	JAK2	9606.ENSP00000296871	9606.ENSP00000371067	0	0	0	0	0	0	0.900	0.630	0.961
CSF2	STAT1	9606.ENSP00000296871	9606.ENSP00000354394	0	0	0	0	0	0	0.900	0.640	0.962
CSF2	STAT5A	9606.ENSP00000296871	9606.ENSP00000341208	0	0	0	0	0	0	0.900	0.695	0.968
CSF2	CSF2RA	9606.ENSP00000296871	9606.ENSP00000394227	0	0	0	0	0	0.973	0.900	0.989	0.999
