#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ASH2L	THBS1	9606.ENSP00000340896	9606.ENSP00000260356	0	0	0	0	0	0	0.900	0	0.900
ASH2L	SDC1	9606.ENSP00000340896	9606.ENSP00000370542	0	0	0	0	0	0	0	0.971	0.971
BSG	SDC1	9606.ENSP00000333769	9606.ENSP00000370542	0	0	0	0	0.059	0	0.900	0.910	0.990
CASK	SDC1	9606.ENSP00000367408	9606.ENSP00000370542	0	0	0	0	0.051	0.270	0.900	0.739	0.979
CHI3L1	SDC1	9606.ENSP00000255409	9606.ENSP00000370542	0	0	0	0	0	0	0	0.961	0.961
CXCL1	MMP9	9606.ENSP00000379110	9606.ENSP00000361405	0	0	0	0	0.147	0.213	0	0.721	0.796
CXCL1	SDC1	9606.ENSP00000379110	9606.ENSP00000370542	0	0	0	0	0	0	0	0.961	0.961
CXCL1	VEGFA	9606.ENSP00000379110	9606.ENSP00000478570	0	0	0	0	0	0	0	0.736	0.736
FGF2	HGF	9606.ENSP00000264498	9606.ENSP00000222390	0	0	0	0	0	0	0.500	0.865	0.929
FGF2	THBS1	9606.ENSP00000264498	9606.ENSP00000260356	0	0	0	0	0.062	0.270	0	0.874	0.906
FGF2	GPC1	9606.ENSP00000264498	9606.ENSP00000264039	0	0	0	0	0.084	0	0.900	0.923	0.992
FGF2	IGF1R	9606.ENSP00000264498	9606.ENSP00000268035	0	0	0	0	0	0	0.600	0.582	0.826
FGF2	FN1	9606.ENSP00000264498	9606.ENSP00000346839	0	0	0	0	0.088	0	0	0.925	0.930
FGF2	MMP9	9606.ENSP00000264498	9606.ENSP00000361405	0	0	0	0	0	0	0.900	0.754	0.974
FGF2	VEGFA	9606.ENSP00000264498	9606.ENSP00000478570	0	0	0	0	0	0	0.900	0.923	0.991
FGF2	SDC1	9606.ENSP00000264498	9606.ENSP00000370542	0	0	0	0	0	0.605	0.600	0.986	0.997
FN1	HGF	9606.ENSP00000346839	9606.ENSP00000222390	0	0	0	0	0.062	0.600	0	0.827	0.929
FN1	THBS1	9606.ENSP00000346839	9606.ENSP00000260356	0	0	0	0	0.170	0.684	0.720	0.985	0.998
FN1	GPC1	9606.ENSP00000346839	9606.ENSP00000264039	0	0	0	0	0.125	0	0	0.722	0.746
FN1	IGF1R	9606.ENSP00000346839	9606.ENSP00000268035	0	0	0	0	0	0.057	0.900	0.839	0.983
FN1	VEGFA	9606.ENSP00000346839	9606.ENSP00000478570	0	0	0	0	0.076	0.270	0	0.989	0.992
FN1	SDC1	9606.ENSP00000346839	9606.ENSP00000370542	0	0	0	0	0.117	0	0.800	0.988	0.997
GPC1	XYLT1	9606.ENSP00000264039	9606.ENSP00000261381	0	0	0	0	0	0	0.900	0.222	0.918
GPC1	HPSE	9606.ENSP00000264039	9606.ENSP00000384262	0	0	0	0	0	0	0.900	0.478	0.945
GPC1	SDC1	9606.ENSP00000264039	9606.ENSP00000370542	0	0	0	0	0.102	0	0.800	0.832	0.967
GPC1	VEGFA	9606.ENSP00000264039	9606.ENSP00000478570	0	0	0	0	0.069	0.270	0.900	0.669	0.974
HGF	IGF1R	9606.ENSP00000222390	9606.ENSP00000268035	0	0	0	0	0	0.056	0.600	0.595	0.833
HGF	VEGFA	9606.ENSP00000222390	9606.ENSP00000478570	0	0	0	0	0	0	0.500	0.860	0.927
HGF	MMP9	9606.ENSP00000222390	9606.ENSP00000361405	0	0	0	0	0.062	0	0.900	0.705	0.970
HGF	SDC1	9606.ENSP00000222390	9606.ENSP00000370542	0	0	0	0	0	0.270	0.900	0.963	0.997
HPSE	SDC1	9606.ENSP00000384262	9606.ENSP00000370542	0	0	0	0	0.062	0	0.900	0.632	0.962
IGF1R	VEGFA	9606.ENSP00000268035	9606.ENSP00000478570	0	0	0	0	0	0	0.600	0.681	0.866
IGF1R	SDC1	9606.ENSP00000268035	9606.ENSP00000370542	0	0	0	0	0	0.057	0	0.974	0.974
LACRT	SDC1	9606.ENSP00000257867	9606.ENSP00000370542	0	0	0	0	0	0.487	0	0.977	0.988
MMP9	THBS1	9606.ENSP00000361405	9606.ENSP00000260356	0	0	0	0	0.063	0.462	0.800	0.691	0.964
MMP9	SDC1	9606.ENSP00000361405	9606.ENSP00000370542	0	0	0	0	0	0	0.900	0.851	0.984
MMP9	VEGFA	9606.ENSP00000361405	9606.ENSP00000478570	0	0	0	0	0	0	0.900	0.879	0.987
NF1	SDC1	9606.ENSP00000351015	9606.ENSP00000370542	0	0	0	0	0	0.082	0	0.960	0.962
RAB5A	SDCBP	9606.ENSP00000273047	9606.ENSP00000260130	0	0	0	0	0.137	0.298	0	0.543	0.700
RAB5A	SDC1	9606.ENSP00000273047	9606.ENSP00000370542	0	0	0	0	0	0	0	0.974	0.974
SDC1	SDCBP	9606.ENSP00000370542	9606.ENSP00000260130	0	0	0	0	0	0.270	0.900	0.989	0.999
SDC1	THBS1	9606.ENSP00000370542	9606.ENSP00000260356	0	0	0	0	0.096	0	0.600	0.935	0.974
SDC1	XYLT1	9606.ENSP00000370542	9606.ENSP00000261381	0	0	0	0	0	0.800	0.900	0.221	0.983
SDC1	TIAM1	9606.ENSP00000370542	9606.ENSP00000286827	0	0	0	0	0	0.653	0	0.907	0.966
SDC1	VEGFA	9606.ENSP00000370542	9606.ENSP00000478570	0	0	0	0	0.076	0	0	0.965	0.967
THBS1	VEGFA	9606.ENSP00000260356	9606.ENSP00000478570	0	0	0	0	0	0.270	0	0.895	0.920
