Gene,Accession,Chromosome,End,Start,Strand
WASH7P,ENSG00000227232,1,29570,14404,-
MIR6859-1,ENSG00000278267,1,17436,17369,-
FAM138A,ENSG00000237613,1,36081,34554,-
AL627309.1,ENSG00000238009,1,133723,89295,-
AL627309.3,ENSG00000239945,1,91105,89551,-
AL627309.6,ENSG00000268903,1,135895,135141,-
AL627309.7,ENSG00000269981,1,137965,137682,-
AL627309.2,ENSG00000239906,1,140339,139790,-
AL627309.5,ENSG00000241860,1,173862,141474,-
RNU6-1100P,ENSG00000222623,1,157887,157784,-
WASH9P,ENSG00000279457,1,195411,185217,-
MIR6859-2,ENSG00000273874,1,187958,187891,-
AP006222.1,ENSG00000228463,1,359681,257864,-
RPL23AP24,ENSG00000236679,1,348366,347982,-
AL732372.2,ENSG00000237094,1,522928,365389,-
OR4F29,ENSG00000284733,1,451697,450703,-
AL732372.3,ENSG00000250575,1,493241,491225,-
U6,ENSG00000278757,1,516479,516376,-
AL669831.3,ENSG00000230021,1,827796,586071,-
AC114498.2,ENSG00000278791,1,632413,632325,-
OR4F16,ENSG00000284662,1,686673,685679,-
AL669831.1,ENSG00000228327,1,778626,725885,-
RNU6-1199P,ENSG00000223181,1,758336,758233,-
AL669831.4,ENSG00000230092,1,817712,800879,-
LINC00115,ENSG00000225880,1,827522,826206,-
FAM41C,ENSG00000230368,1,876903,868071,-
AL669831.5,ENSG00000283040,1,877234,874529,-
LINC02593,ENSG00000223764,1,921016,916865,-
NOC2L,ENSG00000188976,1,959309,944203,-
PERM1,ENSG00000187642,1,982093,975204,-
AL645608.7,ENSG00000272512,1,998051,995966,-
HES4,ENSG00000188290,1,1000172,998962,-
AL645608.3,ENSG00000231702,1,1008229,1008076,-
AL645608.1,ENSG00000224969,1,1013193,1011997,-
AL645608.8,ENSG00000273443,1,1063288,1062208,-
RNF223,ENSG00000237330,1,1074306,1070967,-
C1orf159,ENSG00000131591,1,1116361,1081818,-
TTLL10-AS1,ENSG00000205231,1,1179555,1173056,-
TNFRSF18,ENSG00000186891,1,1206592,1203508,-
TNFRSF4,ENSG00000186827,1,1214153,1211340,-
SDF4,ENSG00000078808,1,1232067,1216908,-
C1QTNF12,ENSG00000184163,1,1246722,1242446,-
AL162741.1,ENSG00000260179,1,1251334,1249777,-
UBE2J2,ENSG00000160087,1,1273885,1253909,-
ACAP3,ENSG00000131584,1,1309609,1292390,-
MIR6726,ENSG00000278073,1,1296170,1296110,-
INTS11,ENSG00000127054,1,1324691,1311585,-
MIR6727,ENSG00000283712,1,1312566,1312502,-
AL139287.1,ENSG00000240731,1,1318689,1317581,-
DVL1,ENSG00000107404,1,1349418,1335276,-
MIR6808,ENSG00000284372,1,1339708,1339650,-
MXRA8,ENSG00000162576,1,1361777,1352689,-
