Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr,means,dispersions,dispersions_norm,highly_variable,velocity_gamma,velocity_qreg_ratio,velocity_r2,velocity_genes
C1orf159,ENSG00000131591,1,1116361,1081818,-,-0.0091,2.894626,6.402927,1.0180952008951318,True,0.07591879,0.07591879,-0.26881515979766846,False
MORN1,ENSG00000116151,1,2391707,2321253,-,-0.0565,1.563358,6.5264945,1.4913482670423512,True,0.3136361,0.3136361,-0.18068957328796387,False
PLEKHG5,ENSG00000171680,1,6520061,6466092,-,0.0176,0.8380349,5.566196,1.25075054736101,True,0.08957361,0.08957361,0.6582643389701843,True
NOL9,ENSG00000162408,1,6554513,6521347,-,-0.1339,4.01638,6.5988336,0.9176279246006044,True,0.17135786,0.17135786,-0.33703291416168213,False
SLC2A5,ENSG00000142583,1,9088478,9035106,-,-0.0304,3.5718021,6.8707595,1.2647615947631718,True,0.0055186003,0.0055186003,-0.3118501901626587,False
KIAA2013,ENSG00000116685,1,11926428,11919591,-,-0.0142,4.0954313,6.6855836,0.9797857758120156,True,0.025906255,0.025906255,-0.925849199295044,False
CASP9,ENSG00000132906,1,15526534,15490832,-,-0.0558,3.5827115,6.9618554,1.381052317780685,True,0.033656944,0.033656944,-0.34094059467315674,False
ZBTB17,ENSG00000116809,1,15976132,15941869,-,-0.0345,3.8979223,6.5983176,0.9169692916177788,True,0.36208138,0.36208138,-4.82944393157959,False
FBXO42,ENSG00000037637,1,16352480,16246840,-,0.0004,4.1696835,6.8416753,1.1873293005155403,True,0.11439641,0.11439641,-0.8806012868881226,False
CROCCP3,ENSG00000080947,1,16499257,16467436,-,-0.0223,0.8028462,5.517012,1.1942312565061366,True,1.0726824,1.0726824,-0.14645671844482422,False
RCC2,ENSG00000179051,1,17439677,17406760,-,-0.0212,3.0499425,6.458652,1.0823379229191126,True,0.311947,0.311947,-0.19249498844146729,False
TMCO4,ENSG00000162542,1,19799945,19682213,-,-0.0479,3.040758,6.380459,0.9921928458580979,True,0.62224543,0.62224543,-0.3040599822998047,False
MUL1,ENSG00000090432,1,20508151,20499448,-,0.0058,5.0987773,7.0678163,1.1076491944030407,True,0.0013595467,0.0013595467,-3.9126195907592773,False
HSPG2,ENSG00000142798,1,21937310,21822244,-,-0.0719,2.0396183,7.103046,1.926003510814676,True,0.07248235,0.07248235,-0.4455763101577759,False
ZNF436,ENSG00000125945,1,23369836,23359448,-,-0.1182,2.2491634,6.711564,1.4939782565591393,True,0.0012762843,0.0012762843,-0.21458959579467773,False
ID3,ENSG00000117318,1,23559501,23557926,-,-0.323,4.2479286,7.0088315,1.409584508037413,True,2.7343547e-05,2.7343547e-05,-0.4463984966278076,False
FUCA1,ENSG00000179163,1,23868294,23845077,-,-0.1412,3.8389668,6.947194,1.362336062399044,True,0.032207895,0.032207895,0.558221697807312,True
CNR2,ENSG00000188822,1,23913362,23870515,-,-0.2409,4.681898,8.182911,2.4645167866208175,True,0.056147423,0.056147423,0.5798493921756744,True
IFNLR1,ENSG00000185436,1,24187959,24154168,-,-0.1401,3.6709595,7.202546,1.6883119088859657,True,0.21095647,0.21095647,-0.3651905059814453,False
STPG1,ENSG00000001460,1,24416934,24356999,-,-0.0385,1.4441657,5.960774,1.2263930634736147,True,0.14274734,0.14274734,-0.23630106449127197,False
RUNX3,ENSG00000020633,1,24965121,24899511,-,-0.1217,3.3139756,7.1061344,1.6837915467963478,True,0.6203251,0.6203251,-1.0570857524871826,False
PAQR7,ENSG00000182749,1,25871253,25861210,-,-0.0581,1.4057164,6.0006566,1.2712453286727752,True,0.012202346,0.012202346,-0.13968217372894287,False
PAFAH2,ENSG00000158006,1,25998117,25959767,-,-0.0871,3.228354,6.8225245,1.3319651812025646,True,0.20834541,0.20834541,0.43286681175231934,True
UBXN11,ENSG00000158062,1,26318363,26281328,-,-0.2084,4.265258,6.971144,1.3594745027266495,True,0.041086897,0.041086897,-0.6018377542495728,False
CRYBG2,ENSG00000176092,1,26360080,26321698,-,-0.0795,1.8210571,7.011138,2.0302717057412885,True,0.9429937,0.9429937,0.21486741304397583,True
KDF1,ENSG00000175707,1,26960468,26949562,-,-0.0924,2.2258234,6.67301,1.4514312437106427,True,0.35529694,0.35529694,-0.22388160228729248,False
SLC9A1,ENSG00000090020,1,27166981,27098809,-,-0.0995,2.6231296,7.205043,1.9428151577435828,True,0.030642591,0.030642591,-0.7242636680603027,False
FGR,ENSG00000000938,1,27635185,27612064,-,-0.0988,3.7588608,7.5012827,2.0696713628677075,True,0.008493909,0.008493909,-0.3769761323928833,False
IFI6,ENSG00000126709,1,27672198,27666064,-,-0.1723,5.89671,7.6429095,1.1177100309025572,True,0.0044683693,0.0044683693,-0.0626518726348877,False
PTAFR,ENSG00000169403,1,28193936,28147166,-,-0.1546,4.8449755,7.6127872,1.7737656311892556,True,0.06796319,0.06796319,-0.2482435703277588,False
MTMR9LP,ENSG00000220785,1,32241620,32231658,-,-0.0847,2.4568176,7.94864,2.8591704192884695,True,0.10998106,0.10998106,0.025941789150238037,True
