#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BIRC2	NFKBIA	9606.ENSP00000477613	9606.ENSP00000216797	0	0	0	0	0.065	0.146	0	0.737	0.772
BIRC2	TRAF2	9606.ENSP00000477613	9606.ENSP00000247668	0	0	0	0	0.062	0.918	0.900	0.988	0.999
BIRC2	TRAF5	9606.ENSP00000477613	9606.ENSP00000261464	0	0	0	0	0	0.077	0.800	0.970	0.994
BIRC2	BIRC3	9606.ENSP00000477613	9606.ENSP00000263464	0	0	0	0.976	0.143	0.270	0.900	0.909	0.933
BIRC2	CD40LG	9606.ENSP00000477613	9606.ENSP00000359663	0	0	0	0	0	0.270	0.900	0.391	0.951
BIRC2	CD40	9606.ENSP00000477613	9606.ENSP00000361359	0	0	0	0	0.064	0.719	0.900	0.725	0.991
BIRC2	TRAF1	9606.ENSP00000477613	9606.ENSP00000362994	0	0	0	0	0.065	0.883	0.900	0.988	0.999
BIRC2	MAP3K1	9606.ENSP00000477613	9606.ENSP00000382423	0	0	0	0	0	0.348	0	0.640	0.755
BIRC2	RELA	9606.ENSP00000477613	9606.ENSP00000384273	0	0	0	0	0	0.486	0.900	0.610	0.978
BIRC2	TRAF6	9606.ENSP00000477613	9606.ENSP00000433623	0	0	0	0	0.049	0.505	0.540	0.916	0.979
BIRC2	TRAF3	9606.ENSP00000477613	9606.ENSP00000454207	0	0	0	0	0	0.713	0.900	0.988	0.999
BIRC3	NFKBIA	9606.ENSP00000263464	9606.ENSP00000216797	0	0	0	0	0.160	0.061	0	0.724	0.763
BIRC3	TRAF2	9606.ENSP00000263464	9606.ENSP00000247668	0	0	0	0	0.062	0.984	0.900	0.910	0.999
BIRC3	TRAF5	9606.ENSP00000263464	9606.ENSP00000261464	0	0	0	0	0.062	0.077	0.800	0.873	0.975
BIRC3	MAP3K1	9606.ENSP00000263464	9606.ENSP00000382423	0	0	0	0	0	0.542	0	0.644	0.829
BIRC3	CD40LG	9606.ENSP00000263464	9606.ENSP00000359663	0	0	0	0	0.075	0.270	0.900	0.311	0.947
BIRC3	CD40	9606.ENSP00000263464	9606.ENSP00000361359	0	0	0	0	0.108	0.621	0.900	0.567	0.983
BIRC3	RELA	9606.ENSP00000263464	9606.ENSP00000384273	0	0	0	0	0	0.675	0.900	0.573	0.984
BIRC3	TRAF6	9606.ENSP00000263464	9606.ENSP00000433623	0	0	0	0	0.049	0.841	0.500	0.844	0.986
BIRC3	TRAF3	9606.ENSP00000263464	9606.ENSP00000454207	0	0	0	0	0	0.720	0.900	0.958	0.998
BIRC3	TRAF1	9606.ENSP00000263464	9606.ENSP00000362994	0	0	0	0	0.199	0.974	0.900	0.986	0.999
C4B	CD40	9606.ENSP00000415941	9606.ENSP00000361359	0	0	0	0	0.049	0	0	0.970	0.970
CD4	CD40LG	9606.ENSP00000011653	9606.ENSP00000359663	0	0	0	0	0.277	0.056	0	0.873	0.906
CD4	IL4	9606.ENSP00000011653	9606.ENSP00000231449	0	0	0	0	0	0	0	0.923	0.923
CD4	CD40	9606.ENSP00000011653	9606.ENSP00000361359	0	0	0	0	0.082	0	0	0.987	0.988
CD40	NFKBIA	9606.ENSP00000361359	9606.ENSP00000216797	0	0	0	0	0.083	0	0.900	0.761	0.976
CD40	RELB	9606.ENSP00000361359	9606.ENSP00000221452	0	0	0	0	0.092	0	0	0.987	0.988
CD40	IL4	9606.ENSP00000361359	9606.ENSP00000231449	0	0	0	0	0	0	0	0.969	0.969
CD40	TRAF2	9606.ENSP00000361359	9606.ENSP00000247668	0	0	0	0	0.084	0.978	0.900	0.985	0.999
CD40	TRAF5	9606.ENSP00000361359	9606.ENSP00000261464	0	0	0	0	0.062	0.876	0.540	0.980	0.998
