Gene,Accession,Chromosome,End,Start,Strand
NOC2L,ENSG00000188976,1,959309,944203,-
AURKAIP1,ENSG00000175756,1,1375495,1373730,-
CCNL2,ENSG00000221978,1,1399335,1385711,-
MRPL20,ENSG00000242485,1,1407293,1401909,-
SSU72,ENSG00000160075,1,1574863,1541673,-
NADK,ENSG00000008130,1,1780457,1751232,-
GNB1,ENSG00000078369,1,1891117,1785285,-
RPL22,ENSG00000116251,1,6209389,6185020,-
ENO1,ENSG00000074800,1,8879190,8861000,-
DFFA,ENSG00000160049,1,10472529,10456522,-
MTOR,ENSG00000198793,1,11262551,11106535,-
NBPF1,ENSG00000219481,1,16613562,16562319,-
CAPZB,ENSG00000077549,1,19485539,19338775,-
DDOST,ENSG00000244038,1,20661544,20651767,-
ECE1,ENSG00000117298,1,21345572,21217247,-
HNRNPR,ENSG00000125944,1,23344336,23303771,-
RUNX3,ENSG00000020633,1,24965121,24899511,-
RSRP1,ENSG00000117616,1,25338213,25242249,-
WASF2,ENSG00000158195,1,27490167,27404230,-
DNAJC8,ENSG00000126698,1,28233029,28199456,-
SNHG12,ENSG00000197989,1,28583132,28578538,-
TAF12,ENSG00000120656,1,28643085,28589323,-
SRSF4,ENSG00000116350,1,29181900,29147743,-
MECR,ENSG00000116353,1,29230942,29192657,-
PUM1,ENSG00000134644,1,31065991,30931506,-
SNRNP40,ENSG00000060688,1,31296788,31259568,-
YARS,ENSG00000134684,1,32818153,32775237,-
BMP8B,ENSG00000116985,1,39788865,39757182,-
PTCH2,ENSG00000117425,1,44843253,44819844,-
CCDC163,ENSG00000280670,1,45500079,45493866,-
GPBP1L1,ENSG00000159592,1,45688113,45627304,-
EPS15,ENSG00000085832,1,51519266,51354263,-
TUT4,ENSG00000134744,1,52553487,52408282,-
TMEM59,ENSG00000116209,1,54053504,54026681,-
USP24,ENSG00000162402,1,55215364,55066359,-
TM2D1,ENSG00000162604,1,61725423,61681046,-
ZRANB2,ENSG00000132485,1,71081289,71063291,-
CRYZ,ENSG00000116791,1,74733408,74705482,-
COL24A1,ENSG00000171502,1,86156943,85729233,-
GTF2B,ENSG00000137947,1,88891944,88852633,-
GBP3,ENSG00000117226,1,89022894,89006679,-
DIPK1A,ENSG00000154511,1,92961522,92832737,-
TMED5,ENSG00000117500,1,93180516,93149742,-
CCDC18-AS1,ENSG00000223745,1,93346025,93262186,-
ALG14,ENSG00000172339,1,95072951,94974405,-
PSMA5,ENSG00000143106,1,109426448,109399042,-
KCNA2,ENSG00000177301,1,110631474,110519837,-
DENND2D,ENSG00000162777,1,111204535,111185969,-
SLC16A1,ENSG00000155380,1,112957013,112911847,-
WARS2,ENSG00000116874,1,119140671,119031216,-
NOTCH2,ENSG00000134250,1,120100779,119911553,-
NBPF15,ENSG00000266338,1,144461674,144421386,-
PIAS3,ENSG00000131788,1,145859836,145848522,-
ENSA,ENSG00000143420,1,150629612,150600851,-
MRPL9,ENSG00000143436,1,151763496,151759647,-
S100A4,ENSG00000196154,1,153550136,153543613,-
ILF2,ENSG00000143621,1,153671028,153661788,-
GATAD2B,ENSG00000143614,1,153923360,153789030,-
CRTC2,ENSG00000160741,1,153958615,153947669,-
C1orf43,ENSG00000143612,1,154220637,154206696,-
KCNN3,ENSG00000143603,1,154870281,154697455,-
PMVK,ENSG00000163344,1,154936719,154924740,-
SHC1,ENSG00000160691,1,154974395,154962298,-
SCAMP3,ENSG00000116521,1,155262430,155255979,-
GPATCH4,ENSG00000160818,1,156601496,156594487,-
FCRL5,ENSG00000143297,1,157552515,157513377,-
FCRL1,ENSG00000163534,1,157820120,157794403,-
TAGLN2,ENSG00000158710,1,159925732,159918107,-
COPA,ENSG00000122218,1,160343273,160288594,-
VAMP4,ENSG00000117533,1,171742074,171700160,-
AL645568.1,ENSG00000203739,1,173489407,173417793,-
RC3H1,ENSG00000135870,1,174022297,173931214,-
RGS16,ENSG00000143333,1,182604389,182598623,-
ARPC5,ENSG00000162704,1,183635783,183620846,-
TPR,ENSG00000047410,1,186375693,186311652,-
UCHL5,ENSG00000116750,1,193060080,193012250,-
DENND1B,ENSG00000213047,1,197775696,197504748,-
PTPN7,ENSG00000143851,1,202161588,202147013,-
ADIPOR1,ENSG00000159346,1,202958572,202940826,-
CYB5R1,ENSG00000159348,1,202967275,202961873,-
FCMR,ENSG00000162894,1,206923247,206903317,-
BPNT1,ENSG00000162813,1,220090462,220057482,-
RAB3GAP2,ENSG00000118873,1,220272453,220148293,-
NVL,ENSG00000143748,1,224330189,224227334,-
LBR,ENSG00000143815,1,225428925,225401502,-
LIN9,ENSG00000183814,1,226309869,226231149,-
PCNX2,ENSG00000135749,1,233295725,232983435,-
B3GALNT2,ENSG00000162885,1,235504452,235447190,-
LYST,ENSG00000143669,1,235883640,235661041,-
HEATR1,ENSG00000119285,1,236604516,236549005,-
ATAD3B,ENSG00000160072,1,1497848,1471765,+
RER1,ENSG00000157916,1,2405442,2391775,+
THAP3,ENSG00000041988,1,6635586,6624866,+
CAMTA1,ENSG00000171735,1,7769706,6785454,+
MFN2,ENSG00000116688,1,12013514,11980181,+
PRDM2,ENSG00000116731,1,13825079,13700198,+
ZBTB40,ENSG00000184677,1,22531157,22428838,+
RPL11,ENSG00000142676,1,23696835,23691742,+
CLIC4,ENSG00000169504,1,24844321,24745382,+
DHDDS,ENSG00000117682,1,26471306,26432282,+
ARID1A,ENSG00000117713,1,26782104,26693236,+
NUDC,ENSG00000090273,1,26946871,26900238,+
ATP5IF1,ENSG00000130770,1,28246906,28236109,+
SESN2,ENSG00000130766,1,28282491,28259518,+
EPB41,ENSG00000159023,1,29120046,28887091,+
KHDRBS1,ENSG00000121774,1,32060850,32013868,+
CCDC28B,ENSG00000160050,1,32205387,32200386,+
EIF3I,ENSG00000084623,1,32231604,32221928,+
HDAC1,ENSG00000116478,1,32333635,32292083,+
THRAP3,ENSG00000054118,1,36305357,36224432,+
UTP11,ENSG00000183520,1,38024820,38009258,+
MACF1,ENSG00000127603,1,39487177,39081316,+
AL033527.4,ENSG00000284719,1,39809450,39799422,+
CAP1,ENSG00000131236,1,40072649,40040233,+
SMAP2,ENSG00000084070,1,40423326,40344850,+
CTPS1,ENSG00000171793,1,41012565,40979688,+
CDC20,ENSG00000117399,1,43363203,43358981,+
UQCRH,ENSG00000173660,1,46316776,46303698,+
MRPL37,ENSG00000116221,1,54225464,54184041,+
ACADM,ENSG00000117054,1,75787575,75724347,+
LINC01781,ENSG00000234184,1,80646791,80535755,+
RPF1,ENSG00000117133,1,84498352,84479259,+
AL078459.1,ENSG00000223653,1,85448124,85276388,+
ZNF326,ENSG00000162664,1,90035533,89995110,+
DR1,ENSG00000117505,1,93369493,93345907,+
RTCA,ENSG00000137996,1,100292769,100266207,+
SARS,ENSG00000031698,1,109238182,109213918,+
STRIP1,ENSG00000143093,1,110074641,110031577,+
CD53,ENSG00000143119,1,110899922,110871188,+
MAN1A2,ENSG00000198162,1,117528872,117367449,+
TENT5C,ENSG00000183508,1,117628389,117606048,+
PHGDH,ENSG00000092621,1,119744226,119648411,+
NBPF12,ENSG00000268043,1,146996202,146938744,+
RPRD2,ENSG00000163125,1,150476566,150363091,+
UBAP2L,ENSG00000143569,1,154271510,154220179,+
ATP8B2,ENSG00000143515,1,154351304,154325553,+
SLC50A1,ENSG00000169241,1,155138857,155135344,+
DAP3,ENSG00000132676,1,155739010,155687960,+
SEMA4A,ENSG00000196189,1,156177752,156147366,+
SLC25A44,ENSG00000160785,1,156212796,156193932,+
IFI16,ENSG00000163565,1,159055155,158999968,+
AL592295.4,ENSG00000283696,1,161422424,161399409,+
ATF6,ENSG00000118217,1,161964070,161766320,+
UAP1,ENSG00000117143,1,162599842,162561506,+
RCSD1,ENSG00000198771,1,167708696,167630093,+
DCAF6,ENSG00000143164,1,168075843,167935783,+
SFT2D2,ENSG00000213064,1,168253021,168225938,+
EEF1AKNMT,ENSG00000010165,1,171814023,171781660,+
SUCO,ENSG00000094975,1,172611833,172532349,+
RALGPS2,ENSG00000116191,1,178921841,178725147,+
TOR3A,ENSG00000186283,1,179098023,179082070,+
SMG7,ENSG00000116698,1,183598246,183472216,+
RGL1,ENSG00000143344,1,183928531,183636085,+
PTPRC,ENSG00000081237,1,198757476,198638457,+
IPO9,ENSG00000198700,1,201884291,201829149,+
TIMM17A,ENSG00000134375,1,201970664,201955503,+
RNPEP,ENSG00000176393,1,202006147,201982372,+
TMEM183A,ENSG00000163444,1,203024848,203007374,+
LAX1,ENSG00000122188,1,203776372,203765177,+
MDM4,ENSG00000198625,1,204558120,204516379,+
AL512306.3,ENSG00000240710,1,204616565,204603035,+
SRGAP2,ENSG00000266028,1,206464443,206203345,+
CR1,ENSG00000203710,1,207641765,207496147,+
TRAF3IP3,ENSG00000009790,1,209782320,209756032,+
DTL,ENSG00000143476,1,212107400,212035553,+
MIA3,ENSG00000154305,1,222668007,222618097,+
H3F3A,ENSG00000163041,1,226072007,226061851,+
ARF1,ENSG00000143761,1,228099212,228082660,+
GUK1,ENSG00000143774,1,228148984,228139962,+
GALNT2,ENSG00000143641,1,230282122,230057990,+
GDI2,ENSG00000057608,10,5842132,5765223,-
IL15RA,ENSG00000134470,10,5978187,5943639,-
LINC02642,ENSG00000232591,10,7472040,7444340,-
UPF2,ENSG00000151461,10,12043170,11920022,-
FRMD4A,ENSG00000151474,10,14462142,13643706,-
DNAJC1,ENSG00000136770,10,22003769,21756548,-
ABI1,ENSG00000136754,10,26861087,26746593,-
YME1L1,ENSG00000136758,10,27155266,27110112,-
MTPAP,ENSG00000107951,10,30374448,30309801,-
ZNF438,ENSG00000183621,10,31031937,30820207,-
KIF5B,ENSG00000170759,10,32056425,32009015,-
CUL2,ENSG00000108094,10,35090642,35008551,-
ZNF37BP,ENSG00000234420,10,42552822,42513510,-
CCDC6,ENSG00000108091,10,59906556,59788747,-
JMJD1C,ENSG00000171988,10,63521850,63167221,-
ANXA7,ENSG00000138279,10,73414076,73375101,-
KCNMA1,ENSG00000156113,10,77638369,76869601,-
IDE,ENSG00000119912,10,92574093,92451684,-
FRA10AC1,ENSG00000148690,10,93702592,93667883,-
BLNK,ENSG00000095585,10,96271587,96191702,-
TM9SF3,ENSG00000077147,10,96587452,96518110,-
RRP12,ENSG00000052749,10,97426076,97356358,-
MMS19,ENSG00000155229,10,97498794,97458324,-
SLC25A28,ENSG00000155287,10,99620609,99610522,-
ACTR1A,ENSG00000138107,10,102502712,102461881,-
IKZF5,ENSG00000095574,10,123008817,122990806,-
ADAM8,ENSG00000151651,10,133276868,133262420,-
TASOR2,ENSG00000108021,10,5763740,5684838,+
TAF3,ENSG00000165632,10,8016631,7818505,+
CDC123,ENSG00000151465,10,12250589,12195965,+
VIM,ENSG00000026025,10,17237593,17228241,+
APBB1IP,ENSG00000077420,10,26567803,26438341,+
WAC,ENSG00000095787,10,28623112,28532493,+
MAP3K8,ENSG00000107968,10,30461833,30434021,+
HSD17B7P2,ENSG00000099251,10,38378505,38356380,+
TIMM23,ENSG00000265354,10,46003742,45972489,+
WDFY4,ENSG00000128815,10,48982956,48684876,+
ARID5B,ENSG00000150347,10,62096944,61901684,+
NRBF2,ENSG00000148572,10,63155031,63133247,+
ANAPC16,ENSG00000166295,10,72235860,72216000,+
VDAC2,ENSG00000165637,10,75231448,75210154,+
GHITM,ENSG00000165678,10,84153568,84139509,+
BTAF1,ENSG00000095564,10,92030325,91923770,+
MARCH5,ENSG00000198060,10,92353964,92291167,+
EXOC6,ENSG00000138190,10,93059493,92826831,+
HELLS,ENSG00000119969,10,94613905,94501434,+
LCOR,ENSG00000196233,10,96995959,96832282,+
ZFYVE27,ENSG00000155256,10,97760907,97737121,+
R3HCC1L,ENSG00000166024,10,98244897,98134624,+
CUTC,ENSG00000119929,10,99756134,99702558,+
GBF1,ENSG00000107862,10,102382899,102245532,+
SFXN2,ENSG00000156398,10,102743492,102714538,+
LHPP,ENSG00000107902,10,124617888,124461823,+
GLRX3,ENSG00000108010,10,130184521,130136391,+
BET1L,ENSG00000177951,11,207428,167784,-
RNH1,ENSG00000023191,11,507300,494512,-
NUP98,ENSG00000110713,11,3797792,3671083,-
GVINP1,ENSG00000254838,11,6746439,6713536,-
EIF4G2,ENSG00000110321,11,10808940,10797050,-
ZBED5,ENSG00000236287,11,10858796,10812074,-
COMMD9,ENSG00000110442,11,36289449,36269284,-
HARBI1,ENSG00000180423,11,46617909,46602861,-
FNBP4,ENSG00000109920,11,47767443,47716494,-
FADS3,ENSG00000221968,11,61892051,61873519,-
STX5,ENSG00000162236,11,62832051,62806860,-
SYVN1,ENSG00000162298,11,65134533,65121780,-
YIF1A,ENSG00000174851,11,66289145,66284580,-
ACY3,ENSG00000132744,11,67650730,67642555,-
ARAP1,ENSG00000186635,11,72793599,72685069,-
FCHSD2,ENSG00000137478,11,73142318,72836745,-
RAB6A,ENSG00000175582,11,73761137,73675638,-
UCP2,ENSG00000175567,11,73983246,73974672,-
CLNS1A,ENSG00000074201,11,77637794,77514936,-
RAB30,ENSG00000137502,11,83071923,82973133,-
CWC15,ENSG00000150316,11,94973586,94962620,-
SLC35F2,ENSG00000110660,11,107928293,107790991,-
C11orf65,ENSG00000166323,11,108467531,108308519,-
ZW10,ENSG00000086827,11,113773735,113733187,-
CADM1,ENSG00000182985,11,115504957,115169218,-
PCSK7,ENSG00000160613,11,117232525,117204337,-
DDX6,ENSG00000110367,11,118791164,118747763,-
DPAGT1,ENSG00000172269,11,119108331,119096503,-
SRPRA,ENSG00000182934,11,126269144,126262938,-
NFRKB,ENSG00000170322,11,129895590,129863636,-
DNHD1,ENSG00000179532,11,6593758,6497260,+
