#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AKT1	PDGFRB	9606.ENSP00000451828	9606.ENSP00000261799	0	0	0	0.554	0.062	0.122	0.900	0.691	0.937
AKT1	GNAO1	9606.ENSP00000451828	9606.ENSP00000262494	0	0	0	0	0.053	0.159	0.900	0.328	0.939
AKT1	MAPK3	9606.ENSP00000451828	9606.ENSP00000263025	0	0	0.323	0.586	0.066	0.148	0.800	0.938	0.906
AKT1	STAT3	9606.ENSP00000451828	9606.ENSP00000264657	0	0	0	0	0	0.140	0.900	0.875	0.988
AKT1	S1PR1	9606.ENSP00000451828	9606.ENSP00000305416	0	0	0	0	0	0.226	0.900	0.575	0.964
AKT1	GNAI2	9606.ENSP00000451828	9606.ENSP00000312999	0	0	0	0	0.117	0.159	0.900	0.332	0.943
AKT1	PDGFB	9606.ENSP00000451828	9606.ENSP00000330382	0	0	0	0	0	0	0.900	0.544	0.952
AKT1	LCK	9606.ENSP00000451828	9606.ENSP00000337825	0	0	0.371	0.558	0.049	0	0.900	0.653	0.939
AKT1	GNAI1	9606.ENSP00000451828	9606.ENSP00000343027	0	0	0	0	0	0.159	0.900	0.195	0.926
AKT1	FYN	9606.ENSP00000451828	9606.ENSP00000346671	0	0	0.367	0.562	0.064	0.132	0.650	0.730	0.819
AKT1	RAC1	9606.ENSP00000451828	9606.ENSP00000348461	0	0	0	0	0.063	0.345	0.900	0.771	0.984
AKT1	GNAI3	9606.ENSP00000451828	9606.ENSP00000358867	0	0	0	0	0	0.159	0.900	0.168	0.923
AKT1	SRC	9606.ENSP00000451828	9606.ENSP00000362680	0	0	0.391	0.562	0.098	0.683	0.900	0.986	0.985
AKT1	RHOA	9606.ENSP00000451828	9606.ENSP00000400175	0	0	0	0	0.062	0.140	0.900	0.945	0.995
AKT1	LYN	9606.ENSP00000451828	9606.ENSP00000428924	0	0	0.385	0.560	0.049	0	0.650	0.690	0.794
CD69	S1PR1	9606.ENSP00000228434	9606.ENSP00000305416	0	0	0	0	0.065	0.345	0	0.983	0.988
FYN	PDGFRB	9606.ENSP00000346671	9606.ENSP00000261799	0	0	0	0.653	0	0.785	0.900	0.450	0.980
FYN	STAT3	9606.ENSP00000346671	9606.ENSP00000264657	0	0	0	0	0	0.345	0.900	0.523	0.966
FYN	S1PR1	9606.ENSP00000346671	9606.ENSP00000305416	0	0	0	0	0.076	0.124	0.900	0.168	0.923
FYN	GNAI2	9606.ENSP00000346671	9606.ENSP00000312999	0	0	0	0	0.062	0.159	0.900	0.144	0.923
FYN	PDGFB	9606.ENSP00000346671	9606.ENSP00000330382	0	0	0	0	0	0	0.900	0.113	0.907
FYN	LCK	9606.ENSP00000346671	9606.ENSP00000337825	0	0	0.435	0.956	0.062	0.270	0.900	0.973	0.930
FYN	LYN	9606.ENSP00000346671	9606.ENSP00000428924	0	0	0.440	0.955	0	0	0.900	0.901	0.905
FYN	RAC1	9606.ENSP00000346671	9606.ENSP00000348461	0	0	0	0	0	0.140	0.900	0.462	0.949
FYN	RHOA	9606.ENSP00000346671	9606.ENSP00000400175	0	0	0	0	0.084	0.140	0.900	0.657	0.969
FYN	SRC	9606.ENSP00000346671	9606.ENSP00000362680	0	0	0.445	0.971	0	0.966	0.900	0.966	0.996
GNAI1	GNAO1	9606.ENSP00000343027	9606.ENSP00000262494	0	0	0	0.974	0.085	0.680	0.900	0.670	0.968
GNAI1	MAPK3	9606.ENSP00000343027	9606.ENSP00000263025	0	0	0	0	0.078	0.320	0.900	0.349	0.953
GNAI1	S1PR1	9606.ENSP00000343027	9606.ENSP00000305416	0	0	0	0	0	0.270	0.900	0.323	0.946
GNAI1	GNAI2	9606.ENSP00000343027	9606.ENSP00000312999	0	0	0	0.983	0	0.860	0.900	0.771	0.985
GNAI1	LCK	9606.ENSP00000343027	9606.ENSP00000337825	0	0	0	0	0	0.159	0.900	0.045	0.912
GNAI1	SRC	9606.ENSP00000343027	9606.ENSP00000362680	0	0	0	0	0.062	0.159	0.900	0.148	0.923
GNAI1	RHOA	9606.ENSP00000343027	9606.ENSP00000400175	0	0	0	0	0.067	0.247	0.900	0.236	0.939
GNAI1	RAC1	9606.ENSP00000343027	9606.ENSP00000348461	0	0	0	0	0	0.352	0.900	0.155	0.940
GNAI1	GNAI3	9606.ENSP00000343027	9606.ENSP00000358867	0	0	0	0.986	0	0.870	0.900	0.654	0.986
GNAI2	GNAO1	9606.ENSP00000312999	9606.ENSP00000262494	0	0	0	0.973	0	0.688	0.900	0.753	0.968
GNAI2	MAPK3	9606.ENSP00000312999	9606.ENSP00000263025	0	0	0	0	0.149	0.369	0.900	0.201	0.951
GNAI2	S1PR1	9606.ENSP00000312999	9606.ENSP00000305416	0	0	0	0	0.060	0	0.900	0.232	0.921
GNAI2	LCK	9606.ENSP00000312999	9606.ENSP00000337825	0	0	0	0	0	0.159	0.900	0.057	0.913
GNAI2	LYN	9606.ENSP00000312999	9606.ENSP00000428924	0	0	0	0	0.062	0.159	0.900	0.140	0.923
GNAI2	SRC	9606.ENSP00000312999	9606.ENSP00000362680	0	0	0	0	0.067	0.159	0.900	0.163	0.925
GNAI2	RAC1	9606.ENSP00000312999	9606.ENSP00000348461	0	0	0	0	0.046	0.352	0.900	0.182	0.942
GNAI2	RHOA	9606.ENSP00000312999	9606.ENSP00000400175	0	0	0	0	0.140	0.247	0.900	0.264	0.946
GNAI2	GNAI3	9606.ENSP00000312999	9606.ENSP00000358867	0	0	0	0.983	0.057	0.885	0.900	0.832	0.988
GNAI3	GNAO1	9606.ENSP00000358867	9606.ENSP00000262494	0	0	0	0.973	0.062	0.468	0.900	0.538	0.946
GNAI3	MAPK3	9606.ENSP00000358867	9606.ENSP00000263025	0	0	0	0	0.078	0.320	0.900	0.142	0.939
GNAI3	S1PR1	9606.ENSP00000358867	9606.ENSP00000305416	0	0	0	0	0	0.270	0.900	0.305	0.944
GNAI3	LCK	9606.ENSP00000358867	9606.ENSP00000337825	0	0	0	0	0	0.159	0.900	0.054	0.913
GNAI3	RAC1	9606.ENSP00000358867	9606.ENSP00000348461	0	0	0	0	0	0.352	0.900	0.152	0.940
GNAI3	SRC	9606.ENSP00000358867	9606.ENSP00000362680	0	0	0	0	0.062	0.159	0.900	0.111	0.920
GNAI3	RHOA	9606.ENSP00000358867	9606.ENSP00000400175	0	0	0	0	0.116	0.247	0.900	0.147	0.935
GNAO1	LCK	9606.ENSP00000262494	9606.ENSP00000337825	0	0	0	0	0	0.159	0.900	0.067	0.914
GNAO1	S1PR1	9606.ENSP00000262494	9606.ENSP00000305416	0	0	0	0	0	0	0.900	0.420	0.939
GNAO1	SRC	9606.ENSP00000262494	9606.ENSP00000362680	0	0	0	0	0.062	0.159	0.900	0.350	0.941
GNAO1	RAC1	9606.ENSP00000262494	9606.ENSP00000348461	0	0	0	0	0	0.352	0.900	0.196	0.943
GNAO1	MAPK3	9606.ENSP00000262494	9606.ENSP00000263025	0	0	0	0	0.078	0.247	0.900	0.322	0.946
GNAO1	RHOA	9606.ENSP00000262494	9606.ENSP00000400175	0	0	0	0	0.063	0.247	0.900	0.399	0.951
ICAM1	STAT3	9606.ENSP00000264832	9606.ENSP00000264657	0	0	0	0	0.085	0	0.900	0.627	0.962
ICAM1	IL23R	9606.ENSP00000264832	9606.ENSP00000321345	0	0	0	0	0	0	0.900	0.246	0.921
ICAM1	IL6R	9606.ENSP00000264832	9606.ENSP00000357470	0	0	0	0	0.072	0	0.900	0.468	0.946
ICAM1	S1PR1	9606.ENSP00000264832	9606.ENSP00000305416	0	0	0	0	0.062	0	0.900	0.510	0.950
IL23R	STAT3	9606.ENSP00000321345	9606.ENSP00000264657	0	0	0	0	0	0.213	0.900	0.741	0.977
IL23R	S1PR1	9606.ENSP00000321345	9606.ENSP00000305416	0	0	0	0	0	0	0.900	0.193	0.915
IL23R	IL6R	9606.ENSP00000321345	9606.ENSP00000357470	0	0	0	0	0	0	0.900	0.557	0.953
IL6R	MAPK3	9606.ENSP00000357470	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.339	0.931
IL6R	STAT3	9606.ENSP00000357470	9606.ENSP00000264657	0	0	0	0	0.062	0.270	0.900	0.832	0.986
IL6R	S1PR1	9606.ENSP00000357470	9606.ENSP00000305416	0	0	0	0	0.062	0	0.900	0.261	0.924
IL6R	SRC	9606.ENSP00000357470	9606.ENSP00000362680	0	0	0	0	0	0.213	0.800	0.315	0.882
LCK	PDGFRB	9606.ENSP00000337825	9606.ENSP00000261799	0	0	0	0.685	0	0.122	0.900	0.406	0.919
LCK	MAPK3	9606.ENSP00000337825	9606.ENSP00000263025	0	0	0.317	0.605	0	0.300	0.900	0.536	0.948
LCK	STAT3	9606.ENSP00000337825	9606.ENSP00000264657	0	0	0	0	0	0.710	0.900	0.615	0.987
LCK	S1PR1	9606.ENSP00000337825	9606.ENSP00000305416	0	0	0	0	0	0.069	0.900	0.275	0.926
LCK	PDGFB	9606.ENSP00000337825	9606.ENSP00000330382	0	0	0	0	0	0	0.900	0.114	0.907
LCK	SRC	9606.ENSP00000337825	9606.ENSP00000362680	0	0	0.438	0.953	0	0	0.900	0.923	0.906
LCK	LYN	9606.ENSP00000337825	9606.ENSP00000428924	0	0	0.438	0.967	0.078	0.270	0.900	0.804	0.929
LCK	RAC1	9606.ENSP00000337825	9606.ENSP00000348461	0	0	0	0	0.063	0.140	0.900	0.321	0.937
LCK	RHOA	9606.ENSP00000337825	9606.ENSP00000400175	0	0	0	0	0	0.140	0.900	0.391	0.943
LYN	PDGFRB	9606.ENSP00000428924	9606.ENSP00000261799	0	0	0	0.701	0	0.122	0.900	0.492	0.921
LYN	MAPK3	9606.ENSP00000428924	9606.ENSP00000263025	0	0	0.338	0.607	0	0.543	0.900	0.718	0.969
LYN	STAT3	9606.ENSP00000428924	9606.ENSP00000264657	0	0	0	0	0.062	0.539	0.900	0.633	0.982
LYN	S1PR1	9606.ENSP00000428924	9606.ENSP00000305416	0	0	0	0	0.062	0.069	0.900	0.150	0.915
LYN	SPHK1	9606.ENSP00000428924	9606.ENSP00000313681	0	0	0	0	0	0.225	0.900	0.931	0.994
