#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BCL6	CD4	9606.ENSP00000384371	9606.ENSP00000011653	0	0	0	0	0.071	0	0	0.751	0.758
BCL6	CXCR5	9606.ENSP00000384371	9606.ENSP00000292174	0	0	0	0	0	0.056	0	0.886	0.888
BCL6	CD19	9606.ENSP00000384371	9606.ENSP00000437940	0	0	0	0	0	0	0.900	0.685	0.967
CCL18	CXCR5	9606.ENSP00000479955	9606.ENSP00000292174	0	0	0	0	0.051	0	0.600	0.687	0.871
CCL18	CCL19	9606.ENSP00000479955	9606.ENSP00000308815	0	0	0	0	0.372	0	0	0.740	0.830
CCL18	CXCL9	9606.ENSP00000479955	9606.ENSP00000354901	0	0	0	0	0.350	0	0	0.627	0.747
CCL19	CD4	9606.ENSP00000308815	9606.ENSP00000011653	0	0	0	0	0.196	0	0	0.692	0.742
CCL19	CCL2	9606.ENSP00000308815	9606.ENSP00000225831	0	0	0	0	0.264	0	0.900	0.681	0.974
CCL19	CCL21	9606.ENSP00000308815	9606.ENSP00000259607	0	0	0	0.844	0.547	0	0.800	0.915	0.919
CCL19	CXCL13	9606.ENSP00000308815	9606.ENSP00000286758	0	0	0	0	0.423	0.213	0	0.898	0.950
CCL19	CXCR5	9606.ENSP00000308815	9606.ENSP00000292174	0	0	0	0	0.065	0	0.600	0.707	0.881
CCL19	CXCL10	9606.ENSP00000308815	9606.ENSP00000305651	0	0	0	0	0.189	0	0.600	0.703	0.895
CCL19	CCL4	9606.ENSP00000308815	9606.ENSP00000482259	0	0	0	0.793	0.174	0	0.600	0.697	0.704
CCL19	CCL25	9606.ENSP00000308815	9606.ENSP00000375086	0	0	0	0	0.096	0	0	0.719	0.736
CCL19	CXCL12	9606.ENSP00000308815	9606.ENSP00000379140	0	0	0	0	0.100	0	0	0.783	0.796
CCL19	CXCL9	9606.ENSP00000308815	9606.ENSP00000354901	0	0	0	0	0.552	0	0	0.713	0.866
CCL19	CCL20	9606.ENSP00000308815	9606.ENSP00000351671	0	0	0	0	0.085	0	0.600	0.718	0.888
CCL19	CCL3	9606.ENSP00000308815	9606.ENSP00000477908	0	0	0	0	0.109	0	0.900	0.702	0.971
CCL2	CD4	9606.ENSP00000225831	9606.ENSP00000011653	0	0	0	0	0.183	0	0	0.784	0.816
CCL2	CXCL13	9606.ENSP00000225831	9606.ENSP00000286758	0	0	0	0	0	0.280	0	0.700	0.775
CCL2	CXCR5	9606.ENSP00000225831	9606.ENSP00000292174	0	0	0	0	0	0.057	0.600	0.467	0.781
CCL2	CXCL12	9606.ENSP00000225831	9606.ENSP00000379140	0	0	0	0	0.097	0	0	0.808	0.819
CCL2	CXCL9	9606.ENSP00000225831	9606.ENSP00000354901	0	0	0	0	0.097	0.296	0	0.857	0.901
CCL2	CCL4	9606.ENSP00000225831	9606.ENSP00000482259	0	0	0	0.871	0.141	0	0.900	0.902	0.920
CCL2	CCL3	9606.ENSP00000225831	9606.ENSP00000477908	0	0	0	0.847	0.117	0	0.900	0.933	0.921
CCL2	CCL5	9606.ENSP00000225831	9606.ENSP00000474412	0	0	0	0.831	0.066	0.450	0.900	0.931	0.952
CCL2	CCL20	9606.ENSP00000225831	9606.ENSP00000351671	0	0	0	0	0.107	0	0.900	0.784	0.979
CCL2	CXCL10	9606.ENSP00000225831	9606.ENSP00000305651	0	0	0	0	0.160	0	0.900	0.910	0.991
CCL20	CD4	9606.ENSP00000351671	9606.ENSP00000011653	0	0	0	0	0	0	0	0.707	0.707
CCL20	CXCR5	9606.ENSP00000351671	9606.ENSP00000292174	0	0	0	0	0.062	0	0.600	0.654	0.859
CCL20	CXCL10	9606.ENSP00000351671	9606.ENSP00000305651	0	0	0	0	0.143	0	0.600	0.764	0.912
CCL20	CXCL12	9606.ENSP00000351671	9606.ENSP00000379140	0	0	0	0	0	0.195	0	0.686	0.737
CCL20	CXCL9	9606.ENSP00000351671	9606.ENSP00000354901	0	0	0	0	0.097	0	0	0.725	0.741
CCL20	CCL4	9606.ENSP00000351671	9606.ENSP00000482259	0	0	0	0	0.100	0	0.600	0.723	0.891
CCL20	CCL5	9606.ENSP00000351671	9606.ENSP00000474412	0	0	0	0	0.133	0.284	0.600	0.770	0.935
CCL20	CCL3	9606.ENSP00000351671	9606.ENSP00000477908	0	0	0	0	0.101	0	0.900	0.766	0.977
CCL21	CD4	9606.ENSP00000259607	9606.ENSP00000011653	0	0	0	0	0.089	0	0	0.697	0.713
CCL21	CCL25	9606.ENSP00000259607	9606.ENSP00000375086	0	0	0	0	0.078	0	0	0.720	0.731
CCL21	CCL5	9606.ENSP00000259607	9606.ENSP00000474412	0	0	0	0	0.062	0.237	0	0.681	0.751
CCL21	CXCL10	9606.ENSP00000259607	9606.ENSP00000305651	0	0	0	0	0.089	0.304	0	0.687	0.784
CCL21	CXCL9	9606.ENSP00000259607	9606.ENSP00000354901	0	0	0	0	0.198	0.307	0	0.687	0.811
CCL21	CXCL12	9606.ENSP00000259607	9606.ENSP00000379140	0	0	0	0	0.098	0.237	0	0.835	0.876
CCL21	CXCR5	9606.ENSP00000259607	9606.ENSP00000292174	0	0	0	0	0.062	0.056	0.600	0.718	0.886
CCL21	CXCL13	9606.ENSP00000259607	9606.ENSP00000286758	0	0	0	0	0.214	0.213	0	0.847	0.897
CCL25	CXCR5	9606.ENSP00000375086	9606.ENSP00000292174	0	0	0	0	0	0.056	0.600	0.470	0.782
CCL25	CXCL12	9606.ENSP00000375086	9606.ENSP00000379140	0	0	0	0	0	0.272	0	0.687	0.762
CCL27	CXCR5	9606.ENSP00000259631	9606.ENSP00000292174	0	0	0	0	0	0	0.600	0.500	0.791
CCL27	CCL28	9606.ENSP00000259631	9606.ENSP00000354416	0	0	0	0.823	0	0	0.800	0.571	0.819
CCL28	CXCR5	9606.ENSP00000354416	9606.ENSP00000292174	0	0	0	0	0	0	0.600	0.537	0.806
CCL3	CD4	9606.ENSP00000477908	9606.ENSP00000011653	0	0	0	0	0.124	0	0	0.770	0.790
CCL3	CXCL13	9606.ENSP00000477908	9606.ENSP00000286758	0	0	0	0	0.085	0	0	0.687	0.701
CCL3	CXCR5	9606.ENSP00000477908	9606.ENSP00000292174	0	0	0	0	0.062	0.270	0.600	0.505	0.846
CCL3	CXCL10	9606.ENSP00000477908	9606.ENSP00000305651	0	0	0	0	0.237	0	0.900	0.906	0.992
CCL3	CXCL9	9606.ENSP00000477908	9606.ENSP00000354901	0	0	0	0	0.159	0	0	0.870	0.886
CCL3	CXCL12	9606.ENSP00000477908	9606.ENSP00000379140	0	0	0	0	0	0	0	0.740	0.740
CCL3	CCL5	9606.ENSP00000477908	9606.ENSP00000474412	0	0	0	0.940	0.163	0	0.900	0.937	0.917
CCL3	CCL4	9606.ENSP00000477908	9606.ENSP00000482259	0	0	0	0.954	0.974	0.270	0.900	0.943	0.998
CCL4	CD4	9606.ENSP00000482259	9606.ENSP00000011653	0	0	0	0	0.174	0	0	0.767	0.799
CCL4	CXCR5	9606.ENSP00000482259	9606.ENSP00000292174	0	0	0	0	0.073	0.270	0.600	0.474	0.838
CCL4	CXCL10	9606.ENSP00000482259	9606.ENSP00000305651	0	0	0	0	0.317	0	0.600	0.893	0.968
CCL4	CXCL9	9606.ENSP00000482259	9606.ENSP00000354901	0	0	0	0	0.229	0	0	0.855	0.883
CCL4	CXCL12	9606.ENSP00000482259	9606.ENSP00000379140	0	0	0	0	0	0	0.900	0.689	0.967
