#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CAMLG	TNFRSF13B	9606.ENSP00000297156	9606.ENSP00000261652	0	0	0	0	0	0.684	0	0.988	0.996
CAMLG	TNFRSF13C	9606.ENSP00000297156	9606.ENSP00000291232	0	0	0	0	0	0	0	0.787	0.787
CAMLG	TNFSF13B	9606.ENSP00000297156	9606.ENSP00000365048	0	0	0	0	0	0	0	0.794	0.794
CD40	IL4	9606.ENSP00000361359	9606.ENSP00000231449	0	0	0	0	0	0	0	0.969	0.969
CD40	TRAF2	9606.ENSP00000361359	9606.ENSP00000247668	0	0	0	0	0.084	0.978	0.900	0.985	0.999
CD40	TRAF5	9606.ENSP00000361359	9606.ENSP00000261464	0	0	0	0	0.062	0.876	0.540	0.980	0.998
CD40	TNFRSF13B	9606.ENSP00000361359	9606.ENSP00000261652	0	0	0	0	0	0	0	0.729	0.729
CD40	TNFRSF13C	9606.ENSP00000361359	9606.ENSP00000291232	0	0	0	0	0.062	0	0.600	0.744	0.895
CD40	TNFSF12	9606.ENSP00000361359	9606.ENSP00000293825	0	0	0	0	0.066	0	0.600	0.325	0.725
CD40	IL17A	9606.ENSP00000361359	9606.ENSP00000344192	0	0	0	0	0	0	0	0.729	0.729
CD40	CD40LG	9606.ENSP00000361359	9606.ENSP00000359663	0	0	0	0	0.062	0.932	0.900	0.995	0.999
CD40	LTB	9606.ENSP00000361359	9606.ENSP00000410481	0	0	0	0	0.098	0	0.600	0.404	0.766
CD40	TNFSF11	9606.ENSP00000361359	9606.ENSP00000381775	0	0	0	0	0	0	0.600	0.561	0.817
CD40	TNFSF13B	9606.ENSP00000361359	9606.ENSP00000365048	0	0	0	0	0.062	0	0.600	0.839	0.934
CD40	TNF	9606.ENSP00000361359	9606.ENSP00000398698	0	0	0	0	0.161	0	0.600	0.864	0.950
CD40	TRAF6	9606.ENSP00000361359	9606.ENSP00000433623	0	0	0	0	0.062	0.918	0.900	0.989	0.999
CD40	TRAF3	9606.ENSP00000361359	9606.ENSP00000454207	0	0	0	0	0.062	0.983	0.900	0.990	0.999
CD40LG	LTBR	9606.ENSP00000359663	9606.ENSP00000228918	0	0	0	0	0	0	0.600	0.518	0.798
CD40LG	IL4	9606.ENSP00000359663	9606.ENSP00000231449	0	0	0	0	0	0	0	0.934	0.934
CD40LG	TRAF2	9606.ENSP00000359663	9606.ENSP00000247668	0	0	0	0	0	0.281	0.900	0.654	0.972
CD40LG	TNFRSF13C	9606.ENSP00000359663	9606.ENSP00000291232	0	0	0	0	0.082	0	0.600	0.676	0.870
CD40LG	TNFSF12	9606.ENSP00000359663	9606.ENSP00000293825	0	0	0	0	0	0	0.600	0.406	0.752
CD40LG	IL17A	9606.ENSP00000359663	9606.ENSP00000344192	0	0	0	0	0.062	0	0	0.760	0.766
CD40LG	TNFSF11	9606.ENSP00000359663	9606.ENSP00000381775	0	0	0	0.592	0.063	0	0.600	0.610	0.703
CD40LG	LTB	9606.ENSP00000359663	9606.ENSP00000410481	0	0	0	0	0.150	0	0.600	0.605	0.854
CD40LG	TNFSF13B	9606.ENSP00000359663	9606.ENSP00000365048	0	0	0	0	0.096	0	0.600	0.799	0.921
CD40LG	TNF	9606.ENSP00000359663	9606.ENSP00000398698	0	0	0	0	0.076	0	0.600	0.822	0.928
CD40LG	TRAF6	9606.ENSP00000359663	9606.ENSP00000433623	0	0	0	0	0.062	0.056	0.900	0.556	0.955
CD40LG	TRAF3	9606.ENSP00000359663	9606.ENSP00000454207	0	0	0	0	0	0.056	0.900	0.574	0.956
