Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr,means,dispersions,dispersions_norm,highly_variable
ACAP3,ENSG00000131584,1,1309609,1292390,-,-0.0047,3.2455025,7.046374,1.0328037457320487,True
MORN1,ENSG00000116151,1,2391707,2321253,-,-0.0541,2.2698379,7.654358,1.9074897999179836,True
PEX10,ENSG00000157911,1,2413797,2403964,-,-0.0495,3.5411563,7.060181,1.0501241929760992,True
MEGF6,ENSG00000162591,1,3611508,3487951,-,-0.0566,2.0112953,7.2047825,1.6715216942381248,True
SLC2A5,ENSG00000142583,1,9088478,9035106,-,-0.0329,3.640312,7.3658013,1.345598284243725,True
MTHFR,ENSG00000177000,1,11806920,11785723,-,-0.0273,2.1747985,6.7836514,0.9584725650010301,True
KIAA2013,ENSG00000116685,1,11926428,11919591,-,-0.0477,4.2693324,7.2015347,0.9547445173463411,True
DHRS3,ENSG00000162496,1,12618210,12567910,-,-0.0034,1.0904096,6.3476825,1.0912092598783534,True
CASP9,ENSG00000132906,1,15526534,15490832,-,-0.0912,3.9347548,7.2420607,1.1792126898377235,True
ZBTB17,ENSG00000116809,1,15976132,15941869,-,-0.0584,4.171335,7.6546535,1.550835057152319,True
FBXO42,ENSG00000037637,1,16352480,16246840,-,-0.0457,4.4755044,7.7550187,1.6828682532692745,True
CROCCP3,ENSG00000080947,1,16499257,16467436,-,-0.0454,1.416383,6.629366,1.3976017410670325,True
NBPF1,ENSG00000219481,1,16613562,16562319,-,-0.1187,3.0306382,7.0502825,1.2499656682205895,True
CROCCP2,ENSG00000215908,1,16657232,16618253,-,-0.0793,3.9682672,7.061121,0.9359155222438515,True
UBR4,ENSG00000127481,1,19210266,19074510,-,-0.0443,3.9156792,7.6052427,1.6675587020539304,True
TMCO4,ENSG00000162542,1,19799945,19682213,-,-0.0635,3.4465244,7.421814,1.5037714463757663,True
MUL1,ENSG00000090432,1,20508151,20499448,-,0.0532,4.9046254,7.362542,1.0033026027530456,True
EIF4G3,ENSG00000075151,1,21176888,20806292,-,-0.0716,3.554361,7.686122,1.8353303628246476,True
HSPG2,ENSG00000142798,1,21937310,21822244,-,-0.0317,1.7080928,7.0662293,1.5235448835440413,True
ZNF436,ENSG00000125945,1,23369836,23359448,-,-0.0669,1.968045,6.6420574,1.0705229784985468,True
CNR2,ENSG00000188822,1,23913362,23870515,-,-0.2409,5.3957458,8.199033,1.8332459579443936,True
IFNLR1,ENSG00000185436,1,24187959,24154168,-,-0.0638,3.4392238,6.9865556,0.9577652229432773,True
RUNX3,ENSG00000020633,1,24965121,24899511,-,-0.0869,3.3732207,7.06354,1.0543376627366703,True
CRYBG2,ENSG00000176092,1,26360080,26321698,-,-0.041,1.5102272,6.9672546,1.765129774442894,True
GPN2,ENSG00000142751,1,26890283,26876132,-,-0.0049,4.38869,7.1840153,0.9316971560237844,True
KDF1,ENSG00000175707,1,26960468,26949562,-,-0.063,2.3890946,7.189516,1.4008404402476966,True
SLC9A1,ENSG00000090020,1,27166981,27098809,-,-0.0442,2.2491314,7.1870794,1.3981846530367017,True
FGR,ENSG00000000938,1,27635185,27612064,-,-0.0898,4.2592955,7.9723964,1.9688346884659003,True
IFI6,ENSG00000126709,1,27672198,27666064,-,-0.058,5.882684,7.9160905,1.2068865568822307,True
PTAFR,ENSG00000169403,1,28193936,28147166,-,-0.0714,4.793398,7.643525,1.3662426523118532,True
MATN1,ENSG00000162510,1,30723585,30711277,-,-0.0331,1.0051208,6.663473,2.0126206285669124,True
FABP3,ENSG00000121769,1,31376850,31365253,-,-0.0452,1.3145171,6.9863844,1.7859375734998748,True
MTMR9LP,ENSG00000220785,1,32241620,32231658,-,-0.0514,2.2748723,7.7732224,2.0370449209737935,True
BSDC1,ENSG00000160058,1,32394731,32365103,-,-0.0769,4.883894,7.350496,0.9877425914983209,True
TRIM62,ENSG00000116525,1,33182059,33145399,-,-0.042,2.352759,7.4942102,1.7329385752679836,True
LINC01137,ENSG00000233621,1,37474411,37350934,-,-0.035,0.6439873,5.7506404,0.9860666495910102,True
MTF1,ENSG00000188786,1,37859592,37809574,-,0.0051,3.7861602,7.058518,0.9324153740380028,True
INPP5B,ENSG00000204084,1,37947057,37860697,-,-0.1107,4.1644645,7.279178,1.0568865887148915,True
AL031985.4,ENSG00000284677,1,40450039,40436199,-,-0.0541,0.72281766,5.9249015,1.1820372927311593,True
HIVEP3,ENSG00000127124,1,42035925,41506365,-,-0.0683,2.6295676,7.798471,2.150407415081444,True
SLC2A1,ENSG00000117394,1,42958868,42925375,-,-0.1878,4.7722425,7.4714017,1.1439142786980006,True
AL139289.2,ENSG00000234694,1,43358658,43354684,-,-0.0317,0.8949817,6.3185735,1.6247531713419638,True
HECTD3,ENSG00000126107,1,45011324,45002540,-,0.0113,4.4063115,7.379358,1.1886757679690922,True
LINC01389,ENSG00000225762,1,47408477,47380928,-,-0.0464,0.22531697,4.5796914,0.9983297988854886,True
TTC39A,ENSG00000085831,1,51345116,51287258,-,0.0196,0.38561216,5.5075626,1.7478970589246936,True
CC2D1B,ENSG00000154222,1,52366193,52345723,-,-0.0503,3.2196805,7.3456445,1.4082212694757317,True
TTC22,ENSG00000006555,1,54801323,54779712,-,-0.0642,2.4102576,7.087133,1.2892490430981154,True
AC093425.1,ENSG00000224609,1,59296491,59131932,-,0.007,0.49001998,4.809901,1.1843014558409168,True
DOCK7,ENSG00000116641,1,62688386,62454298,-,-0.0664,1.9286492,6.5126,0.9322604769448323,True
SLC44A5,ENSG00000137968,1,75611116,75202131,-,-0.021,0.8775983,5.99644,1.2624880432493866,True
GBP1,ENSG00000117228,1,89065230,89052319,-,-0.1034,3.7084498,7.4402432,1.4456952135905434,True
