Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr,means,dispersions,dispersions_norm,highly_variable,velocity_gamma,velocity_qreg_ratio,velocity_r2,velocity_genes
ACAP3,ENSG00000131584,1,1309609,1292390,-,-0.0183,3.3310497,7.043106,1.111452340529946,True,0.008675879,0.008675879,-0.18424510955810547,False
MORN1,ENSG00000116151,1,2391707,2321253,-,-0.0617,2.3499734,7.652834,1.996932404627084,True,0.14506786,0.14506786,-0.23079001903533936,False
MEGF6,ENSG00000162591,1,3611508,3487951,-,-0.0654,2.0950792,7.196073,1.5111052386673531,True,0.018922886,0.018922886,-0.2415992021560669,False
MTHFR,ENSG00000177000,1,11806920,11785723,-,-0.0371,2.2604535,6.7744975,1.0627024521022779,True,0.058176484,0.058176484,-0.50322425365448,False
KIAA2013,ENSG00000116685,1,11926428,11919591,-,-0.0428,4.2376018,7.203206,1.0661269504016557,True,0.028100673,0.028100673,-0.4303015470504761,False
DHRS3,ENSG00000162496,1,12618210,12567910,-,-0.0088,1.1547176,6.339902,1.190699748342333,True,0.011440093,0.011440093,-0.07346618175506592,False
CASP9,ENSG00000132906,1,15526534,15490832,-,-0.0944,3.8794618,7.260844,1.262838987733073,True,0.10497736,0.10497736,-0.06572771072387695,False
ZBTB17,ENSG00000116809,1,15976132,15941869,-,-0.0539,4.1230736,7.649824,1.642881811097843,True,0.10482424,0.10482424,-0.40220940113067627,False
FBXO42,ENSG00000037637,1,16352480,16246840,-,-0.0542,4.5082793,7.7722507,1.8009812875368527,True,0.04682738,0.04682738,-1.4185841083526611,False
CROCCP3,ENSG00000080947,1,16499257,16467436,-,-0.0532,1.490023,6.6207323,1.4940879669721179,True,0.4503273,0.4503273,-0.21951520442962646,False
NBPF1,ENSG00000219481,1,16613562,16562319,-,-0.1195,2.7720902,6.8769503,1.1042613574479394,True,0.22610931,0.22610931,0.12573373317718506,True
CROCCP2,ENSG00000215908,1,16657232,16618253,-,-0.0986,4.030948,7.0686297,1.0139225954375282,True,0.14192507,0.14192507,-0.9610446691513062,False
UBR4,ENSG00000127481,1,19210266,19074510,-,-0.0264,3.7012334,7.511876,1.587923476205682,True,0.054023415,0.054023415,-0.7639627456665039,False
TMCO4,ENSG00000162542,1,19799945,19682213,-,-0.0777,3.4617112,7.4683156,1.6294028122852655,True,0.8477495,0.8477495,-0.17130517959594727,False
MUL1,ENSG00000090432,1,20508151,20499448,-,0.0449,4.9282355,7.3391256,0.9750311599589783,True,0.0007596096,0.0007596096,-2.151087999343872,False
EIF4G3,ENSG00000075151,1,21176888,20806292,-,-0.0839,3.6229286,7.7010794,1.832940351461298,True,0.31039262,0.31039262,-4.7115912437438965,False
HSPG2,ENSG00000142798,1,21937310,21822244,-,0.0213,0.9677719,5.758188,1.1192146322000374,True,0.5739397,0.5739397,-0.03432750701904297,False
CNR2,ENSG00000188822,1,23913362,23870515,-,-0.2489,5.2841787,8.184785,2.00131552706859,True,0.08639336,0.08639336,0.576585441827774,True
IFNLR1,ENSG00000185436,1,24187959,24154168,-,-0.0725,3.4116998,6.966448,1.0180744312758203,True,0.31943738,0.31943738,-0.12797021865844727,False
PAFAH2,ENSG00000158006,1,25998117,25959767,-,-0.0212,2.8130074,6.8294907,1.0491726031915976,True,0.2909677,0.2909677,-0.14165949821472168,False
CRYBG2,ENSG00000176092,1,26360080,26321698,-,-0.0481,1.5859019,6.9587092,1.4531706488885419,True,0.96337587,0.96337587,0.09675908088684082,True
GPN2,ENSG00000142751,1,26890283,26876132,-,-0.0225,4.452774,7.1907673,1.0500637327500841,True,0.08037005,0.08037005,-0.7131761312484741,False
SLC9A1,ENSG00000090020,1,27166981,27098809,-,-0.0535,2.3355398,7.178193,1.4920874724127433,True,0.16313294,0.16313294,-0.6094788312911987,False
FGR,ENSG00000000938,1,27635185,27612064,-,-0.0782,4.078727,8.06882,2.1839658110978624,True,0.004854338,0.004854338,-0.3666287660598755,False
IFI6,ENSG00000126709,1,27672198,27666064,-,-0.0732,5.8452897,7.9676595,1.356926996594058,True,0.0064326464,0.0064326464,-0.1904447078704834,False
PTAFR,ENSG00000169403,1,28193936,28147166,-,-0.0856,4.8195066,7.6373644,1.3359102795657285,True,0.08014793,0.08014793,0.14452511072158813,True
MATN1,ENSG00000162510,1,30723585,30711277,-,-0.0389,1.0671257,6.6550503,1.5311625446820285,True,0.0,0.0,-0.16923582553863525,False
PUM1,ENSG00000134644,1,31065991,30931506,-,-0.1751,5.1469955,7.3853784,1.0075855170863375,True,0.10900529,0.10900529,-2.123948097229004,False
FABP3,ENSG00000121769,1,31376850,31365253,-,-0.0515,1.3755494,6.9913435,1.8944686795512262,True,0.27877566,0.27877566,-0.07032287120819092,False
MTMR9LP,ENSG00000220785,1,32241620,32231658,-,-0.0592,2.3615289,7.764639,2.1158521499200647,True,0.061473917,0.061473917,-0.24374747276306152,False
BSDC1,ENSG00000160058,1,32394731,32365103,-,-0.0935,4.917314,7.318876,0.9505281548165535,True,0.036247216,0.036247216,-0.6627910137176514,False
TRIM62,ENSG00000116525,1,33182059,33145399,-,-0.0505,2.4378328,7.487974,1.8215816716670126,True,0.09238828,0.09238828,-0.1929224729537964,False
LINC01137,ENSG00000233621,1,37474411,37350934,-,-0.0415,0.6907808,5.742145,1.1008846429066133,True,2.0803232,2.0803232,0.9682532176375389,True
MTF1,ENSG00000188786,1,37859592,37809574,-,-0.011,3.8490818,7.0752635,1.0225132654390305,True,0.10176736,0.10176736,-0.23817753791809082,False
INPP5B,ENSG00000204084,1,37947057,37860697,-,-0.1313,4.2445793,7.2795815,1.1647569294888998,True,0.13684428,0.13684428,-0.06394326686859131,False
COL9A2,ENSG00000049089,1,40317813,40300489,-,-0.0352,3.790098,7.048892,0.9883623881796079,True,0.03196241,0.03196241,-0.011415839195251465,False
AL031985.4,ENSG00000284677,1,40450039,40436199,-,-0.0614,0.773437,5.9164104,1.2999958133133445,True,0.21445493,0.21445493,0.22070568799972534,True
SCMH1,ENSG00000010803,1,41242154,41027200,-,-0.0898,2.8329113,6.743603,0.9494787287025187,True,0.4806698,0.4806698,-1.6035182476043701,False
HIVEP3,ENSG00000127124,1,42035925,41506365,-,-0.078,2.719061,7.7897096,2.163747120069442,True,0.002333567,0.002333567,-0.1967754364013672,False
SLC2A1,ENSG00000117394,1,42958868,42925375,-,-0.1739,4.610001,7.4658375,1.1283568379799618,True,0.16906875,0.16906875,-0.356950044631958,False
AL139289.2,ENSG00000234694,1,43358658,43354684,-,-0.0378,0.95293725,6.310107,1.7498236881261269,True,0.035473064,0.035473064,-0.2731887102127075,False
HECTD3,ENSG00000126107,1,45011324,45002540,-,0.014,4.410429,7.2941103,1.183519107616084,True,0.015463747,0.015463747,-0.9847441911697388,False
LINC01389,ENSG00000225762,1,47408477,47380928,-,-0.0531,0.2454669,4.571227,1.0736379163913023,True,4.275956,4.275956,0.8964810892939568,True
TTC39A,ENSG00000085831,1,51345116,51287258,-,0.0166,0.417385,5.4991736,1.8335203629742416,True,0.18610911,0.18610911,-0.11417233943939209,False
CC2D1B,ENSG00000154222,1,52366193,52345723,-,-0.0644,3.2866902,7.360247,1.4977639140137742,True,0.16409712,0.16409712,-0.34621870517730713,False
TTC22,ENSG00000006555,1,54801323,54779712,-,-0.0611,2.3420515,7.135464,1.4466394894725256,True,0.087015755,0.087015755,0.17626702785491943,True
DOCK7,ENSG00000116641,1,62688386,62454298,-,-0.0554,1.78095,6.6067457,1.076520053536432,True,0.24772212,0.24772212,-0.019701361656188965,False
SLC44A5,ENSG00000137968,1,75611116,75202131,-,-0.0272,0.9348714,5.987876,1.3816504564997265,True,0.2881537,0.2881537,-0.36197400093078613,False
GBP1,ENSG00000117228,1,89065230,89052319,-,-0.0965,3.5554612,7.4639196,1.525820193903274,True,0.0012794023,0.0012794023,-0.2605324983596802,False
GBP2,ENSG00000162645,1,89150456,89106132,-,-0.0585,1.8858916,6.9692874,1.464490766873657,True,0.013267472,0.013267472,-0.1862170696258545,False
GBP4,ENSG00000162654,1,89198942,89181144,-,-0.1082,3.1972065,7.258316,1.373600987166295,True,0.013201779,0.013201779,-0.06363284587860107,False
CNN3,ENSG00000117519,1,94927223,94896949,-,-0.1156,3.0060437,7.5638437,1.9015732461382382,True,0.037293896,0.037293896,-0.6486427783966064,False
DPYD,ENSG00000188641,1,97995000,97077743,-,-0.0936,2.6113322,6.9511766,1.1904196598950325,True,0.21332546,0.21332546,-0.7482702732086182,False
