#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EPOR	STAT3	9606.ENSP00000222139	9606.ENSP00000264657	0	0	0	0	0	0	0	0.735	0.735
EPOR	PTPN11	9606.ENSP00000222139	9606.ENSP00000340944	0	0	0	0	0	0.486	0	0.565	0.767
EPOR	STAT1	9606.ENSP00000222139	9606.ENSP00000354394	0	0	0	0	0	0	0.900	0.405	0.938
EPOR	SOCS3	9606.ENSP00000222139	9606.ENSP00000330341	0	0	0	0	0	0.495	0.900	0.818	0.990
EPOR	STAT5B	9606.ENSP00000222139	9606.ENSP00000293328	0	0	0	0	0	0.213	0.900	0.923	0.993
EPOR	GRB2	9606.ENSP00000222139	9606.ENSP00000376345	0	0	0	0	0	0.684	0.900	0.877	0.995
EPOR	STAT5A	9606.ENSP00000222139	9606.ENSP00000341208	0	0	0	0	0	0.677	0.900	0.984	0.999
EPOR	JAK2	9606.ENSP00000222139	9606.ENSP00000371067	0	0	0	0	0	0.974	0.900	0.993	0.999
GHR	STAT3	9606.ENSP00000483403	9606.ENSP00000264657	0	0	0	0	0	0.328	0.600	0.310	0.798
GHR	STAT5B	9606.ENSP00000483403	9606.ENSP00000293328	0	0	0	0	0	0.641	0.900	0.704	0.988
GHR	IRS1	9606.ENSP00000483403	9606.ENSP00000304895	0	0	0	0	0.063	0.213	0.900	0.391	0.949
GHR	SH2B1	9606.ENSP00000483403	9606.ENSP00000321221	0	0	0	0	0	0	0.900	0.185	0.915
GHR	SOCS1	9606.ENSP00000483403	9606.ENSP00000329418	0	0	0	0	0	0.281	0.600	0.321	0.787
GHR	SOCS3	9606.ENSP00000483403	9606.ENSP00000330341	0	0	0	0	0	0.281	0.600	0.551	0.859
GHR	PTPN11	9606.ENSP00000483403	9606.ENSP00000340944	0	0	0	0	0	0.684	0	0.219	0.743
GHR	STAT5A	9606.ENSP00000483403	9606.ENSP00000341208	0	0	0	0	0	0.612	0.900	0.916	0.996
GHR	STAT1	9606.ENSP00000483403	9606.ENSP00000354394	0	0	0	0	0	0.056	0.600	0.283	0.705
GHR	PTPN1	9606.ENSP00000483403	9606.ENSP00000360683	0	0	0	0	0	0.307	0.600	0.081	0.723
GHR	JAK2	9606.ENSP00000483403	9606.ENSP00000371067	0	0	0	0	0	0.761	0.900	0.988	0.999
GHR	PRLR	9606.ENSP00000483403	9606.ENSP00000482954	0	0	0	0.637	0	0	0.600	0.745	0.706
GRB2	STAT3	9606.ENSP00000376345	9606.ENSP00000264657	0	0	0	0	0.097	0.270	0.900	0.604	0.970
GRB2	STAT5B	9606.ENSP00000376345	9606.ENSP00000293328	0	0	0	0	0.062	0	0.500	0.553	0.772
GRB2	IRS1	9606.ENSP00000376345	9606.ENSP00000304895	0	0	0	0	0	0.911	0.900	0.991	0.999
GRB2	SH2B1	9606.ENSP00000376345	9606.ENSP00000321221	0	0	0	0	0	0.686	0.800	0.481	0.964
GRB2	SOCS1	9606.ENSP00000376345	9606.ENSP00000329418	0	0	0	0	0.062	0.482	0.900	0.823	0.990
GRB2	PTPN11	9606.ENSP00000376345	9606.ENSP00000340944	0	0	0	0.633	0.095	0.948	0.900	0.995	0.996
GRB2	STAT5A	9606.ENSP00000376345	9606.ENSP00000341208	0	0	0	0	0.062	0	0.500	0.581	0.786
GRB2	PTPN1	9606.ENSP00000376345	9606.ENSP00000360683	0	0	0	0	0.064	0.763	0.900	0.968	0.999
GRB2	MPL	9606.ENSP00000376345	9606.ENSP00000361548	0	0	0	0	0	0.057	0.900	0.266	0.924
GRB2	JAK2	9606.ENSP00000376345	9606.ENSP00000371067	0	0	0	0	0	0.728	0.900	0.982	0.999
IFNGR1	IFNGR2	9606.ENSP00000356713	9606.ENSP00000290219	0	0	0	0	0.139	0.835	0.800	0.989	0.999
IFNGR1	SOCS1	9606.ENSP00000356713	9606.ENSP00000329418	0	0	0	0	0	0.438	0.900	0.903	0.994
IFNGR1	SOCS3	9606.ENSP00000356713	9606.ENSP00000330341	0	0	0	0	0	0.057	0.600	0.451	0.774
IFNGR1	PTPN11	9606.ENSP00000356713	9606.ENSP00000340944	0	0	0	0	0.049	0.225	0.900	0.245	0.936
IFNGR1	STAT1	9606.ENSP00000356713	9606.ENSP00000354394	0	0	0	0	0	0.873	0.900	0.980	0.999
IFNGR1	PTPN1	9606.ENSP00000356713	9606.ENSP00000360683	0	0	0	0	0.062	0.101	0.900	0.125	0.916
IFNGR1	JAK2	9606.ENSP00000356713	9606.ENSP00000371067	0	0	0	0	0.049	0.707	0.900	0.984	0.999
IFNGR2	SOCS1	9606.ENSP00000290219	9606.ENSP00000329418	0	0	0	0	0	0	0.600	0.407	0.752
IFNGR2	PTPN11	9606.ENSP00000290219	9606.ENSP00000340944	0	0	0	0	0.049	0	0.900	0.167	0.913
IFNGR2	PTPN1	9606.ENSP00000290219	9606.ENSP00000360683	0	0	0	0	0	0	0.900	0.175	0.914
IFNGR2	STAT1	9606.ENSP00000290219	9606.ENSP00000354394	0	0	0	0	0	0.056	0.800	0.709	0.940
IFNGR2	JAK2	9606.ENSP00000290219	9606.ENSP00000371067	0	0	0	0	0.049	0.576	0.800	0.981	0.998
IL23R	STAT3	9606.ENSP00000321345	9606.ENSP00000264657	0	0	0	0	0	0.213	0.900	0.741	0.977
IL23R	SOCS3	9606.ENSP00000321345	9606.ENSP00000330341	0	0	0	0	0	0	0.900	0.369	0.934
IL23R	STAT5A	9606.ENSP00000321345	9606.ENSP00000341208	0	0	0	0	0	0	0.900	0.460	0.943
IL23R	STAT1	9606.ENSP00000321345	9606.ENSP00000354394	0	0	0	0	0	0	0.900	0.507	0.948
IL23R	JAK2	9606.ENSP00000321345	9606.ENSP00000371067	0	0	0	0	0	0.213	0.900	0.959	0.996
IRS1	LEPR	9606.ENSP00000304895	9606.ENSP00000330393	0	0	0	0	0	0	0.600	0.576	0.823
IRS1	PRLR	9606.ENSP00000304895	9606.ENSP00000482954	0	0	0	0	0	0	0.650	0.570	0.843
IRS1	SH2B1	9606.ENSP00000304895	9606.ENSP00000321221	0	0	0	0	0.062	0.658	0.600	0.714	0.958
IRS1	PTPN1	9606.ENSP00000304895	9606.ENSP00000360683	0	0	0	0	0	0.495	0.900	0.797	0.988
IRS1	SOCS1	9606.ENSP00000304895	9606.ENSP00000329418	0	0	0	0	0	0.746	0.900	0.691	0.991
IRS1	SOCS3	9606.ENSP00000304895	9606.ENSP00000330341	0	0	0	0	0	0.462	0.900	0.913	0.994
IRS1	PTPN11	9606.ENSP00000304895	9606.ENSP00000340944	0	0	0	0	0	0.973	0.900	0.991	0.999
IRS1	JAK2	9606.ENSP00000304895	9606.ENSP00000371067	0	0	0	0	0	0.878	0.900	0.982	0.999
JAK2	STAT3	9606.ENSP00000371067	9606.ENSP00000264657	0	0	0	0	0.053	0.884	0.900	0.995	0.999
JAK2	STAT5B	9606.ENSP00000371067	9606.ENSP00000293328	0	0	0	0	0.062	0.926	0.900	0.992	0.999
JAK2	PRMT5	9606.ENSP00000371067	9606.ENSP00000319169	0	0	0	0	0	0.486	0.900	0.932	0.996
JAK2	SH2B1	9606.ENSP00000371067	9606.ENSP00000321221	0	0	0	0	0	0.892	0.600	0.966	0.998
JAK2	SOCS1	9606.ENSP00000371067	9606.ENSP00000329418	0	0	0	0	0.060	0.908	0.900	0.990	0.999
JAK2	SOCS3	9606.ENSP00000371067	9606.ENSP00000330341	0	0	0	0	0.062	0.902	0.900	0.992	0.999
JAK2	LEPR	9606.ENSP00000371067	9606.ENSP00000330393	0	0	0	0	0	0.896	0.900	0.965	0.999
JAK2	PTPN11	9606.ENSP00000371067	9606.ENSP00000340944	0	0	0	0	0.062	0.800	0.900	0.983	0.999
JAK2	STAT5A	9606.ENSP00000371067	9606.ENSP00000341208	0	0	0	0	0.096	0.962	0.900	0.979	0.999
JAK2	STAT1	9606.ENSP00000371067	9606.ENSP00000354394	0	0	0	0	0.096	0.887	0.900	0.978	0.999
JAK2	PTPN1	9606.ENSP00000371067	9606.ENSP00000360683	0	0	0	0	0.062	0.856	0.900	0.858	0.997
JAK2	MPL	9606.ENSP00000371067	9606.ENSP00000361548	0	0	0	0	0	0.705	0.900	0.943	0.998
JAK2	PRLR	9606.ENSP00000371067	9606.ENSP00000482954	0	0	0	0	0	0.707	0.900	0.982	0.999
LEPR	STAT3	9606.ENSP00000330393	9606.ENSP00000264657	0	0	0	0	0	0.225	0.900	0.959	0.996
LEPR	STAT5B	9606.ENSP00000330393	9606.ENSP00000293328	0	0	0	0	0	0.101	0.600	0.435	0.779
LEPR	SH2B1	9606.ENSP00000330393	9606.ENSP00000321221	0	0	0	0	0	0	0.600	0.435	0.764
LEPR	SOCS3	9606.ENSP00000330393	9606.ENSP00000330341	0	0	0	0	0	0.505	0.900	0.965	0.998
LEPR	STAT5A	9606.ENSP00000330393	9606.ENSP00000341208	0	0	0	0	0	0.113	0.600	0.584	0.840
LEPR	PTPN11	9606.ENSP00000330393	9606.ENSP00000340944	0	0	0	0	0	0.707	0.600	0.785	0.972
LEPR	PTPN1	9606.ENSP00000330393	9606.ENSP00000360683	0	0	0	0	0	0.056	0.900	0.739	0.973
MPL	STAT3	9606.ENSP00000361548	9606.ENSP00000264657	0	0	0	0	0	0	0.900	0.567	0.954
