Gene,Accession,Chromosome,End,Start,Strand,gene_count_corr
ACAP3,ENSG00000131584,1,1309609,1292390,-,-0.0033
MORN1,ENSG00000116151,1,2391707,2321253,-,-0.0528
PEX10,ENSG00000157911,1,2413797,2403964,-,-0.0481
MEGF6,ENSG00000162591,1,3611508,3487951,-,-0.0581
SLC2A5,ENSG00000142583,1,9088478,9035106,-,-0.0308
MTHFR,ENSG00000177000,1,11806920,11785723,-,-0.0268
KIAA2013,ENSG00000116685,1,11926428,11919591,-,-0.0462
DHRS3,ENSG00000162496,1,12618210,12567910,-,-0.004
CASP9,ENSG00000132906,1,15526534,15490832,-,-0.0917
ZBTB17,ENSG00000116809,1,15976132,15941869,-,-0.0572
FBXO42,ENSG00000037637,1,16352480,16246840,-,-0.0434
CROCCP3,ENSG00000080947,1,16499257,16467436,-,-0.0461
NBPF1,ENSG00000219481,1,16613562,16562319,-,-0.1162
CROCCP2,ENSG00000215908,1,16657232,16618253,-,-0.0792
UBR4,ENSG00000127481,1,19210266,19074510,-,-0.0419
TMCO4,ENSG00000162542,1,19799945,19682213,-,-0.0647
MUL1,ENSG00000090432,1,20508151,20499448,-,0.0551
EIF4G3,ENSG00000075151,1,21176888,20806292,-,-0.0713
HSPG2,ENSG00000142798,1,21937310,21822244,-,-0.0318
ZNF436,ENSG00000125945,1,23369836,23359448,-,-0.0685
CNR2,ENSG00000188822,1,23913362,23870515,-,-0.2404
IFNLR1,ENSG00000185436,1,24187959,24154168,-,-0.0657
RUNX3,ENSG00000020633,1,24965121,24899511,-,-0.0864
CRYBG2,ENSG00000176092,1,26360080,26321698,-,-0.0394
GPN2,ENSG00000142751,1,26890283,26876132,-,-0.0039
KDF1,ENSG00000175707,1,26960468,26949562,-,-0.0621
SLC9A1,ENSG00000090020,1,27166981,27098809,-,-0.0458
FGR,ENSG00000000938,1,27635185,27612064,-,-0.0919
IFI6,ENSG00000126709,1,27672198,27666064,-,-0.0551
PTAFR,ENSG00000169403,1,28193936,28147166,-,-0.0672
MATN1,ENSG00000162510,1,30723585,30711277,-,-0.032
FABP3,ENSG00000121769,1,31376850,31365253,-,-0.0469
MTMR9LP,ENSG00000220785,1,32241620,32231658,-,-0.0514
BSDC1,ENSG00000160058,1,32394731,32365103,-,-0.0763
TRIM62,ENSG00000116525,1,33182059,33145399,-,-0.0442
LINC01137,ENSG00000233621,1,37474411,37350934,-,-0.0329
MTF1,ENSG00000188786,1,37859592,37809574,-,0.0074
INPP5B,ENSG00000204084,1,37947057,37860697,-,-0.1097
AL031985.4,ENSG00000284677,1,40450039,40436199,-,-0.0525
HIVEP3,ENSG00000127124,1,42035925,41506365,-,-0.0662
SLC2A1,ENSG00000117394,1,42958868,42925375,-,-0.1879
AL139289.2,ENSG00000234694,1,43358658,43354684,-,-0.0312
HECTD3,ENSG00000126107,1,45011324,45002540,-,0.0094
LINC01389,ENSG00000225762,1,47408477,47380928,-,-0.0464
TTC39A,ENSG00000085831,1,51345116,51287258,-,0.0172
CC2D1B,ENSG00000154222,1,52366193,52345723,-,-0.0484
TTC22,ENSG00000006555,1,54801323,54779712,-,-0.0621
AC093425.1,ENSG00000224609,1,59296491,59131932,-,0.0038
DOCK7,ENSG00000116641,1,62688386,62454298,-,-0.069
SLC44A5,ENSG00000137968,1,75611116,75202131,-,-0.0202
GBP1,ENSG00000117228,1,89065230,89052319,-,-0.1005
GBP2,ENSG00000162645,1,89150456,89106132,-,-0.0515
GBP4,ENSG00000162654,1,89198942,89181144,-,-0.0947
CNN3,ENSG00000117519,1,94927223,94896949,-,-0.1178
DPYD,ENSG00000188641,1,97995000,97077743,-,-0.096
VAV3,ENSG00000134215,1,107965180,107571161,-,-0.0946
DENND2D,ENSG00000162777,1,111204535,111185969,-,-0.1769
OVGP1,ENSG00000085465,1,111427735,111414319,-,-0.0619
AL390195.1,ENSG00000243960,1,111441364,111438638,-,-0.0474
NOTCH2,ENSG00000134250,1,120100779,119911553,-,-0.1126
NBPF20,ENSG00000162825,1,145405778,145289900,-,-0.0596
PIAS3,ENSG00000131788,1,145859836,145848522,-,-0.1052
TXNIP,ENSG00000265972,1,145996579,145992435,-,-0.4468
NBPF13P,ENSG00000227242,1,147056593,147019656,-,-0.0259
