#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CCL2	CSF3	9606.ENSP00000225831	9606.ENSP00000225474	0	0	0	0	0.088	0	0.900	0.843	0.984
CCL2	CCL4	9606.ENSP00000225831	9606.ENSP00000482259	0	0	0	0.871	0.141	0	0.900	0.902	0.920
CCL2	CCL3	9606.ENSP00000225831	9606.ENSP00000477908	0	0	0	0.847	0.117	0	0.900	0.933	0.921
CCL2	CCL5	9606.ENSP00000225831	9606.ENSP00000474412	0	0	0	0.831	0.066	0.450	0.900	0.931	0.952
CCL2	IL18	9606.ENSP00000225831	9606.ENSP00000280357	0	0	0	0	0	0	0.900	0.774	0.976
CCL2	CCL20	9606.ENSP00000225831	9606.ENSP00000351671	0	0	0	0	0.107	0	0.900	0.784	0.979
CCL2	IL1A	9606.ENSP00000225831	9606.ENSP00000263339	0	0	0	0	0.092	0	0.900	0.837	0.983
CCL2	CSF2	9606.ENSP00000225831	9606.ENSP00000296871	0	0	0	0	0.063	0	0.900	0.882	0.988
CCL2	IL10	9606.ENSP00000225831	9606.ENSP00000412237	0	0	0	0	0	0	0.900	0.901	0.989
CCL2	CXCL1	9606.ENSP00000225831	9606.ENSP00000379110	0	0	0	0	0.211	0	0.900	0.883	0.989
CCL2	CXCL10	9606.ENSP00000225831	9606.ENSP00000305651	0	0	0	0	0.160	0	0.900	0.910	0.991
CCL2	TNF	9606.ENSP00000225831	9606.ENSP00000398698	0	0	0	0	0.062	0	0.900	0.930	0.992
CCL2	IL1B	9606.ENSP00000225831	9606.ENSP00000263341	0	0	0	0	0.127	0	0.900	0.927	0.993
CCL2	IL6	9606.ENSP00000225831	9606.ENSP00000385675	0	0	0	0	0.267	0	0.900	0.930	0.994
CCL2	CXCL8	9606.ENSP00000225831	9606.ENSP00000306512	0	0	0	0	0.271	0.280	0.900	0.923	0.995
CCL20	CSF3	9606.ENSP00000351671	9606.ENSP00000225474	0	0	0	0	0.158	0	0.900	0.601	0.963
CCL20	IL1A	9606.ENSP00000351671	9606.ENSP00000263339	0	0	0	0	0.368	0	0.900	0.684	0.978
CCL20	IL1B	9606.ENSP00000351671	9606.ENSP00000263341	0	0	0	0	0.602	0	0.900	0.743	0.988
CCL20	IL18	9606.ENSP00000351671	9606.ENSP00000280357	0	0	0	0	0	0	0.900	0.595	0.957
CCL20	CSF2	9606.ENSP00000351671	9606.ENSP00000296871	0	0	0	0	0.171	0	0.900	0.689	0.972
CCL20	CXCL10	9606.ENSP00000351671	9606.ENSP00000305651	0	0	0	0	0.143	0	0.600	0.764	0.912
CCL20	CXCL8	9606.ENSP00000351671	9606.ENSP00000306512	0	0	0	0	0.553	0	0.600	0.818	0.964
CCL20	CCL4	9606.ENSP00000351671	9606.ENSP00000482259	0	0	0	0	0.100	0	0.600	0.723	0.891
CCL20	CCL5	9606.ENSP00000351671	9606.ENSP00000474412	0	0	0	0	0.133	0.284	0.600	0.770	0.935
CCL20	CXCL1	9606.ENSP00000351671	9606.ENSP00000379110	0	0	0	0	0.553	0	0.600	0.794	0.960
CCL20	IL10	9606.ENSP00000351671	9606.ENSP00000412237	0	0	0	0	0.062	0	0.900	0.691	0.968
CCL20	CCL3	9606.ENSP00000351671	9606.ENSP00000477908	0	0	0	0	0.101	0	0.900	0.766	0.977
CCL20	TNF	9606.ENSP00000351671	9606.ENSP00000398698	0	0	0	0	0.244	0	0.900	0.746	0.979
CCL20	IL6	9606.ENSP00000351671	9606.ENSP00000385675	0	0	0	0	0.245	0	0.900	0.757	0.980
CCL3	CSF3	9606.ENSP00000477908	9606.ENSP00000225474	0	0	0	0	0.095	0	0.900	0.858	0.986
CCL3	IL1A	9606.ENSP00000477908	9606.ENSP00000263339	0	0	0	0	0.124	0	0.900	0.837	0.984
CCL3	IL1B	9606.ENSP00000477908	9606.ENSP00000263341	0	0	0	0	0.685	0	0.900	0.885	0.996
CCL3	IL18	9606.ENSP00000477908	9606.ENSP00000280357	0	0	0	0	0.062	0	0.900	0.729	0.972
