#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANP32A	TNFSF13	9606.ENSP00000417864	9606.ENSP00000343505	0	0	0	0	0	0	0.800	0	0.800
ANP32A	NUP214	9606.ENSP00000417864	9606.ENSP00000352400	0	0	0	0	0.063	0	0.800	0.255	0.848
ANP32A	SET	9606.ENSP00000417864	9606.ENSP00000361777	0	0	0	0	0.296	0.682	0.900	0.916	0.997
ANP32A	XPO1	9606.ENSP00000417864	9606.ENSP00000384863	0	0	0	0	0.171	0.270	0.800	0.885	0.984
NUP214	TNFSF13	9606.ENSP00000352400	9606.ENSP00000343505	0	0	0	0	0	0	0.800	0	0.800
NUP214	SET	9606.ENSP00000352400	9606.ENSP00000361777	0	0	0	0	0.083	0	0.800	0.556	0.911
NUP214	XPO1	9606.ENSP00000352400	9606.ENSP00000384863	0	0	0	0	0.147	0.909	0.900	0.994	0.999
SET	TNFSF13	9606.ENSP00000361777	9606.ENSP00000343505	0	0	0	0	0	0	0.800	0	0.800
SET	XPO1	9606.ENSP00000361777	9606.ENSP00000384863	0	0	0	0	0.239	0.270	0.800	0.157	0.893
TNFRSF13B	TNFRSF17	9606.ENSP00000261652	9606.ENSP00000053243	0	0	0	0	0.140	0	0	0.987	0.989
TNFRSF13B	TRAF2	9606.ENSP00000261652	9606.ENSP00000247668	0	0	0	0	0	0.684	0.900	0.750	0.991
TNFRSF13B	TRAF5	9606.ENSP00000261652	9606.ENSP00000261464	0	0	0	0	0	0.501	0.900	0.543	0.975
TNFRSF13B	TRAF3	9606.ENSP00000261652	9606.ENSP00000454207	0	0	0	0	0	0.281	0	0.795	0.846
TNFRSF13B	TRAF6	9606.ENSP00000261652	9606.ENSP00000433623	0	0	0	0	0	0.501	0.900	0.515	0.973
TNFRSF13B	TNFSF13	9606.ENSP00000261652	9606.ENSP00000343505	0	0	0	0	0	0.270	0.900	0.856	0.988
TNFRSF13B	TNFRSF13C	9606.ENSP00000261652	9606.ENSP00000291232	0	0	0	0	0.089	0	0	0.990	0.990
TNFRSF13B	TNFSF13B	9606.ENSP00000261652	9606.ENSP00000365048	0	0	0	0	0	0.791	0.900	0.989	0.999
TNFRSF13C	TNFRSF17	9606.ENSP00000291232	9606.ENSP00000053243	0	0	0	0	0.070	0	0	0.977	0.977
TNFRSF13C	TRAF2	9606.ENSP00000291232	9606.ENSP00000247668	0	0	0	0	0.064	0.345	0.800	0.373	0.912
TNFRSF13C	TNFSF13	9606.ENSP00000291232	9606.ENSP00000343505	0	0	0	0	0	0	0	0.738	0.738
TNFRSF13C	TNFSF12	9606.ENSP00000291232	9606.ENSP00000293825	0	0	0	0	0	0	0.600	0.518	0.798
TNFRSF13C	TRAF6	9606.ENSP00000291232	9606.ENSP00000433623	0	0	0	0	0.049	0.182	0	0.827	0.853
TNFRSF13C	TRAF3	9606.ENSP00000291232	9606.ENSP00000454207	0	0	0	0	0.049	0.822	0.800	0.988	0.999
TNFRSF13C	TNFSF13B	9606.ENSP00000291232	9606.ENSP00000365048	0	0	0	0	0.063	0.969	0.800	0.990	0.999
TNFRSF17	TRAF6	9606.ENSP00000053243	9606.ENSP00000433623	0	0	0	0	0	0.283	0.900	0.220	0.939
TNFRSF17	TRAF5	9606.ENSP00000053243	9606.ENSP00000261464	0	0	0	0	0	0.283	0.900	0.306	0.945
TNFRSF17	TRAF3	9606.ENSP00000053243	9606.ENSP00000454207	0	0	0	0	0	0.320	0.900	0.495	0.962
TNFRSF17	TNFSF13	9606.ENSP00000053243	9606.ENSP00000343505	0	0	0	0	0	0.213	0.900	0.721	0.976
TNFRSF17	TNFSF13B	9606.ENSP00000053243	9606.ENSP00000365048	0	0	0	0	0.062	0.949	0.900	0.989	0.999
TNFSF12	TRAF2	9606.ENSP00000293825	9606.ENSP00000247668	0	0	0	0	0	0.270	0.900	0.406	0.952
TNFSF12	TNFSF13	9606.ENSP00000293825	9606.ENSP00000343505	0	0.153	0	0	0.111	0	0	0.641	0.706
TNFSF12	TRAF3	9606.ENSP00000293825	9606.ENSP00000454207	0	0	0	0	0	0	0.600	0.426	0.760
TNFSF12	TNFSF13B	9606.ENSP00000293825	9606.ENSP00000365048	0	0	0	0	0	0.270	0.600	0.680	0.898
TNFSF13	TRAF2	9606.ENSP00000343505	9606.ENSP00000247668	0	0	0	0	0	0	0.900	0.075	0.903
TNFSF13	TRAF5	9606.ENSP00000343505	9606.ENSP00000261464	0	0	0	0	0	0	0.900	0.107	0.906
TNFSF13	TNFSF13B	9606.ENSP00000343505	9606.ENSP00000365048	0	0	0	0.726	0.100	0.270	0.600	0.726	0.770
TNFSF13	XPO1	9606.ENSP00000343505	9606.ENSP00000384863	0	0	0	0	0	0	0.800	0	0.800
TNFSF13	TRAF6	9606.ENSP00000343505	9606.ENSP00000433623	0	0	0	0	0	0	0.900	0.145	0.910
TNFSF13	TRAF3	9606.ENSP00000343505	9606.ENSP00000454207	0	0	0	0	0	0	0.900	0.170	0.913
TNFSF13B	TRAF2	9606.ENSP00000365048	9606.ENSP00000247668	0	0	0	0	0.062	0	0.900	0.343	0.932
TNFSF13B	TRAF5	9606.ENSP00000365048	9606.ENSP00000261464	0	0	0	0	0	0	0.900	0.418	0.939
TNFSF13B	TRAF6	9606.ENSP00000365048	9606.ENSP00000433623	0	0	0	0	0	0	0.900	0.461	0.943
TNFSF13B	TRAF3	9606.ENSP00000365048	9606.ENSP00000454207	0	0	0	0	0	0	0.900	0.726	0.971
TRAF2	TRAF5	9606.ENSP00000247668	9606.ENSP00000261464	0	0	0	0.840	0.049	0.683	0.900	0.941	0.972
TRAF2	TRAF3	9606.ENSP00000247668	9606.ENSP00000454207	0	0	0	0.843	0.062	0.810	0.900	0.978	0.983
TRAF2	TRAF6	9606.ENSP00000247668	9606.ENSP00000433623	0	0	0	0.735	0	0.872	0.900	0.704	0.989
TRAF3	TRAF5	9606.ENSP00000454207	9606.ENSP00000261464	0	0	0	0.910	0	0.875	0.900	0.944	0.988
TRAF3	TRAF6	9606.ENSP00000454207	9606.ENSP00000433623	0	0	0	0.713	0.062	0.182	0.900	0.991	0.940
TRAF5	TRAF6	9606.ENSP00000261464	9606.ENSP00000433623	0	0	0	0.694	0	0.674	0.900	0.956	0.975
