#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
BLNK	LCP2	9606.ENSP00000224337	9606.ENSP00000046794	0	0	0	0.627	0.161	0.213	0.800	0.822	0.900
BLNK	CD79A	9606.ENSP00000224337	9606.ENSP00000221972	0	0	0	0	0.230	0.675	0.900	0.982	0.999
BLNK	PIK3CD	9606.ENSP00000224337	9606.ENSP00000366563	0	0	0	0	0	0	0.650	0.325	0.753
BLNK	IBTK	9606.ENSP00000224337	9606.ENSP00000305721	0	0	0	0	0	0	0.900	0.087	0.904
BLNK	SH3BP5	9606.ENSP00000224337	9606.ENSP00000373301	0	0	0	0	0	0	0.900	0.124	0.908
BLNK	FYN	9606.ENSP00000224337	9606.ENSP00000346671	0	0	0	0	0	0.056	0.900	0.459	0.944
BLNK	HCK	9606.ENSP00000224337	9606.ENSP00000444986	0	0	0	0	0.159	0.056	0.900	0.412	0.947
BLNK	PTPN6	9606.ENSP00000224337	9606.ENSP00000391592	0	0	0	0	0.170	0.462	0.900	0.293	0.964
BLNK	CD79B	9606.ENSP00000224337	9606.ENSP00000376544	0	0	0	0	0.168	0	0.900	0.798	0.981
BLNK	LYN	9606.ENSP00000224337	9606.ENSP00000428924	0	0	0	0	0.090	0.281	0.900	0.786	0.984
BLNK	SYK	9606.ENSP00000224337	9606.ENSP00000364907	0	0	0	0	0.180	0.867	0.900	0.985	0.999
BLNK	BTK	9606.ENSP00000224337	9606.ENSP00000483570	0	0	0	0	0.219	0.883	0.900	0.990	0.999
BLNK	PLCG2	9606.ENSP00000224337	9606.ENSP00000482457	0	0	0	0	0.087	0.470	0.900	0.988	0.999
BTK	LCP2	9606.ENSP00000483570	9606.ENSP00000046794	0	0	0	0	0.595	0.056	0.800	0.850	0.987
BTK	CD79A	9606.ENSP00000483570	9606.ENSP00000221972	0	0	0	0	0.338	0.104	0.900	0.715	0.980
BTK	FCER1G	9606.ENSP00000483570	9606.ENSP00000289902	0	0	0	0	0.216	0.282	0.900	0.395	0.961
BTK	FADD	9606.ENSP00000483570	9606.ENSP00000301838	0	0	0	0	0	0.212	0.900	0.416	0.950
BTK	IBTK	9606.ENSP00000483570	9606.ENSP00000305721	0	0	0	0	0	0.682	0.900	0.683	0.989
BTK	FYN	9606.ENSP00000483570	9606.ENSP00000346671	0	0	0	0.848	0.063	0.502	0.900	0.737	0.954
BTK	SYK	9606.ENSP00000483570	9606.ENSP00000364907	0	0	0	0.656	0.305	0.462	0.900	0.984	0.973
BTK	WAS	9606.ENSP00000483570	9606.ENSP00000365891	0	0	0	0	0.430	0.699	0.900	0.941	0.998
BTK	PIK3CD	9606.ENSP00000483570	9606.ENSP00000366563	0	0	0	0	0.117	0.104	0.900	0.604	0.964
BTK	SH3BP5	9606.ENSP00000483570	9606.ENSP00000373301	0	0	0	0	0.052	0.662	0.900	0.819	0.993
BTK	CD79B	9606.ENSP00000483570	9606.ENSP00000376544	0	0	0	0	0.349	0.058	0.900	0.738	0.981
BTK	PTPN6	9606.ENSP00000483570	9606.ENSP00000391592	0	0	0	0	0.344	0.078	0.900	0.393	0.958
BTK	MYD88	9606.ENSP00000483570	9606.ENSP00000401399	0	0	0	0	0.086	0.352	0	0.987	0.992
BTK	INPP5D	9606.ENSP00000483570	9606.ENSP00000405338	0	0	0	0	0.234	0.182	0.900	0.467	0.962
BTK	HRAS	9606.ENSP00000483570	9606.ENSP00000407586	0	0	0	0	0.062	0.270	0.900	0.426	0.955
BTK	LYN	9606.ENSP00000483570	9606.ENSP00000428924	0	0	0	0.862	0.170	0.462	0.900	0.869	0.957
BTK	HCK	9606.ENSP00000483570	9606.ENSP00000444986	0	0	0	0.857	0.360	0.270	0.900	0.704	0.954
BTK	GTF2I	9606.ENSP00000483570	9606.ENSP00000460070	0	0	0	0	0	0.872	0	0.946	0.992
BTK	PLCG2	9606.ENSP00000483570	9606.ENSP00000482457	0	0	0	0	0.108	0.752	0.900	0.982	0.999
CD79A	LCP2	9606.ENSP00000221972	9606.ENSP00000046794	0	0	0	0	0.285	0	0	0.652	0.741
CD79A	PIK3CD	9606.ENSP00000221972	9606.ENSP00000366563	0	0	0	0	0.112	0	0.650	0.479	0.824
CD79A	SH3BP5	9606.ENSP00000221972	9606.ENSP00000373301	0	0	0	0	0	0	0.900	0	0.900
CD79A	IBTK	9606.ENSP00000221972	9606.ENSP00000305721	0	0	0	0	0	0	0.900	0.097	0.905
CD79A	INPP5D	9606.ENSP00000221972	9606.ENSP00000405338	0	0	0	0	0.173	0	0.900	0.325	0.939
CD79A	PTPN6	9606.ENSP00000221972	9606.ENSP00000391592	0	0	0	0	0.230	0.213	0.900	0.358	0.955
CD79A	PLCG2	9606.ENSP00000221972	9606.ENSP00000482457	0	0	0	0	0.097	0	0.900	0.727	0.973
CD79A	FYN	9606.ENSP00000221972	9606.ENSP00000346671	0	0	0	0	0	0.264	0.900	0.766	0.981
CD79A	CD79B	9606.ENSP00000221972	9606.ENSP00000376544	0	0	0	0.633	0.748	0.687	0.900	0.989	0.994
CD79A	LYN	9606.ENSP00000221972	9606.ENSP00000428924	0	0	0	0	0.098	0.460	0.900	0.977	0.998
CD79A	SYK	9606.ENSP00000221972	9606.ENSP00000364907	0	0	0	0	0.165	0.282	0.900	0.988	0.999
CD79B	IBTK	9606.ENSP00000376544	9606.ENSP00000305721	0	0	0	0	0	0	0.900	0.215	0.918
CD79B	FYN	9606.ENSP00000376544	9606.ENSP00000346671	0	0	0	0	0	0.226	0.900	0.517	0.959
CD79B	SYK	9606.ENSP00000376544	9606.ENSP00000364907	0	0	0	0	0.199	0.471	0.900	0.910	0.995
CD79B	PIK3CD	9606.ENSP00000376544	9606.ENSP00000366563	0	0	0	0	0.111	0	0.650	0.338	0.776
CD79B	SH3BP5	9606.ENSP00000376544	9606.ENSP00000373301	0	0	0	0	0	0	0.900	0.107	0.906
CD79B	INPP5D	9606.ENSP00000376544	9606.ENSP00000405338	0	0	0	0	0.442	0	0.900	0.274	0.956
CD79B	PTPN6	9606.ENSP00000376544	9606.ENSP00000391592	0	0	0	0	0.208	0.213	0.900	0.391	0.956
CD79B	PLCG2	9606.ENSP00000376544	9606.ENSP00000482457	0	0	0	0	0.094	0	0.900	0.687	0.969
CD79B	LYN	9606.ENSP00000376544	9606.ENSP00000428924	0	0	0	0	0.095	0.226	0.900	0.833	0.986
FADD	MYD88	9606.ENSP00000301838	9606.ENSP00000401399	0	0	0	0	0.096	0.631	0.800	0.974	0.998
FCER1G	LCP2	9606.ENSP00000289902	9606.ENSP00000046794	0	0	0	0	0.411	0	0.900	0.524	0.969
FCER1G	HCK	9606.ENSP00000289902	9606.ENSP00000444986	0	0	0	0	0.585	0.057	0	0.441	0.762
FCER1G	PIK3CD	9606.ENSP00000289902	9606.ENSP00000366563	0	0	0	0	0.096	0	0.800	0.223	0.847
FCER1G	PLCG2	9606.ENSP00000289902	9606.ENSP00000482457	0	0	0	0	0.087	0.213	0.600	0.633	0.880
FCER1G	INPP5D	9606.ENSP00000289902	9606.ENSP00000405338	0	0	0	0	0.164	0	0.900	0.345	0.940
FCER1G	PTPN6	9606.ENSP00000289902	9606.ENSP00000391592	0	0	0	0	0.134	0.057	0.900	0.397	0.944
FCER1G	FYN	9606.ENSP00000289902	9606.ENSP00000346671	0	0	0	0	0.062	0.057	0.900	0.516	0.951
FCER1G	LYN	9606.ENSP00000289902	9606.ENSP00000428924	0	0	0	0	0.174	0.226	0.900	0.665	0.975
FCER1G	SYK	9606.ENSP00000289902	9606.ENSP00000364907	0	0	0	0	0.185	0.680	0.900	0.988	0.999
FYN	LCP2	9606.ENSP00000346671	9606.ENSP00000046794	0	0	0	0	0.065	0.471	0.600	0.821	0.960
FYN	PIK3CD	9606.ENSP00000346671	9606.ENSP00000366563	0	0	0	0	0.062	0.104	0.800	0.310	0.868
FYN	HCK	9606.ENSP00000346671	9606.ENSP00000444986	0	0	0.444	0.958	0	0	0.900	0.825	0.905
FYN	LYN	9606.ENSP00000346671	9606.ENSP00000428924	0	0	0.440	0.955	0	0	0.900	0.901	0.905
FYN	PTPN6	9606.ENSP00000346671	9606.ENSP00000391592	0	0	0	0	0.062	0.078	0.900	0.392	0.940
FYN	SYK	9606.ENSP00000346671	9606.ENSP00000364907	0	0	0	0.730	0.062	0.270	0.900	0.845	0.942
FYN	PLCG2	9606.ENSP00000346671	9606.ENSP00000482457	0	0	0	0.554	0.062	0.493	0.900	0.657	0.963
FYN	HRAS	9606.ENSP00000346671	9606.ENSP00000407586	0	0	0	0	0.083	0.646	0.900	0.549	0.983
FYN	WAS	9606.ENSP00000346671	9606.ENSP00000365891	0	0	0	0	0.063	0.883	0	0.987	0.998
HCK	LCP2	9606.ENSP00000444986	9606.ENSP00000046794	0	0	0	0	0.393	0.281	0	0.465	0.746
HCK	SYK	9606.ENSP00000444986	9606.ENSP00000364907	0	0	0	0.736	0.302	0	0.900	0.821	0.942
HCK	WAS	9606.ENSP00000444986	9606.ENSP00000365891	0	0	0	0	0.314	0.699	0	0.460	0.878
HCK	PIK3CD	9606.ENSP00000444986	9606.ENSP00000366563	0	0	0	0	0.121	0.104	0.600	0.179	0.707
HCK	HRAS	9606.ENSP00000444986	9606.ENSP00000407586	0	0	0	0	0	0.140	0.900	0.298	0.934
HCK	LYN	9606.ENSP00000444986	9606.ENSP00000428924	0	0	0.442	0.973	0.287	0.131	0.900	0.861	0.934
HCK	PLCG2	9606.ENSP00000444986	9606.ENSP00000482457	0	0	0	0.553	0.203	0.258	0.900	0.615	0.953
HRAS	SYK	9606.ENSP00000407586	9606.ENSP00000364907	0	0	0	0	0	0.140	0.800	0.451	0.897
HRAS	PIK3CD	9606.ENSP00000407586	9606.ENSP00000366563	0	0	0	0	0.062	0.751	0.800	0.537	0.975
HRAS	INPP5D	9606.ENSP00000407586	9606.ENSP00000405338	0	0	0	0	0	0.088	0.900	0.162	0.916
HRAS	LYN	9606.ENSP00000407586	9606.ENSP00000428924	0	0	0	0	0	0.472	0.900	0.474	0.969
IBTK	LYN	9606.ENSP00000305721	9606.ENSP00000428924	0	0	0	0	0	0.056	0.900	0.096	0.907
IBTK	SYK	9606.ENSP00000305721	9606.ENSP00000364907	0	0	0	0	0	0.056	0.900	0.150	0.912
IBTK	PLCG2	9606.ENSP00000305721	9606.ENSP00000482457	0	0	0	0	0	0	0.900	0.252	0.922
INPP5D	LCP2	9606.ENSP00000405338	9606.ENSP00000046794	0	0	0	0	0.498	0.141	0	0.519	0.774
INPP5D	PIK3CD	9606.ENSP00000405338	9606.ENSP00000366563	0	0	0	0	0.127	0.057	0.900	0.391	0.943
INPP5D	PTPN6	9606.ENSP00000405338	9606.ENSP00000391592	0	0	0	0	0.159	0.058	0.650	0.490	0.839
INPP5D	LYN	9606.ENSP00000405338	9606.ENSP00000428924	0	0	0	0	0.130	0.281	0	0.567	0.706
LCP2	LYN	9606.ENSP00000046794	9606.ENSP00000428924	0	0	0	0	0.155	0.281	0.600	0.635	0.899
LCP2	PTPN6	9606.ENSP00000046794	9606.ENSP00000391592	0	0	0	0	0.367	0.678	0.800	0.519	0.977
LCP2	PLCG2	9606.ENSP00000046794	9606.ENSP00000482457	0	0	0	0	0.213	0.226	0.800	0.887	0.984
LCP2	SYK	9606.ENSP00000046794	9606.ENSP00000364907	0	0	0	0	0.272	0.470	0.800	0.961	0.996
LCP2	WAS	9606.ENSP00000046794	9606.ENSP00000365891	0	0	0	0	0.436	0.270	0.900	0.957	0.998
LYN	SYK	9606.ENSP00000428924	9606.ENSP00000364907	0	0	0	0.723	0.244	0.462	0.900	0.990	0.967
LYN	PIK3CD	9606.ENSP00000428924	9606.ENSP00000366563	0	0	0	0	0.096	0.104	0.800	0.453	0.899
LYN	SH3BP5	9606.ENSP00000428924	9606.ENSP00000373301	0	0	0	0	0	0.150	0.900	0.181	0.924
LYN	PTPN6	9606.ENSP00000428924	9606.ENSP00000391592	0	0	0	0	0.107	0.870	0.900	0.600	0.994
LYN	PLCG2	9606.ENSP00000428924	9606.ENSP00000482457	0	0	0	0.558	0.161	0.696	0.900	0.944	0.983
MYD88	SYK	9606.ENSP00000401399	9606.ENSP00000364907	0	0	0	0	0.085	0.352	0	0.794	0.868
PIK3CD	SYK	9606.ENSP00000366563	9606.ENSP00000364907	0	0	0	0	0.097	0.104	0.800	0.500	0.908
PIK3CD	PLCG2	9606.ENSP00000366563	9606.ENSP00000482457	0	0	0	0	0.063	0.122	0.650	0.502	0.837
PLCG2	SYK	9606.ENSP00000482457	9606.ENSP00000364907	0	0	0	0.548	0.237	0.493	0.900	0.965	0.976
PLCG2	SH3BP5	9606.ENSP00000482457	9606.ENSP00000373301	0	0	0	0	0	0	0.900	0.081	0.904
PLCG2	PTPN6	9606.ENSP00000482457	9606.ENSP00000391592	0	0	0	0.550	0.066	0.363	0.900	0.417	0.946
PTPN6	SYK	9606.ENSP00000391592	9606.ENSP00000364907	0	0	0	0	0.230	0.870	0.900	0.689	0.996
SH3BP5	SYK	9606.ENSP00000373301	9606.ENSP00000364907	0	0	0	0	0	0.104	0.900	0.186	0.920
